Quarter,Time,Down,ToGo,Location,DET,CHI,Detail,EPB,EPA
4,5:49,3,6,DET 27,34,17,Jared Goff pass incomplete short right intended for Jameson Williams,-0.230,-1.570
4,5:45,4,6,DET 27,34,17,Jack Fox punts 47 yards returned by Josh Blackwell for 9 yards (tackle by Hogan Hatten),-1.570,-1.270
4,5:36,1,10,CHI 35,34,17,Caleb Williams scrambles left end for 6 yards (tackle by Trevor Nowaske),1.270,1.530
4,5:07,2,4,CHI 41,34,17,Caleb Williams pass complete short right to Keenan Allen for 7 yards (tackle by Kerby Joseph),1.530,2.130
4,4:39,1,10,CHI 48,34,17,Caleb Williams pass incomplete short middle intended for Rome Odunze,2.130,1.580
4,4:33,2,10,CHI 48,34,17,Caleb Williams scrambles left guard for 11 yards (tackle by Brian Branch),1.580,2.850
4,3:53,1,10,DET 41,34,17,Caleb Williams sacked by Ifeatu Melifonwu for -2 yards,2.850,2.040
4,3:30,2,12,DET 43,34,17,Caleb Williams pass complete short left to Gerald Everett for 6 yards (tackle by Brian Branch). Penalty on Za'Darius Smith: Unnecessary Roughness / Defense 15 yards (accepted),2.040,4.110
4,3:18,1,10,DET 22,34,17,Caleb Williams pass complete short right to Rome Odunze for no gain (tackle by Brian Branch). Penalty on Al-Quadin Muhammad: Illegal Use of Hands / Defense 5 yards (accepted) (no play),4.110,4.440
4,3:10,1,10,DET 17,34,17,Caleb Williams pass complete short middle to Keenan Allen for 6 yards (tackle by Brian Branch),4.440,4.890
4,2:47,2,4,DET 11,34,17,Caleb Williams pass incomplete short left intended for D.J. Moore (defended by Terrion Arnold),4.890,4.100
4,2:40,3,4,DET 11,34,17,Caleb Williams pass incomplete short middle intended for Rome Odunze (defended by Brian Branch),4.100,2.770
4,2:36,4,4,DET 11,34,17,Caleb Williams pass incomplete short left intended for D.J. Moore,2.770,0.370
4,2:30,1,10,DET 11,34,17,Jermar Jefferson right guard for 5 yards (tackle by Dominique Robinson),-0.370,-0.370
4,2:00,2,6,DET 16,34,17,Jermar Jefferson right end for 5 yards (tackle by Tyrique Stevenson),-0.370,-0.370
4,1:22,3,1,DET 21,34,17,Jermar Jefferson right guard for 3 yards (tackle by Zacch Pickens),-0.370,0.540
4,0:40,1,10,DET 24,34,17,Jared Goff kneels for -1 yards,0.540,-0.140
