Quarter,Time,Down,ToGo,Location,SFO,MIA,Detail,EPB,EPA
4,14:25,2,6,MIA 34,10,19,Brock Purdy pass complete short right to Deebo Samuel for 11 yards (tackle by Elijah Campbell and Jordan Poyer),3.050,4.040
4,13:58,1,10,MIA 23,10,19,Brock Purdy pass complete short left to George Kittle for 7 yards (tackle by Kader Kohou),4.040,4.560
4,13:25,2,3,MIA 16,10,19,Patrick Taylor up the middle for 2 yards (tackle by Emmanuel Ogbah),4.560,4.280
4,13:01,3,1,MIA 14,10,19,Brock Purdy pass complete short right to George Kittle for 11 yards (tackle by Jalen Ramsey),4.280,6.510
4,12:39,1,3,MIA 3,10,19,Patrick Taylor up the middle for 1 yard (tackle by Quinton Bell and Calais Campbell),6.510,5.720
4,12:05,2,2,MIA 2,16,19,Brock Purdy pass complete short right to Eric Saubert for 2 yards touchdown,5.720,7.000
4,12:02,,,MIA 15,17,19,Jake Moody kicks extra point good,0.000,0.000
4,12:02,,,SFO 35,17,19,Jake Moody kicks off 65 yards touchback.,0.000,0.940
4,12:02,1,10,MIA 30,17,19,Tua Tagovailoa pass incomplete short left intended for Durham Smythe (defended by Demetrius Flannigan-Fowles),0.940,0.390
4,11:56,2,10,MIA 30,17,19,Tua Tagovailoa pass complete short right to Jonnu Smith for 3 yards (tackle by Dee Winters). Penalty on Jordan Elliott: Unnecessary Roughness / Defense 15 yards (accepted),0.390,2.130
4,11:31,1,10,MIA 48,17,19,De'Von Achane left end for 7 yards (tackle by Demetrius Flannigan-Fowles),2.130,2.530
4,10:48,2,3,SFO 45,17,19,De'Von Achane up the middle for no gain (tackle by Maliek Collins and Demetrius Flannigan-Fowles). Penalty on Robert Jones: Offensive Holding 10 yards (accepted) (no play),2.530,1.180
4,10:19,2,13,MIA 45,17,19,De'Von Achane left end for 5 yards (tackle by Sam Okuayinonu),1.180,1.160
4,9:42,3,8,SFO 50,17,19,Tua Tagovailoa pass incomplete short right intended for River Cracraft,1.160,-0.060
4,9:38,4,8,SFO 50,17,19,Jake Bailey punts 40 yards fair catch by Jacob Cowing at SF-10,-0.060,0.380
4,9:31,1,10,SFO 10,17,19,Brock Purdy pass complete short right to Kyle Juszczyk for 20 yards (tackle by Da'Shawn Hand),-0.380,0.940
4,8:45,1,10,SFO 30,17,19,Deebo Samuel right end for 1 yard (tackle by Emmanuel Ogbah and Duke Riley),0.940,0.530
4,8:06,2,9,SFO 31,17,19,Brock Purdy pass complete short left to Deebo Samuel for 5 yards (tackle by Duke Riley and Jevon Holland),0.530,0.500
