Quarter,Time,Down,ToGo,Location,MIN,SEA,Detail,EPB,EPA
4,12:21,1,10,MIN 20,20,17,Sam Darnold pass complete short left to Jordan Addison for 2 yards (tackle by Josh Jobe),0.280,0.000
4,11:42,2,8,MIN 22,20,17,Sam Darnold scrambles left end for 5 yards (tackle by Ernest Jones),0.000,-0.030
4,10:57,3,3,MIN 27,20,17,Sam Darnold pass incomplete short middle intended for T.J. Hockenson (defended by Riq Woolen) (defended by Julian Love),-0.030,-1.570
4,10:51,4,3,MIN 27,20,17,Ryan Wright punts 56 yards returned by Jaelon Darden for 15 yards (tackle by Ty Chandler),-1.570,-1.070
4,10:37,1,10,SEA 32,20,17,Penalty on AJ Barner: False Start 5 yards (accepted) (no play),1.070,0.740
4,10:37,1,15,SEA 27,20,17,Geno Smith pass complete short right to AJ Barner for 9 yards (tackle by Byron Murphy and Andrew Van Ginkel),0.740,1.070
4,10:01,2,6,SEA 36,20,17,Kenneth Walker up the middle for no gain (tackle by Camryn Bynum and Josh Metellus). Penalty on Pharaoh Brown: Offensive Holding 10 yards (accepted) (no play),1.070,-0.280
4,9:39,2,16,SEA 26,20,17,Geno Smith pass complete short left to Tyler Lockett for 17 yards (tackle by Shaquill Griffin),-0.280,1.800
4,9:08,1,10,SEA 43,20,17,Kenny McIntosh up the middle for 9 yards (tackle by Blake Cashman and Bobby McCain),1.800,2.470
4,8:48,2,1,MIN 48,20,17,Kenny McIntosh up the middle for 3 yards (tackle by Josh Metellus and Harrison Phillips),2.470,2.590
4,8:11,1,10,MIN 45,20,17,Geno Smith pass complete short middle to Jaxon Smith-Njigba for 13 yards (tackle by Bobby McCain),2.590,3.450
4,7:37,1,10,MIN 32,20,17,Geno Smith pass complete short middle to Noah Fant for 17 yards (tackle by Camryn Bynum and Harrison Phillips),3.450,4.580
4,6:56,1,10,MIN 15,20,17,Geno Smith scrambles right end for 8 yards (tackle by Jerry Tillery),4.580,5.410
4,6:16,2,2,MIN 7,20,17,Kenneth Walker left tackle for 4 yards (tackle by Camryn Bynum and Andrew Van Ginkel),5.410,6.510
4,5:52,1,3,MIN 3,20,17,Kenneth Walker right guard for no gain (tackle by Levi Drake Rodriguez),6.510,5.530
4,5:09,2,3,MIN 3,20,17,Zach Charbonnet right tackle for -1 yards (tackle by Camryn Bynum and Jerry Tillery),5.530,4.490
4,4:26,3,4,MIN 4,20,23,Geno Smith pass complete short middle to AJ Barner for 4 yards touchdown,4.490,7.000
4,4:21,,,MIN 15,20,24,Jason Myers kicks extra point good,0.000,0.000
4,4:21,,,SEA 40,20,24,Jason Myers kicks off 60 yards touchback.,0.000,0.940
4,4:21,1,10,MIN 30,20,24,Penalty on Brian O'Neill: False Start 5 yards (accepted) (no play),0.940,0.610
4,4:21,1,15,MIN 25,20,24,Sam Darnold pass complete short right to Justin Jefferson for 12 yards (tackle by Tyrice Knight),0.610,1.340
4,4:15,2,3,MIN 37,20,24,Sam Darnold scrambles left end for 9 yards (tackle by Josh Jobe),1.340,1.990
4,4:08,1,10,MIN 46,20,24,Sam Darnold pass incomplete short middle intended for Justin Jefferson,1.990,1.450
4,4:03,2,10,MIN 46,20,24,Sam Darnold sacked by Byron Murphy for no gain. Penalty on Byron Murphy: Face Mask (15 Yards) 15 yards (accepted) (no play),1.450,2.980
4,3:58,1,10,SEA 39,26,24,Sam Darnold pass complete deep left to Justin Jefferson for 39 yards touchdown,2.980,7.000
4,3:51,,,SEA 15,27,24,Will Reichard kicks extra point good,0.000,0.000
4,3:51,,,MIN 35,27,24,Will Reichard kicks off 65 yards touchback.,0.000,0.940
4,3:51,1,10,SEA 30,27,24,Geno Smith pass complete short middle to Noah Fant for 18 yards (tackle by Jonathan Greenard and Theo Jackson),0.940,2.130
4,3:10,1,10,SEA 48,27,24,Geno Smith pass complete short left to Kenny McIntosh for 15 yards (tackle by Stephon Gilmore),2.130,3.120
4,3:04,1,10,MIN 37,27,24,Geno Smith sacked by Andrew Van Ginkel for -6 yards,3.120,1.760
4,2:22,2,16,MIN 43,27,24,Geno Smith pass incomplete short middle intended for D.K. Metcalf (defended by Stephon Gilmore),1.760,1.090
4,2:16,3,16,MIN 43,27,24,Geno Smith pass complete short middle to Zach Charbonnet for 1 yard (tackle by Theo Jackson),1.090,0.460
4,2:00,4,15,MIN 42,27,24,Jason Myers 60 yard field goal no good,0.460,-2.260
4,1:55,1,10,MIN 50,27,24,Aaron Jones right tackle for 1 yard (tackle by Julian Love),2.260,1.850
4,1:51,,,,,,Timeout #2 by Seattle Seahawks,,
4,1:51,2,9,SEA 49,27,24,Aaron Jones left tackle for 2 yards (tackle by Uchenna Nwosu and Tyrice Knight),1.850,1.420
4,1:47,,,,,,Timeout #3 by Seattle Seahawks,,
4,1:47,3,7,SEA 47,27,24,Sam Darnold sacked by Derick Hall for -8 yards,1.420,-0.390
4,1:01,,,,,,Timeout #1 by Minnesota Vikings,,
4,1:01,4,15,MIN 45,27,24,Ryan Wright punts 38 yards out of bounds,-0.390,0.060
4,0:55,1,10,SEA 17,27,24,Penalty on Abraham Lucas: False Start 5 yards (accepted) (no play),-0.060,-0.510
4,0:55,1,15,SEA 12,27,24,Geno Smith pass deep right intended for D.K. Metcalf is intercepted by Theo Jackson at SEA-32 and returned for 3 yards,-0.510,-3.640
4,0:49,1,10,SEA 29,27,24,Penalty on Dallas Turner: Taunting / Offense 15 yards (accepted) (no play),3.640,2.650
4,0:49,1,10,SEA 44,27,24,Sam Darnold kneels for -1 yards,2.650,1.980
4,0:31,2,11,SEA 45,27,24,Sam Darnold kneels for -1 yards,1.980,1.160
