Quarter,Time,Down,ToGo,Location,TEN,IND,Detail,EPB,EPA
4,9:58,1,10,IND 43,15,38,Mason Rudolph pass complete short left to Tony Pollard for -3 yards (tackle by Jaylon Carlies),2.720,1.770
4,9:28,2,13,IND 46,15,38,Mason Rudolph pass complete deep left to Calvin Ridley for 21 yards (tackle by Nick Cross),1.770,3.910
4,8:53,1,10,IND 25,15,38,Mason Rudolph pass complete short left to Tyjae Spears for 19 yards (tackle by Jaylon Carlies and Zaire Franklin),3.910,5.830
4,8:19,1,6,IND 6,21,38,Mason Rudolph pass complete short middle to Nick Westbrook-Ikhine for 6 yards touchdown,5.830,7.000
4,8:13,,,IND 15,22,38,Brayden Narveson kicks extra point good,0.000,0.000
4,8:13,,,TEN 35,22,38,Brayden Narveson kicks off 65 yards touchback.,0.000,0.940
4,8:13,1,10,IND 30,22,38,Jonathan Taylor up the middle for 5 yards (tackle by Daryl Worley and James Lynch),0.940,1.070
4,7:30,2,5,IND 35,22,38,Penalty on Michael Pittman: False Start 5 yards (accepted),1.070,0.390
4,7:30,2,10,IND 30,22,38,Jonathan Taylor right tackle for 1 yard (tackle by Harold Landry and James Lynch),0.390,-0.160
4,6:51,3,9,IND 31,22,38,Anthony Richardson sacked by Jeffery Simmons for -8 yards,-0.160,-1.830
4,6:10,4,17,IND 23,22,38,Rigoberto Sanchez punts 57 yards returned by Mason Kinsey for 9 yards (tackle by Segun Olubi),-1.830,-0.870
4,5:58,1,10,TEN 29,22,38,Mason Rudolph left end for 3 yards (tackle by Kwity Paye and Kenny Moore),0.870,0.730
4,5:33,2,7,TEN 32,22,38,Mason Rudolph pass complete short right to Nick Westbrook-Ikhine for 11 yards (tackle by Samuel Womack),0.730,1.800
4,5:10,1,10,TEN 43,22,38,Tyjae Spears up the middle for 1 yard (tackle by Zaire Franklin and Laiatu Latu),1.800,1.390
4,4:43,2,9,TEN 44,22,38,Mason Rudolph pass incomplete deep left intended for Nick Westbrook-Ikhine. Penalty on David Long: Defensive Pass Interference 16 yards (accepted) (no play),1.390,1.390
4,4:43,2,9,TEN 44,22,38,Penalty on David Long: Face Mask (15 Yards) 15 yards (accepted) (no play),1.390,3.910
4,4:36,1,10,IND 25,22,38,Mason Rudolph pass complete short middle to Mason Kinsey for 6 yards (tackle by Kenny Moore),3.910,4.200
4,4:16,2,4,IND 19,22,38,Mason Rudolph pass complete short middle to Tyjae Spears for 17 yards (tackle by Samuel Womack),4.200,6.740
4,3:37,1,2,IND 2,22,38,Tyjae Spears up the middle for no gain (tackle by Zaire Franklin and Kwity Paye),6.740,5.720
4,2:56,2,2,IND 2,28,38,Tyjae Spears up the middle for 2 yards touchdown,5.720,7.000
4,2:53,,,IND 2,30,38,Two Point Attempt: Mason Rudolph pass complete to to Chigoziem Okonkwo for no gain,1.000,1.000
4,2:53,,,TEN 35,30,38,Brayden Narveson kicks off 64 yards returned by Anthony Gould for 31 yards (tackle by Cedric Gray),0.000,1.070
4,2:47,1,10,IND 32,30,38,Jonathan Taylor up the middle for 2 yards (tackle by Cedric Gray),1.070,0.800
4,2:06,2,8,IND 34,30,38,Jonathan Taylor right tackle for no gain (tackle by Sebastian Joseph-Day),0.800,0.100
4,2:00,3,8,IND 34,30,38,Anthony Richardson pass complete short left to Michael Pittman for 10 yards,0.100,1.860
4,1:55,1,10,IND 44,30,38,Jonathan Taylor up the middle for 2 yards (tackle by Sebastian Joseph-Day and Jarvis Brownlee),1.860,1.590
4,1:51,,,,,,Timeout #1 by Tennessee Titans,,
4,1:51,2,8,IND 46,30,38,Anthony Richardson left end for 9 yards (tackle by Jarvis Brownlee),1.590,2.590
4,1:45,,,,,,Timeout #2 by Tennessee Titans,,
4,1:45,1,10,TEN 45,30,38,Jonathan Taylor up the middle for 1 yard (tackle by T'Vondre Sweat and Mike Brown),2.590,2.180
4,1:40,,,,,,Timeout #3 by Tennessee Titans,,
4,1:40,2,9,TEN 44,30,38,Jonathan Taylor right tackle for 3 yards (tackle by Daryl Worley),2.180,1.880
4,0:55,,,,,,Timeout #1 by Indianapolis Colts,,
4,0:55,3,6,TEN 41,30,38,Jonathan Taylor up the middle for 1 yard (tackle by Jeffery Simmons and Sebastian Joseph-Day),1.880,0.590
4,0:10,4,5,TEN 40,30,38,Penalty on Anthony Richardson: Delay of Game 5 yards (accepted),0.590,0.270
4,0:10,4,10,TEN 45,30,38,Rigoberto Sanchez punts 34 yards fair catch by Mason Kinsey at TEN-11,0.270,0.370
4,0:03,1,10,TEN 11,30,38,Mason Rudolph pass deep middle intended for Calvin Ridley is intercepted by Kenny Moore at TEN-34 and returned for 4 yards,-0.370,3.580
