Quarter,Time,Down,ToGo,Location,NWE,BUF,Detail,EPB,EPA
4,6:12,1,10,BUF 35,14,24,Ray Davis left guard for no gain (tackle by Davon Godchaux),1.270,0.720
4,5:25,2,10,BUF 35,14,24,Josh Allen pass incomplete short left intended for Amari Cooper,0.720,0.040
4,5:22,,,,,,Timeout #1 by Buffalo Bills,,
4,5:22,3,10,BUF 35,14,24,Josh Allen scrambles left tackle for 3 yards (tackle by Keion White),0.040,-0.850
4,4:36,4,7,BUF 38,14,24,Sam Martin punts 37 yards fair catch by Alex Erickson at NE-25,-0.850,-0.610
4,4:29,1,10,NWE 25,14,24,Drake Maye pass complete short right to Kendrick Bourne for 9 yards (tackle by Dorian Williams),0.610,1.280
4,4:07,2,1,NWE 34,14,24,Penalty on Demontrey Jacobs: False Start 5 yards (accepted) (no play),1.280,0.600
4,4:07,2,6,NWE 29,14,24,Drake Maye pass incomplete short middle intended for Demario Douglas. Penalty on Ja'Marcus Ingram: Defensive Pass Interference 7 yards (accepted) (no play),0.600,1.330
4,4:03,1,10,NWE 36,14,24,Antonio Gibson left guard for 4 yards (tackle by Quinton Jefferson and Ed Oliver),1.330,1.330
4,3:43,2,6,NWE 40,14,24,Drake Maye pass complete short right to Demario Douglas for 5 yards (tackle by Ja'Marcus Ingram),1.330,1.290
4,3:36,3,1,NWE 45,14,24,Antonio Gibson left guard for no gain (tackle by Terrel Bernard),1.290,-0.390
4,3:04,4,1,NWE 45,14,24,Drake Maye right end for 13 yards (tackle by Cameron Lewis),-0.390,2.790
4,2:33,1,10,BUF 42,14,24,Drake Maye pass complete deep middle to Austin Hooper for 26 yards (tackle by Terrel Bernard). Penalty on Terrel Bernard: Unnecessary Roughness / Defense 8 yards (accepted),2.790,5.370
4,2:26,1,8,BUF 8,14,24,Penalty on Dawuane Smoot: Encroachment 4 yards (accepted) (no play),5.370,6.280
4,2:26,1,4,BUF 4,14,24,Drake Maye pass incomplete short right intended for Hunter Henry,6.280,5.340
4,2:23,2,4,BUF 4,14,24,Drake Maye pass incomplete short right intended for Hunter Henry,5.340,4.490
4,2:18,3,4,BUF 4,14,24,Drake Maye pass incomplete short right intended for Kayshon Boutte. Penalty on Kaiir Elam: Defensive Pass Interference 3 yards (accepted) (no play),4.490,6.970
4,2:14,1,1,BUF 1,14,24,Antonio Gibson right end for -3 yards (tackle by Cole Bishop and Dorian Williams),6.970,5.340
4,2:00,2,4,BUF 4,14,24,Drake Maye pass incomplete short right intended for Hunter Henry,5.340,4.490
