Quarter,Time,Down,ToGo,Location,TAM,DAL,Detail,EPB,EPA
,,,,,,,Cowboys won the coin toss Cowboys to receive the opening kickoff.,,
4,13:03,2,19,DAL 37,17,26,Cooper Rush pass complete short right to Jake Ferguson for 3 yards (tackle by Lavonte David),0.240,-0.030
4,12:30,3,16,DAL 40,17,26,Cooper Rush pass complete short right to Luke Schoonmaker for 3 yards (tackle by Lavonte David),-0.030,-0.520
4,11:47,4,13,DAL 43,17,26,Bryan Anger punts 51 yards returned by Trey Palmer for no gain (tackle by C.J. Goodwin). Penalty on Christian Izien: Defensive Illegal Blindside Block 3 yards (accepted),-0.520,0.380
4,11:38,1,10,TAM 3,17,26,Bucky Irving right end for 3 yards (tackle by Nick Vigil),-0.380,-0.560
4,10:55,2,7,TAM 6,17,26,Baker Mayfield scrambles up the middle for 12 yards (tackle by Marist Liufau and Jourdan Lewis),-0.560,0.040
4,10:12,1,10,TAM 18,17,26,Baker Mayfield sacked by Donovan Wilson for -4 yards. Baker Mayfield fumbles (forced by Donovan Wilson) recovered by Donovan Wilson at TB-14 (tackle by Donovan Wilson) Replay Assistant challenged the runner was down by contact ruling and the original play was overturned. Baker Mayfield sacked by Donovan Wilson for -4 yards,0.040,-1.040
4,9:56,2,14,TAM 14,17,26,Bucky Irving left guard for no gain (tackle by Carl Lawson and Marist Liufau),-1.040,-1.820
4,9:25,,,,,,Timeout #1 by Dallas Cowboys,,
4,9:25,3,14,TAM 14,17,26,Baker Mayfield pass incomplete short right intended for Payne Durham,-1.820,-2.470
4,9:20,4,14,TAM 14,17,26,Jack Browning punts 54 yards returned by KaVontae Turpin for 2 yards (tackle by Sean Tucker). Penalty on J.J. Russell: Illegal Formation 5 yards (accepted),-2.470,-1.530
4,9:10,1,10,DAL 39,17,26,Cooper Rush pass incomplete deep left intended for CeeDee Lamb. Penalty on Jamel Dean: Defensive Pass Interference 9 yards (accepted) (no play),1.530,2.130
4,9:06,1,10,DAL 48,17,26,Cooper Rush pass incomplete short right intended for Jake Ferguson,2.130,1.580
4,9:01,2,10,DAL 48,17,26,Rico Dowdle up the middle for 3 yards (tackle by Christian Izien),1.580,1.290
