Quarter,Time,Down,ToGo,Location,JAX,LVR,Detail,EPB,EPA
3,8:38,1,10,LVR 20,7,13,Alexander Mattison up the middle for 6 yards (tackle by Tyler Lacy and Jeremiah Ledbetter),0.280,0.540
3,8:15,2,4,LVR 26,7,13,Alexander Mattison left guard for 3 yards (tackle by Myles Cole),0.540,0.230
3,7:33,3,1,LVR 29,7,13,Aidan O'Connell pass complete short right to Brock Bowers for 6 yards (tackle by Deantre Prince). Penalty on Foyesade Oluokun: Defensive Holding 5 yards (declined),0.230,1.270
3,7:10,1,10,LVR 35,7,13,Alexander Mattison right guard for -1 yards (tackle by Myles Cole),1.270,0.590
3,6:32,2,11,LVR 34,7,13,Aidan O'Connell pass complete deep left to Tre Tucker for no gain (tackle by Montaric Brown). Penalty on Kolton Miller: Offensive Holding 9 yards (accepted) (no play),0.590,-0.630
3,6:06,2,20,LVR 25,7,13,Aidan O'Connell pass incomplete short middle intended for Michael Mayer,-0.630,-1.290
3,6:02,3,20,LVR 25,7,13,Ameer Abdullah right guard for 6 yards (tackle by Jarrian Jones and Josh Hines-Allen),-1.290,-1.310
3,5:19,4,14,LVR 31,7,13,AJ Cole punts 60 yards recovered by Devin Duvernay at JAC-9,-1.310,0.380
3,5:09,1,10,JAX 9,7,13,Mac Jones pass complete short left to Travis Etienne for 11 yards (tackle by Divine Deablo),-0.380,0.280
3,4:25,1,10,JAX 20,7,13,Mac Jones pass incomplete short middle,0.280,-0.270
3,4:14,2,10,JAX 20,7,13,Mac Jones pass incomplete deep left intended for Brian Thomas. Penalty on Mitch Morse: Offensive Holding 10 yards (accepted) (no play),-0.270,-1.510
3,4:14,2,20,JAX 10,7,13,Mac Jones pass incomplete short left intended for Brenton Strange (defended by Divine Deablo),-1.510,-2.590
3,4:10,3,20,JAX 10,7,13,Mac Jones pass complete short middle to Devin Duvernay for 3 yards (tackle by Darnay Holmes),-2.590,-2.490
3,3:35,4,17,JAX 13,7,13,Logan Cooke punts 20 yards out of bounds,-2.490,-3.380
3,3:28,1,10,JAX 33,7,13,Aidan O'Connell pass complete short left to Brock Bowers for 8 yards (tackle by Tyson Campbell),3.380,3.920
3,3:05,2,2,JAX 25,7,13,Aidan O'Connell pass complete short right to Brock Bowers for -3 yards (tackle by Montaric Brown),3.920,2.810
3,2:27,3,5,JAX 28,7,13,Aidan O'Connell pass incomplete short middle intended for Terrace Marshall (defended by Maason Smith),2.810,1.630
3,2:22,4,5,JAX 28,7,13,Daniel Carlson 46 yard field goal no good,1.630,-1.330
3,2:18,1,10,JAX 36,7,13,Tank Bigsby left tackle for 1 yard (tackle by Zachary Carter),1.330,0.930
3,1:44,2,9,JAX 37,7,13,Mac Jones pass complete short left to Tank Bigsby for 1 yard (tackle by Decamerion Richardson and Amari Burney),0.930,0.370
3,1:03,3,8,JAX 38,13,13,Mac Jones pass complete deep left to Brian Thomas for 62 yards touchdown,0.370,7.000
3,0:54,,,LVR 15,14,13,Cam Little kicks extra point good,0.000,0.000
3,0:54,,,JAX 35,14,13,Cam Little kicks off 65 yards touchback.,0.000,0.940
3,0:54,1,10,LVR 30,14,13,Aidan O'Connell pass incomplete deep right intended for Tre Tucker (defended by Andrew Wingard),0.940,0.390
3,0:43,2,10,LVR 30,14,13,Aidan O'Connell pass incomplete deep left intended for Tre Tucker. Penalty on Montaric Brown: Illegal Use of Hands / Defense 5 yards (accepted) (no play),0.390,1.270
3,0:43,1,10,LVR 35,14,13,Ameer Abdullah left guard for 6 yards (tackle by Foyesade Oluokun),1.270,1.530
3,0:06,2,4,LVR 41,14,13,Aidan O'Connell pass incomplete short right intended for Tre Tucker (defended by Tyson Campbell),1.530,0.830
4,15:00,3,4,LVR 41,14,13,Aidan O'Connell pass complete short right to Brock Bowers for 5 yards (tackle by Antonio Johnson),0.830,1.990
4,14:22,1,10,LVR 46,14,13,Aidan O'Connell pass incomplete short right intended for Jakobi Meyers (defended by Andrew Wingard),1.990,1.450
4,14:17,2,10,LVR 46,14,13,Aidan O'Connell pass complete short middle to Brock Bowers for 7 yards (tackle by Andrew Wingard),1.450,1.690
