Quarter,Time,Down,ToGo,Location,MIN,NYG,Detail,EPB,EPA
3,0:12,3,2,MIN 31,28,6,Devin Singletary left guard for 7 yards (tackle by Stephon Gilmore),2.810,3.970
4,15:00,1,10,MIN 24,28,6,Daniel Jones pass complete short right to Darius Slayton for 11 yards (tackle by Byron Murphy),3.970,4.710
4,14:31,1,10,MIN 13,28,6,Daniel Jones pass incomplete short right,4.710,4.050
4,14:29,2,10,MIN 13,28,6,Devin Singletary up the middle for 2 yards (tackle by Josh Metellus and Harrison Phillips),4.050,3.450
4,13:50,3,8,MIN 11,28,6,Daniel Jones pass incomplete short right intended for Wan'Dale Robinson,3.450,2.700
4,13:46,4,8,MIN 11,28,6,Daniel Jones pass short middle intended for Darius Slayton is intercepted by Harrison Smith in end zone and returned for no gain,2.700,-0.280
4,13:40,1,10,MIN 20,28,6,Ty Chandler left end for 5 yards (tackle by Deonte Banks),0.280,0.410
4,13:01,2,5,MIN 25,28,6,Ty Chandler left guard for 1 yard (tackle by Rakeem Nunez-Roches),0.410,-0.160
4,12:20,3,4,MIN 26,28,6,Sam Darnold pass complete short right to Ty Chandler for 10 yards (tackle by Dane Belton),-0.160,1.330
4,11:41,1,10,MIN 36,28,6,Ty Chandler right guard for 3 yards (tackle by Darius Muasau),1.330,1.200
4,11:00,2,7,MIN 39,28,6,Sam Darnold pass complete short right to C.J. Ham for 3 yards (tackle by Azeez Ojulari),1.200,0.890
4,10:15,3,4,MIN 42,28,6,Sam Darnold pass incomplete short left intended for Justin Jefferson,0.890,-0.590
4,10:05,4,4,MIN 42,28,6,Ryan Wright punts 26 yards out of bounds,-0.590,-1.070
4,9:59,1,10,NYG 32,28,6,Daniel Jones pass incomplete deep middle intended for Jalin Hyatt,1.070,0.530
4,9:54,2,10,NYG 32,28,6,Devin Singletary right guard for 4 yards (tackle by Dallas Turner and Harrison Phillips),0.530,0.370
4,9:14,3,6,NYG 36,28,6,Daniel Jones pass complete short middle to Wan'Dale Robinson for 6 yards (tackle by Byron Murphy),0.370,1.730
4,8:43,1,10,NYG 42,28,6,Daniel Jones pass complete short right to Theo Johnson for 18 yards (tackle by Harrison Smith),1.730,2.920
4,8:17,1,10,MIN 40,28,6,Daniel Jones pass complete short right to Devin Singletary for no gain (tackle by Camryn Bynum and Ivan Pace),2.920,2.370
4,7:55,2,10,MIN 40,28,6,Wan'Dale Robinson left end for 14 yards (tackle by Camryn Bynum and Harrison Smith),2.370,3.840
4,7:22,1,10,MIN 26,28,6,Daniel Jones pass complete short left to Eric Gray for 9 yards (tackle by Jerry Tillery and Patrick Jones),3.840,4.640
4,6:48,2,1,MIN 17,28,6,Eric Gray left tackle for 6 yards (tackle by Dallas Turner),4.640,4.840
4,6:12,1,10,MIN 11,28,6,Devin Singletary left end for 3 yards (tackle by Shaquill Griffin),4.840,4.700
4,5:37,,,,,,Timeout #3 by Minnesota Vikings,,
4,5:37,2,7,MIN 8,28,6,Daniel Jones pass complete short right to Wan'Dale Robinson for no gain (tackle by Stephon Gilmore),4.700,3.760
4,4:59,3,7,MIN 8,28,6,Daniel Jones pass incomplete short right,3.760,2.960
4,4:56,4,7,MIN 8,28,6,Daniel Jones pass incomplete short middle intended for Wan'Dale Robinson (defended by Byron Murphy),2.960,0.380
4,4:52,1,10,MIN 8,28,6,Aaron Jones left end for 19 yards (tackle by Darius Muasau),-0.380,0.740
4,4:05,1,10,MIN 27,28,6,Aaron Jones right tackle for -1 yards (tackle by Andru Phillips),0.740,0.060
4,3:20,2,11,MIN 26,28,6,Aaron Jones right guard for 10 yards (tackle by Jason Pinnock),0.060,0.700
4,2:53,3,1,MIN 36,28,6,Sam Darnold up the middle for 1 yard (tackle by Elijah Chatman),0.700,1.400
4,2:09,1,10,MIN 37,28,6,Aaron Jones left end for 4 yards (tackle by Brian Burns),1.400,1.400
4,2:00,2,6,MIN 41,28,6,Aaron Jones left end for 1 yard (tackle by Jordon Riley),1.400,0.830
4,1:47,,,,,,Timeout #1 by New York Giants,,
4,1:47,3,5,MIN 42,28,6,Myles Gaskin up the middle for -3 yards (tackle by Darius Muasau),0.830,-0.780
4,1:42,,,,,,Timeout #2 by New York Giants,,
4,1:42,4,8,MIN 39,28,6,Ryan Wright punts 47 yards fair catch by Darius Slayton at NYG-14,-0.780,0.280
4,1:36,1,10,NYG 14,28,6,Daniel Jones pass complete short right to Tyrone Tracy for 5 yards (tackle by Theo Jackson),-0.280,-0.040
4,1:14,2,5,NYG 19,28,6,Daniel Jones pass incomplete short right intended for Tyrone Tracy (defended by Jerry Tillery),-0.040,-0.800
4,1:10,3,5,NYG 19,28,6,Daniel Jones sacked by Patrick Jones for -7 yards,-0.800,-2.490
4,0:33,4,12,NYG 12,28,6,Jamie Gillan punts 48 yards out of bounds,-2.490,-1.600
4,0:29,1,10,MIN 40,28,6,Sam Darnold kneels for -1 yards,1.600,0.920
