Quarter,Time,Down,ToGo,Location,TEN,DET,Detail,EPB,EPA
4,8:26,4,9,TEN 27,14,52,Ryan Stonehouse punts 47 yards returned by Kalif Raymond for 2 yards (tackle by Luke Gifford and Chigoziem Okonkwo),-1.570,-0.810
4,8:15,1,10,DET 28,14,52,Craig Reynolds right end for 2 yards (tackle by Jack Gibbens),0.810,0.530
4,7:33,2,8,DET 30,14,52,Hendon Hooker pass incomplete deep left intended for Isaiah Williams,0.530,-0.160
4,7:29,3,8,DET 30,14,52,Hendon Hooker pass complete short left to Isaiah Williams for 4 yards (tackle by Quandre Diggs),-0.160,-1.110
4,6:56,4,4,DET 34,14,52,Jack Fox punts 56 yards downed by Hogan Hatten,-1.110,0.380
4,6:45,1,10,TEN 10,14,52,Tony Pollard right end for 5 yards (tackle by Alex Anzalone and Jack Campbell),-0.380,-0.280
4,6:04,2,4,TEN 15,14,52,Tony Pollard right tackle for 2 yards (tackle by Isaiah Thomas and Mekhi Wingo),-0.280,-0.480
4,5:25,3,2,TEN 17,14,52,Mason Rudolph pass complete short right to Tony Pollard for 5 yards (tackle by Jack Campbell),-0.480,0.410
4,4:50,1,10,TEN 22,14,52,Julius Chestnut left end for 9 yards (tackle by James Houston and Brandon Joseph),0.410,1.080
4,4:18,2,1,TEN 31,14,52,Mason Rudolph up the middle for 2 yards (tackle by James Houston),1.080,1.140
4,3:40,1,10,TEN 33,14,52,Julius Chestnut left tackle for 6 yards (tackle by Jack Campbell and Khalil Dorsey),1.140,1.330
4,3:03,2,5,TEN 39,14,52,Tony Pollard left tackle for 2 yards (tackle by Jack Campbell),1.330,1.030
4,2:15,3,1,TEN 41,14,52,Tony Pollard left end for 3 yards (tackle by Jack Campbell),1.030,1.860
4,2:00,1,10,TEN 44,14,52,Julius Chestnut up the middle for 5 yards (tackle by Mekhi Wingo and Ben Niemann),1.860,1.990
4,1:15,2,5,TEN 49,14,52,Julius Chestnut left end for 6 yards (tackle by Ben Niemann and Khalil Dorsey),1.990,2.590
4,0:45,1,10,DET 45,14,52,Julius Chestnut left tackle for 1 yard (tackle by Kerby Joseph and Isaiah Thomas),2.590,2.180
4,0:01,2,9,DET 44,14,52,Julius Chestnut left end for 4 yards (tackle by Jack Campbell and Khalil Dorsey),2.180,2.010
