Quarter,Time,Down,ToGo,Location,BAL,CLE,Detail,EPB,EPA
4,0:44,2,10,BAL 41,24,29,Lamar Jackson pass complete deep left to Zay Flowers for 21 yards (tackle by Grant Delpit),1.120,3.050
4,0:35,,,,,,Timeout #3 by Baltimore Ravens,,
4,0:35,1,10,CLE 38,24,29,Lamar Jackson pass complete short middle to Justice Hill for 14 yards (tackle by Devin Bush),3.050,3.970
4,0:22,1,10,CLE 24,24,29,Lamar Jackson spiked the ball,3.970,3.430
4,0:21,,,,,,Timeout #1 by Cleveland Browns,,
4,0:21,2,10,CLE 24,24,29,Lamar Jackson pass incomplete short left,3.430,2.740
4,0:14,,,,,,Timeout #2 by Cleveland Browns,,
4,0:14,3,10,CLE 24,24,29,Lamar Jackson pass incomplete deep left intended for Zay Flowers (defended by Martin Emerson),2.740,1.870
4,0:03,,,,,,Timeout #3 by Cleveland Browns,,
4,0:03,4,10,CLE 24,24,29,Lamar Jackson pass incomplete deep left intended for Zay Flowers,1.870,0.540
