Quarter,Time,Down,ToGo,Location,CAR,DEN,Detail,EPB,EPA
3,2:54,1,10,DEN 39,7,28,Jaleel McLaughlin left end for 4 yards (tackle by Michael Jackson),1.530,1.530
3,2:14,2,6,DEN 43,7,28,Bo Nix sacked by A'Shawn Robinson for -4 yards,1.530,0.300
3,1:27,,,,,,Timeout #1 by Denver Broncos,,
3,1:27,3,10,DEN 39,7,28,Javonte Williams right guard for -2 yards (tackle by Jadeveon Clowney),0.300,-0.910
3,0:51,4,12,DEN 37,7,28,Riley Dixon punts 53 yards fair catch by Raheem Blackshear at CAR-10,-0.910,0.380
3,0:42,1,10,CAR 10,7,28,Chuba Hubbard left tackle for 15 yards (tackle by Brandon Jones),-0.380,0.610
3,0:01,1,10,CAR 25,7,28,Bryce Young right end for -2 yards (tackle by Jonathon Cooper),0.610,-0.210
4,15:00,2,12,CAR 23,7,28,Bryce Young pass incomplete short left intended for Xavier Legette,-0.210,-0.890
4,14:57,3,12,CAR 23,7,28,Bryce Young sacked by Nik Bonitto for -6 yards,-0.890,-2.320
4,14:19,4,18,CAR 17,7,28,Johnny Hekker punts 50 yards fair catch by Marvin Mims at DEN-33,-2.320,-1.140
4,14:11,1,10,DEN 33,7,28,Bo Nix pass complete short left to Javonte Williams for 3 yards (tackle by Michael Jackson),1.140,1.000
4,13:37,2,7,DEN 36,7,28,Javonte Williams right guard for 4 yards (tackle by Nick Thurman),1.000,0.830
4,12:59,3,3,DEN 40,7,28,Bo Nix pass complete deep right to Devaughn Vele for 16 yards (tackle by Demani Richardson),0.830,2.650
4,12:28,1,10,CAR 44,7,28,Javonte Williams up the middle for 4 yards (tackle by DeShawn Williams and Nick Thurman),2.650,2.650
4,11:38,2,6,CAR 40,7,28,Troy Franklin left end for 3 yards (tackle by Jaycee Horn and Demani Richardson),2.650,2.350
4,10:58,3,3,CAR 37,7,28,Javonte Williams right guard for no gain (tackle by Jadeveon Clowney and Demani Richardson),2.350,0.790
4,10:10,4,3,CAR 37,7,28,Penalty on Garett Bolles: False Start 5 yards (accepted) (no play),0.790,0.460
4,10:10,4,8,CAR 42,7,28,Riley Dixon pass complete short middle to Lucas Krull for 3 yards (tackle by Thomas Incoom),0.460,-1.530
4,10:03,1,10,CAR 39,7,28,Bryce Young pass complete short right to Xavier Legette for no gain (tackle by Cody Barton),1.530,0.990
4,9:40,2,10,CAR 39,7,28,Bryce Young pass incomplete short left intended for Jonathan Mingo,0.990,0.300
4,9:35,3,10,CAR 39,7,28,Bryce Young pass complete short right to Miles Sanders for 4 yards (tackle by Brandon Jones),0.300,-0.520
4,8:56,4,6,CAR 43,7,28,Bryce Young pass complete short right to Tommy Tremble for 8 yards (tackle by Brandon Jones),-0.520,2.320
4,8:24,1,10,DEN 49,7,28,Bryce Young pass complete deep middle to Jalen Coker for 26 yards (tackle by Brandon Jones) DEN challenged the pass completion ruling and the play was upheld.,2.320,4.040
4,7:53,1,10,DEN 23,7,28,Bryce Young pass complete short right to Tommy Tremble for 5 yards (tackle by Cody Barton and Jonah Elliss),4.040,4.210
4,7:20,2,5,DEN 18,7,28,Bryce Young pass deep left intended for Jalen Coker is intercepted by Ja'Quan McMillian in end zone and returned for no gain. Penalty on Robert Hunt: Ineligible Downfield Pass 5 yards (declined),4.210,-0.280
4,7:14,1,10,DEN 20,7,28,Jaleel McLaughlin right guard for 9 yards (tackle by Demani Richardson),0.280,0.950
4,6:49,2,1,DEN 29,7,28,Jaleel McLaughlin left guard for 3 yards (tackle by Shy Tuttle and LaBryan Ray),0.950,1.070
4,6:08,1,10,DEN 32,7,28,Javonte Williams left guard for 2 yards (tackle by Jadeveon Clowney and Josey Jewell),1.070,0.800
4,5:34,2,8,DEN 34,7,28,Bo Nix pass complete short left to Lucas Krull for 15 yards (tackle by Xavier Woods),0.800,2.190
4,4:45,1,10,DEN 49,7,28,Javonte Williams left tackle for 2 yards (tackle by Josey Jewell). Penalty on Nate Adkins: Illegal Formation 5 yards (declined),2.190,1.920
4,4:45,2,8,CAR 49,7,28,Bo Nix pass incomplete deep right intended for Javonte Williams,1.920,1.220
4,4:36,3,8,CAR 49,7,28,Bo Nix pass complete short right to Troy Franklin for 6 yards (tackle by Jadeveon Clowney),1.220,0.400
4,4:29,,,,,,Timeout #2 by Carolina Panthers,,
4,4:29,4,2,CAR 43,7,28,Courtland Sutton pass complete deep right to Michael Burton for 28 yards (tackle by Trevin Wallace and Xavier Woods),0.400,4.580
4,3:44,1,10,CAR 15,7,28,Javonte Williams left guard for 2 yards (tackle by DeShawn Williams),4.580,4.280
4,3:05,2,8,CAR 13,7,28,Audric Estime right tackle for 4 yards (tackle by Josey Jewell and Shy Tuttle),4.280,4.220
4,2:21,,,,,,Timeout #3 by Denver Broncos,,
4,2:21,3,4,CAR 9,7,28,Bo Nix pass complete short right to Courtland Sutton for 7 yards. Courtland Sutton fumbles (tackle by Michael Jackson) recovered by Shy Tuttle at CAR-2,4.220,0.380
4,2:13,1,10,CAR 2,7,28,Chuba Hubbard right tackle for 2 yards (tackle by Nik Bonitto and Brandon Jones),-0.380,-0.630
4,2:00,2,8,CAR 4,7,28,Bryce Young pass incomplete short left,-0.630,-1.190
4,1:55,3,8,CAR 4,7,28,Bryce Young pass complete short right to Miles Sanders for 11 yards (tackle by Justin Strnad and Jonah Elliss),-1.190,-0.220
4,1:33,1,10,CAR 15,7,28,Bryce Young pass complete short right to David Moore for 12 yards,-0.220,0.740
4,1:24,1,10,CAR 27,7,28,Bryce Young pass complete short right to David Moore for 13 yards (tackle by Riley Moss),0.740,1.600
4,1:02,1,10,CAR 40,7,28,Bryce Young pass incomplete short right,1.600,1.050
4,0:55,2,10,CAR 40,7,28,Bryce Young pass complete deep left to Xavier Legette for 23 yards (tackle by Ja'Quan McMillian). Penalty on Malcolm Roach: Roughing the Passer 15 yards (accepted),1.050,4.110
4,0:47,1,10,DEN 22,7,28,Bryce Young pass incomplete deep left intended for Jonathan Mingo,4.110,3.560
4,0:43,2,10,DEN 22,7,28,Bryce Young pass complete short middle to Ja'Tavion Sanders for 7 yards (tackle by Justin Strnad and Ja'Quan McMillian),3.560,3.930
4,0:23,3,3,DEN 15,13,28,Bryce Young pass complete short right to Jalen Coker for 15 yards touchdown,3.930,7.000
4,0:18,,,DEN 15,14,28,Eddy Piñeiro kicks extra point good,0.000,0.000
4,0:18,,,CAR 35,14,28,Johnny Hekker kicks onside 12 yards out of bounds. Penalty on Johnny Hekker: Kickoff Out of Bounds (accepted),0.000,2.460
4,0:18,1,10,CAR 47,14,28,Bo Nix kneels for -1 yards,2.460,1.780
