Quarter,Time,Down,ToGo,Location,CAR,TAM,Detail,EPB,EPA
4,8:21,3,5,TAM 33,14,48,Bryce Young sacked by Chris Braswell for -5 yards. Bryce Young fumbles (forced by Chris Braswell) recovered by Raheem Blackshear at TB-39,2.480,0.660
4,7:36,4,11,TAM 39,14,48,Bryce Young sacked by Logan Hall for -9 yards,0.660,-2.130
4,7:33,1,10,TAM 48,14,48,Sean Tucker left tackle for 3 yards (tackle by Cam Gill and Jaden Crumedy),2.130,1.990
4,6:53,2,7,CAR 49,14,48,Sean Tucker right tackle for 2 yards (tackle by Chandler Wooten),1.990,1.550
4,6:12,3,5,CAR 47,14,48,Sean Tucker left guard for 9 yards (tackle by Xavier Woods),1.550,3.050
4,5:29,1,10,CAR 38,14,48,Sean Tucker right guard for 7 yards (tackle by Xavier Woods and Caleb Farley),3.050,3.450
4,4:44,2,3,CAR 31,14,48,Sean Tucker left end for 2 yards (tackle by Jacoby Windmon),3.450,3.010
4,4:05,3,1,CAR 29,14,48,Rachaad White right guard for 2 yards (tackle by Jacoby Windmon and Jadeveon Clowney),3.010,3.780
4,3:26,1,10,CAR 27,14,48,Sean Tucker right tackle for 9 yards (tackle by Demani Richardson and Xavier Woods),3.780,4.530
4,2:40,2,1,CAR 18,14,48,Sean Tucker right tackle for 3 yards (tackle by Demani Richardson and Chandler Wooten),4.530,4.580
4,2:00,1,10,CAR 15,14,48,Kyle Trask kneels for -1 yards,4.580,3.810
4,1:20,2,11,CAR 16,14,48,Kyle Trask kneels for no gain,3.810,3.040
4,0:39,3,11,CAR 16,14,48,Kyle Trask kneels for -1 yards,3.040,2.310
