Quarter,Time,Down,ToGo,Location,LVR,NOR,Detail,EPB,EPA
4,3:10,,,,,,Timeout #3 by New Orleans Saints,,
4,3:10,4,4,NOR 43,25,10,AJ Cole punts 33 yards fair catch by Dante Pettis at NO-10,0.400,0.380
4,3:03,1,10,NOR 10,25,10,Spencer Rattler pass incomplete short left intended for Marquez Valdes-Scantling (defended by Zachary Carter). Penalty on Andre Carter: Roughing the Passer 15 yards (accepted) (no play),-0.380,0.610
4,2:58,1,10,NOR 25,25,10,Spencer Rattler pass complete short middle to Juwan Johnson for 5 yards (tackle by Robert Spillane),0.610,0.740
4,2:38,2,5,NOR 30,25,10,Spencer Rattler scrambles left end for 10 yards (tackle by Tre'von Moehrig),0.740,1.600
4,2:31,1,10,NOR 40,25,10,Spencer Rattler pass incomplete short left intended for Clyde Edwards-Helaire,1.600,1.050
4,2:28,2,10,NOR 40,25,10,Spencer Rattler pass complete deep left to Dante Pettis for 19 yards (tackle by Isaiah Pola-Mao),1.050,2.850
4,2:21,1,10,LVR 41,25,10,Cedrick Wilson sacked by and Thomas Harper for -3 yards and Andre Carter for -3 yards,2.850,1.900
4,2:00,2,13,LVR 44,25,10,Spencer Rattler pass incomplete short middle intended for Marquez Valdes-Scantling (defended by Isaiah Pola-Mao),1.900,1.220
4,1:44,3,13,LVR 44,25,10,Spencer Rattler pass complete short middle to Juwan Johnson for 16 yards (tackle by Nate Hobbs and Tre'von Moehrig),1.220,3.710
4,1:32,1,10,LVR 28,25,10,Spencer Rattler pass incomplete deep left intended for Dante Pettis,3.710,3.170
4,1:29,2,10,LVR 28,25,10,Spencer Rattler pass complete short left to Foster Moreau for 8 yards (tackle by Robert Spillane and Tre'von Moehrig),3.170,3.530
4,1:08,3,2,LVR 20,25,10,Spencer Rattler pass complete short middle to Juwan Johnson for no gain (tackle by Nate Hobbs). Penalty on Juwan Johnson: Offensive Pass Interference 10 yards (accepted) (no play),3.530,2.210
4,1:04,3,12,LVR 30,25,10,Spencer Rattler pass short left intended for Juwan Johnson is intercepted by Thomas Harper at LV-22 and returned for 14 yards. Penalty on Trevor Penning: Unnecessary Roughness / Defense 23 yards (accepted),2.210,-2.850
4,0:53,1,10,NOR 41,25,10,Aidan O'Connell kneels for -1 yards,2.850,2.170
4,0:37,2,11,NOR 42,25,10,Aidan O'Connell kneels for -1 yards,2.170,1.350
