Quarter,Time,Down,ToGo,Location,IND,NYG,Detail,EPB,EPA
4,6:07,1,10,IND 46,33,35,Drew Lock pass complete short right to Malik Nabers for 3 yards (tackle by Samuel Womack),2.520,2.380
4,5:26,2,7,IND 43,33,35,Tyrone Tracy right guard for -1 yards (tackle by Zaire Franklin),2.380,1.550
4,4:48,3,8,IND 44,33,35,Drew Lock pass complete short middle to Wan'Dale Robinson for 35 yards (tackle by Zaire Franklin and Jaylon Jones),1.550,5.140
4,3:57,1,9,IND 9,33,35,Tyrone Tracy left tackle for 4 yards (tackle by Nick Cross and Julian Blackmon),5.140,5.150
4,3:07,2,5,IND 5,33,35,Drew Lock pass incomplete short middle intended for Malik Nabers,5.150,4.260
4,3:05,3,5,IND 5,33,41,Drew Lock scrambles left end for 5 yards touchdown,4.260,7.000
4,2:57,,,IND 15,33,42,Graham Gano kicks extra point good,0.000,0.000
4,2:57,,,NYG 35,33,42,Graham Gano kicks off 65 yards touchback.,0.000,0.940
4,2:57,1,10,IND 30,33,42,Joe Flacco pass short right intended for Kylen Granson is intercepted by Andru Phillips at IND-42 and returned for 25 yards (tackle by Bernhard Raimann),0.940,-4.440
4,2:46,1,10,IND 17,33,42,Tyrone Tracy up the middle for 2 yards (tackle by Zaire Franklin and Jaylon Carlies),4.440,4.150
4,2:33,,,,,,Timeout #1 by Indianapolis Colts,,
4,2:33,2,8,IND 15,33,42,Tyrone Tracy up the middle for 1 yard (tackle by Dayo Odeyingbo and DeForest Buckner),4.150,3.500
4,2:29,,,,,,Timeout #2 by Indianapolis Colts,,
4,2:29,3,7,IND 14,33,42,Tyrone Tracy right guard for 2 yards (tackle by Kwity Paye and Grover Stewart),3.500,2.680
4,2:24,,,,,,Timeout #3 by Indianapolis Colts,,
4,2:24,4,5,IND 12,33,45,Graham Gano 30 yard field goal good,2.680,3.000
4,2:20,,,NYG 35,33,45,Graham Gano kicks off 65 yards touchback.,0.000,0.940
4,2:20,1,10,IND 30,33,45,Joe Flacco pass complete short right to Kylen Granson for no gain (tackle by Darius Muasau). Penalty on Bernhard Raimann: Offensive Holding 10 yards (accepted) (no play),0.940,0.280
4,2:14,1,20,IND 20,33,45,Joe Flacco pass complete short middle to Trey Sermon for 10 yards (tackle by Darius Muasau and Isaiah Simmons),0.280,0.390
4,2:00,2,10,IND 30,33,45,Joe Flacco sacked by Kayvon Thibodeaux for -7 yards. Joe Flacco fumbles (forced by Kayvon Thibodeaux) recovered by Elijah Garcia at IND-22,0.390,-4.110
4,1:53,1,10,IND 22,33,45,Drew Lock kneels for -1 yards,4.110,3.430
4,1:11,2,11,IND 23,33,45,Drew Lock kneels for -2 yards,3.430,2.480
4,0:34,3,13,IND 25,33,45,Drew Lock kneels for -1 yards,2.480,1.740
