Quarter,Time,Down,ToGo,Location,TEN,JAX,Detail,EPB,EPA
4,15:00,1,15,JAX 31,10,13,Travis Etienne left end for no gain (tackle by Luke Gifford). Penalty on Josiah Deguara: Offensive Holding 10 yards (accepted) (no play),1.000,0.340
4,14:43,1,25,JAX 21,10,13,Mac Jones pass complete short right to Brian Thomas for 9 yards (tackle by Chidobe Awuzie and Jerome Baker),0.340,-0.020
4,14:06,2,16,JAX 30,10,13,Mac Jones pass complete deep middle to Parker Washington for 24 yards (tackle by Mike Brown and Daryl Worley),-0.020,2.520
4,13:38,1,10,TEN 46,10,13,Tank Bigsby right tackle for 7 yards (tackle by Chidobe Awuzie),2.520,2.920
4,13:15,2,3,TEN 39,10,13,Tank Bigsby left guard for 2 yards (tackle by Daryl Worley),2.920,2.480
4,12:38,3,1,TEN 37,10,13,Mac Jones up the middle for 2 yards (tackle by Luke Gifford),2.480,3.250
4,12:04,1,10,TEN 35,10,13,Tank Bigsby right tackle for 6 yards (tackle by Mike Brown),3.250,3.510
4,11:40,2,4,TEN 29,10,13,Tank Bigsby up the middle for 3 yards (tackle by Jerome Baker),3.510,3.200
4,11:08,3,1,TEN 26,10,13,Mac Jones left guard for 2 yards (tackle by Keondre Coburn),3.200,3.970
4,10:25,1,10,TEN 24,10,13,Tank Bigsby left end for 4 yards (tackle by Jarvis Brownlee),3.970,3.970
4,9:30,2,6,TEN 20,10,13,Mac Jones pass complete short left to Parker Washington for 5 yards (tackle by Roger McCreary),3.970,4.170
4,8:46,3,1,TEN 15,10,13,Tank Bigsby up the middle for 4 yards (tackle by Jeffery Simmons and Jarvis Brownlee),4.170,4.840
4,7:58,1,10,TEN 11,10,13,Mac Jones sacked by Jerome Baker for no gain,4.840,4.140
4,7:15,2,10,TEN 11,10,13,Mac Jones pass incomplete short right intended for Travis Etienne,4.140,3.130
4,7:11,3,10,TEN 11,10,19,Mac Jones pass complete short left to Brian Thomas for 11 yards touchdown,3.130,7.000
4,7:05,,,TEN 15,10,20,Cam Little kicks extra point good,0.000,0.000
4,7:05,,,JAX 35,10,20,Cam Little kicks off 65 yards touchback.,0.000,0.940
4,7:05,1,10,TEN 30,10,20,Mason Rudolph pass complete short right to Calvin Ridley for 12 yards (tackle by Montaric Brown),0.940,1.730
4,6:33,1,10,TEN 42,10,20,Mason Rudolph pass complete short middle to Nick Westbrook-Ikhine for 7 yards (tackle by Tyson Campbell),1.730,2.130
4,6:06,2,3,TEN 49,10,20,Julius Chestnut left tackle for 2 yards (tackle by Devin Lloyd),2.130,1.690
4,5:47,3,1,JAX 49,10,20,Mason Rudolph up the middle for 1 yard (tackle by Foyesade Oluokun),1.690,2.390
4,5:20,1,10,JAX 48,10,20,Mason Rudolph pass complete short right to Chigoziem Okonkwo for 6 yards (tackle by Foyesade Oluokun and Montaric Brown),2.390,2.660
4,4:59,2,4,JAX 42,10,20,Mason Rudolph pass complete deep middle to Calvin Ridley for 20 yards (tackle by Tyson Campbell),2.660,4.110
4,4:19,1,10,JAX 22,10,20,Julius Chestnut up the middle for 6 yards (tackle by Devin Lloyd),4.110,4.460
4,3:52,2,4,JAX 16,10,20,Mason Rudolph scrambles up the middle for 5 yards (tackle by Devin Lloyd),4.460,4.840
4,3:20,1,10,JAX 11,10,20,Mason Rudolph pass incomplete short right,4.840,4.140
4,3:13,2,10,JAX 11,10,20,Mason Rudolph sacked by Maason Smith for -3 yards,4.140,3.030
4,2:32,3,13,JAX 14,10,20,Penalty on JC Latham: False Start 5 yards (accepted) (no play),3.030,2.550
4,2:32,3,18,JAX 19,10,20,Julius Chestnut right end for 9 yards (tackle by Jarrian Jones),2.550,2.760
4,2:05,4,9,JAX 10,13,20,Matthew Wright 28 yard field goal good,2.760,3.000
4,2:02,,,TEN 35,13,20,Matthew Wright kicks off 66 yards returned by Devin Duvernay for 32 yards (tackle by Mike Brown),0.000,1.000
4,1:55,1,10,JAX 31,13,20,Travis Etienne up the middle for 3 yards (tackle by Jeffery Simmons),1.000,0.870
4,1:51,,,,,,Timeout #1 by Tennessee Titans,,
4,1:51,2,7,JAX 34,13,20,Travis Etienne right tackle for 3 yards (tackle by Chidobe Awuzie),0.870,0.560
4,1:47,,,,,,Timeout #2 by Tennessee Titans,,
4,1:47,3,4,JAX 37,13,20,Travis Etienne left tackle for 2 yards (tackle by Jeffery Simmons),0.560,-0.780
4,1:42,,,,,,Timeout #3 by Tennessee Titans,,
4,1:42,4,2,JAX 39,13,20,Logan Cooke punts 44 yards returned by Mason Kinsey for 9 yards (tackle by Josiah Deguara),-0.780,-0.670
4,1:29,1,10,TEN 26,13,20,Mason Rudolph pass complete short middle to Nick Westbrook-Ikhine for 12 yards (tackle by Andrew Wingard and Montaric Brown),0.670,1.470
4,1:07,1,10,TEN 38,13,20,Mason Rudolph pass complete deep middle to Calvin Ridley for 24 yards (tackle by Montaric Brown),1.470,3.050
4,0:49,1,10,JAX 38,13,20,Mason Rudolph pass complete short left to Tyler Boyd for 7 yards (tackle by Jarrian Jones),3.050,3.450
4,0:43,2,3,JAX 31,13,20,Mason Rudolph pass incomplete deep left intended for Chigoziem Okonkwo,3.450,2.740
4,0:37,3,3,JAX 31,13,20,Mason Rudolph pass incomplete deep left intended for Chigoziem Okonkwo. Penalty on Josh Hines-Allen: Defensive Offside 5 yards (accepted) (no play),2.740,3.840
4,0:31,1,10,JAX 26,13,20,Mason Rudolph pass incomplete short middle intended for Tyler Boyd (defended by Foyesade Oluokun),3.840,3.300
4,0:24,2,10,JAX 26,13,20,Mason Rudolph pass incomplete short right intended for Nick Westbrook-Ikhine (defended by Arik Armstead),3.300,2.610
4,0:20,3,10,JAX 26,13,20,Mason Rudolph pass incomplete deep middle intended for Josh Whyle,2.610,1.740
4,0:14,,,,,,Timeout #1 by Jacksonville Jaguars,,
4,0:14,4,10,JAX 26,13,20,Mason Rudolph pass incomplete deep middle intended for Nick Westbrook-Ikhine (defended by Antonio Johnson),1.740,-0.670
4,0:09,1,10,JAX 26,13,20,Mac Jones kneels for -1 yards,0.670,-0.010
