Quarter,Time,Down,ToGo,Location,MIA,BUF,Detail,EPB,EPA
4,6:24,2,2,MIA 2,20,26,Josh Allen pass complete short right to Quintin Morris for 2 yards touchdown,5.720,7.000
4,6:18,,,MIA 15,20,27,Tyler Bass kicks extra point good,0.000,0.000
4,6:18,,,BUF 35,20,27,Tyler Bass kicks off 68 yards returned by D'Wayne Eskridge for 22 yards (tackle by Cole Bishop),0.000,0.150
4,6:14,1,10,MIA 19,20,27,De'Von Achane up the middle for 12 yards (tackle by Damar Hamlin),0.150,1.000
4,5:31,1,10,MIA 31,20,27,Tua Tagovailoa pass complete deep left to Tyreek Hill for 19 yards (tackle by Taylor Rapp),1.000,2.260
4,4:47,1,10,MIA 50,20,27,Jaylen Wright left guard for 3 yards (tackle by Terrel Bernard and Gregory Rousseau),2.260,2.120
4,4:05,2,7,BUF 47,20,27,Tua Tagovailoa pass complete short left to De'Von Achane for 9 yards (tackle by A.J. Epenesa),2.120,3.050
4,3:25,1,10,BUF 38,20,27,Jaylen Wright right tackle for 3 yards (tackle by Casey Toohill and Von Miller),3.050,2.910
4,2:39,,,,,,Timeout #1 by Miami Dolphins,,
4,2:39,2,7,BUF 35,20,27,Tua Tagovailoa pass incomplete deep right intended for Jonnu Smith,2.910,2.210
4,2:34,3,7,BUF 35,20,27,Tua Tagovailoa pass complete short right to Jaylen Waddle for 12 yards,2.210,4.040
4,2:29,1,10,BUF 23,20,27,De'Von Achane right end for no gain (tackle by Terrel Bernard),4.040,3.500
4,2:00,2,10,BUF 23,20,27,Tua Tagovailoa pass complete short left to De'Von Achane for 18 yards (tackle by Damar Hamlin),3.500,6.060
4,1:52,1,5,BUF 5,20,27,De'Von Achane right end for -2 yards (tackle by Gregory Rousseau),6.060,4.760
4,1:45,,,,,,Timeout #2 by Buffalo Bills,,
4,1:45,2,7,BUF 7,26,27,Tua Tagovailoa pass complete short right to Jaylen Waddle for 7 yards touchdown,4.760,7.000
4,1:38,,,BUF 15,27,27,Jason Sanders kicks extra point good,0.000,0.000
4,1:38,,,MIA 35,27,27,Jason Sanders kicks off 65 yards touchback.,0.000,0.940
4,1:38,1,10,BUF 30,27,27,Josh Allen sacked by Chop Robinson for -4 yards,0.940,-0.150
4,0:58,2,14,BUF 26,27,27,Josh Allen pass incomplete short left intended for Dalton Kincaid (defended by Da'Shawn Hand),-0.150,-0.820
4,0:54,3,14,BUF 26,27,27,Penalty on Chop Robinson: Neutral Zone Infraction 5 yards (accepted) (no play),-0.820,-0.160
4,0:54,3,9,BUF 31,27,27,Josh Allen pass incomplete deep left intended for Keon Coleman. Penalty on Jordan Poyer: Unnecessary Roughness / Defense 15 yards (accepted) (no play),-0.160,1.990
4,0:46,1,10,BUF 46,27,27,Josh Allen pass incomplete short left intended for Dawson Knox,1.990,1.450
4,0:43,2,10,BUF 46,27,27,Josh Allen pass complete short left to Mack Hollins for 7 yards (tackle by Cam Smith),1.450,1.690
4,0:37,,,,,,Timeout #3 by Buffalo Bills,,
4,0:37,3,3,MIA 47,27,27,Josh Allen pass complete short left to Mack Hollins for 4 yards (tackle by Cam Smith),1.690,2.720
4,0:22,1,10,MIA 43,27,27,Josh Allen spiked the ball,2.720,2.180
4,0:21,2,10,MIA 43,27,27,Josh Allen pass incomplete short left intended for Curtis Samuel,2.180,1.490
4,0:17,3,10,MIA 43,27,27,Josh Allen pass incomplete deep left intended for Dalton Kincaid,1.490,0.400
4,0:10,4,10,MIA 43,27,30,Tyler Bass 61 yard field goal good,0.400,3.000
4,0:05,,,BUF 35,27,30,Tyler Bass kicks off 65 yards touchback.,0.000,0.940
4,0:05,1,10,MIA 30,27,30,Tua Tagovailoa pass complete short right to De'Von Achane for -1 yards lateral to Jaylen Waddle for -23 yards (tackle by Gregory Rousseau),0.940,-2.530
