Quarter,Time,Down,ToGo,Location,DAL,ATL,Detail,EPB,EPA
4,9:22,1,10,ATL 14,13,27,Bijan Robinson left tackle for -4 yards (tackle by DeMarvion Overshown),-0.280,-1.070
4,8:43,2,14,ATL 10,13,27,Kirk Cousins pass complete short right to Ray-Ray McCloud for 7 yards (tackle by DeMarvion Overshown and Malik Hooker),-1.070,-1.040
4,8:11,3,7,ATL 17,13,27,Kirk Cousins pass incomplete short middle intended for KhaDarel Hodge (defended by Marist Liufau),-1.040,-2.320
4,8:06,4,7,ATL 17,13,27,Bradley Pinion punts 55 yards returned by KaVontae Turpin for 16 yards (tackle by Natrone Brooks),-2.320,-1.860
4,7:52,1,10,DAL 44,13,27,Cooper Rush pass incomplete short middle intended for CeeDee Lamb,1.860,1.320
4,7:47,2,10,DAL 44,13,27,Cooper Rush pass complete short middle to Jake Ferguson for 14 yards (tackle by Jessie Bates),1.320,2.790
4,7:23,1,10,ATL 42,13,27,Cooper Rush pass complete short left to Rico Dowdle for 8 yards (tackle by Kaden Elliss and AJ Terrell),2.790,3.320
4,7:00,2,2,ATL 34,13,27,Cooper Rush pass incomplete short middle intended for CeeDee Lamb (defended by Jessie Bates),3.320,2.610
4,6:55,3,2,ATL 34,13,27,Cooper Rush pass complete short right to CeeDee Lamb for 4 yards (tackle by DeAundre Alford),2.610,3.580
4,6:28,1,10,ATL 30,13,27,Cooper Rush pass complete short right to Hunter Luepke for -3 yards (tackle by DeAngelo Malone),3.580,2.630
4,5:58,2,13,ATL 33,13,27,Penalty on Tyler Guyton: False Start 5 yards (accepted) (no play),2.630,1.950
4,5:58,2,18,ATL 38,13,27,Cooper Rush pass complete short left to CeeDee Lamb for 7 yards (tackle by DeAundre Alford),1.950,2.210
4,5:32,3,11,ATL 31,13,27,Cooper Rush pass incomplete deep right intended for CeeDee Lamb (defended by DeAundre Alford),2.210,1.320
4,5:26,4,11,ATL 31,13,27,Cooper Rush pass incomplete short right intended for KaVontae Turpin (defended by DeAundre Alford),1.320,-1.000
4,5:20,1,10,ATL 31,13,27,Bijan Robinson left tackle for 6 yards (tackle by Chauncey Golston and Donovan Wilson),1.000,1.270
4,5:13,,,,,,Timeout #1 by Dallas Cowboys,,
4,5:13,2,4,ATL 37,13,27,Bijan Robinson right guard for -1 yards (tackle by Donovan Wilson),1.270,0.430
4,5:09,,,,,,Timeout #2 by Dallas Cowboys,,
