Quarter,Time,Down,ToGo,Location,LAR,SEA,Detail,EPB,EPA
4,1:31,2,24,SEA 13,20,13,Geno Smith pass complete deep left to Cody White for 28 yards,-1.790,1.660
4,1:26,1,10,SEA 41,20,13,Geno Smith scrambles left end for 11 yards (tackle by Christian Rozeboom),1.660,2.390
4,1:20,1,10,LAR 48,20,13,Geno Smith pass incomplete short middle intended for Jake Bobo (defended by Darious Williams),2.390,1.850
4,1:14,,,,,,Timeout #2 by Los Angeles Rams,,
4,1:14,2,10,LAR 48,20,13,Geno Smith pass complete short right to AJ Barner for 5 yards (tackle by Jaylen McCollough),1.850,1.820
4,1:07,3,5,LAR 43,20,13,Geno Smith pass incomplete short right intended for Jaxon Smith-Njigba (defended by Jared Verse),1.820,0.400
4,1:03,4,5,LAR 43,20,13,Geno Smith pass complete deep left to Jaxon Smith-Njigba for 29 yards (tackle by Kamren Kinchens),0.400,4.650
4,0:57,1,10,LAR 14,20,19,Geno Smith pass complete short right to Jaxon Smith-Njigba for 14 yards touchdown,4.650,7.000
4,0:51,,,LAR 15,20,20,Jason Myers kicks extra point good,0.000,0.000
4,0:51,,,SEA 35,20,20,Jason Myers kicks off 65 yards touchback.,0.000,0.940
4,0:51,1,10,LAR 30,20,20,Matthew Stafford pass incomplete deep left intended for Demarcus Robinson. Penalty on Riq Woolen: Defensive Pass Interference 11 yards (accepted) (no play),0.940,1.660
4,0:47,1,10,LAR 41,20,20,Matthew Stafford pass complete short left to Tyler Johnson for 8 yards (tackle by Tyrel Dodson),1.660,2.200
4,0:40,2,2,LAR 49,20,20,Matthew Stafford pass incomplete short left,2.200,1.490
4,0:34,3,2,LAR 49,20,20,Matthew Stafford pass incomplete deep right intended for Demarcus Robinson (defended by Devon Witherspoon),1.490,-0.130
4,0:28,4,2,LAR 49,20,20,Ty Zentner punts 36 yards downed by Jake Hummel,-0.130,0.220
4,0:19,1,10,SEA 15,20,20,Geno Smith kneels for -1 yards,-0.220,0.000
,,,,,,,Seahawks won the coin toss Seahawks to receive the overtime kickoff.,,
OT,10:00,,,LAR 35,20,20,Joshua Karty kicks off 65 yards touchback.,0.000,0.940
OT,10:00,1,10,SEA 30,20,20,Kenneth Walker up the middle for 8 yards (tackle by Byron Young and Jaylen McCollough),0.940,1.470
OT,9:37,2,2,SEA 38,20,20,Kenneth Walker up the middle for 6 yards (tackle by Byron Young),1.470,1.860
OT,9:16,1,10,SEA 44,20,20,Geno Smith pass complete short middle to Jaxon Smith-Njigba for 31 yards (tackle by Kamren Kinchens). Penalty on Kobie Turner: Defensive Offside 5 yards (declined) . Penalty on Ahkello Witherspoon: Illegal Contact 5 yards (declined),1.860,3.910
OT,8:44,1,10,LAR 25,20,20,Kenneth Walker left guard for 4 yards (tackle by Tyler Davis and Jaylen McCollough),3.910,3.900
OT,8:31,2,6,LAR 21,20,20,Kenneth Walker left guard for 5 yards (tackle by Kamren Kinchens and Tyler Davis),3.900,4.060
OT,8:07,3,1,LAR 16,20,20,Kenneth Walker left guard for no gain (tackle by Jared Verse),4.060,2.530
OT,7:25,,,,,,Timeout #1 by Los Angeles Rams,,
OT,7:25,4,1,LAR 16,20,20,Kenneth Walker left tackle for no gain (tackle by Bobby Brown and Omar Speights),2.530,0.060
OT,7:19,1,10,LAR 17,20,20,Matthew Stafford pass complete deep right to Tyler Johnson for 24 yards (tackle by Tyrel Dodson),-0.060,1.660
OT,6:29,1,10,LAR 41,20,20,Matthew Stafford pass complete deep left to Tutu Atwell for 16 yards (tackle by Josh Jobe),1.660,2.720
OT,5:43,1,10,SEA 43,20,20,Kyren Williams right guard for 4 yards (tackle by Byron Murphy and Leonard Williams),2.720,2.720
OT,5:04,2,6,SEA 39,26,20,Matthew Stafford pass complete deep left to Demarcus Robinson for 39 yards touchdown,2.720,6.000
