Quarter,Time,Down,ToGo,Location,CHI,ARI,Detail,EPB,EPA
4,7:36,,,,,,Timeout #3 by Chicago Bears,,
4,7:36,4,1,CHI 27,9,29,Kyler Murray aborted snap recovered by Kevin Byard at CHI-26,1.820,-0.670
4,7:31,1,10,CHI 26,9,29,Caleb Williams pass complete short right to D'Andre Swift for 4 yards (tackle by Budda Baker),0.670,0.670
4,7:04,2,6,CHI 30,9,29,Caleb Williams pass complete short middle to D'Andre Swift for 5 yards (tackle by Owen Pappoe),0.670,0.630
4,6:41,3,1,CHI 35,9,29,D'Andre Swift up the middle for 2 yards (tackle by Garrett Williams),0.630,1.400
4,6:15,1,10,CHI 37,9,29,Caleb Williams pass complete short right to Gerald Everett for 5 yards (tackle by Starling Thomas),1.400,1.530
4,5:50,2,5,CHI 42,9,29,D'Andre Swift up the middle for 13 yards (tackle by Mack Wilson),1.530,2.590
4,5:20,1,10,ARI 45,9,29,Caleb Williams pass complete short right to D'Andre Swift for 5 yards (tackle by Kyzir White),2.590,2.720
4,4:56,2,5,ARI 40,9,29,Caleb Williams pass incomplete deep left intended for Keenan Allen,2.720,2.010
4,4:44,3,5,ARI 40,9,29,Caleb Williams pass incomplete short left intended for D.J. Moore (defended by Max Melton),2.010,0.590
4,4:41,4,5,ARI 40,9,29,Caleb Williams pass incomplete short left intended for Keenan Allen,0.590,-1.600
4,4:35,1,10,ARI 40,9,29,Emari Demercado right end for -1 yards (tackle by Jacob Martin),1.600,0.920
4,3:55,2,11,ARI 39,9,29,Emari Demercado up the middle for 4 yards (tackle by Tremaine Edmunds),0.920,0.760
4,3:15,3,7,ARI 43,9,29,DeeJay Dallas up the middle for 2 yards (tackle by DeMarcus Walker and Gervon Dexter),0.760,-0.390
4,2:32,4,5,ARI 45,9,29,Blake Gillikin punts 36 yards downed by Victor Dimukeje,-0.390,-0.150
4,2:15,1,10,CHI 19,9,29,Roschon Johnson right end for 5 yards (tackle by Xavier Thomas and Ben Stille),0.150,0.340
4,2:00,2,5,CHI 24,9,29,Caleb Williams pass complete short right to Keenan Allen for 13 yards (tackle by Kei'Trel Clark),0.340,1.400
4,1:37,1,10,CHI 37,9,29,Caleb Williams pass complete short middle to Roschon Johnson for 3 yards (tackle by Dadrion Taylor-Demerson),1.400,1.260
4,1:13,2,7,CHI 40,9,29,Caleb Williams pass incomplete short right,1.260,0.560
4,1:10,3,7,CHI 40,9,29,Caleb Williams scrambles up the middle for 2 yards (tackle by Victor Dimukeje),0.560,-0.590
4,0:38,4,5,CHI 42,9,29,Caleb Williams pass complete short middle to Keenan Allen for 6 yards (tackle by Krys Barnes),-0.590,2.130
