Quarter,Time,Down,ToGo,Location,JAX,PHI,Detail,EPB,EPA
3,3:51,1,10,JAX 48,16,22,Saquon Barkley right end for 4 yards (tackle by Arik Armstead),2.390,2.390
3,3:19,2,6,JAX 44,16,22,Saquon Barkley up the middle for 10 yards (tackle by Foyesade Oluokun),2.390,3.310
3,2:54,1,10,JAX 34,16,22,Saquon Barkley left end for 9 yards (tackle by Ventrell Miller),3.310,3.990
3,2:16,2,1,JAX 25,16,22,Jalen Hurts pass incomplete short left intended for DeVonta Smith,3.990,3.270
3,2:11,3,1,JAX 25,16,22,Saquon Barkley left guard for no gain (tackle by Josh Hines-Allen and Jeremiah Ledbetter),3.270,1.950
3,1:18,4,1,JAX 25,16,22,Jalen Hurts pass incomplete short right,1.950,-0.610
3,1:15,1,10,JAX 25,16,22,Tank Bigsby left guard for 3 yards (tackle by Reed Blankenship),0.610,0.470
3,0:32,2,7,JAX 28,16,22,D'Ernest Johnson right end for 6 yards (tackle by Nolan Smith),0.470,0.560
4,15:00,3,1,JAX 34,16,22,Trevor Lawrence pass complete short right to Tim Jones for 10 yards (tackle by Cooper DeJean),0.560,1.860
4,14:30,1,10,JAX 44,16,22,Tank Bigsby right tackle for 2 yards (tackle by Josh Sweat and Jalen Carter),1.860,1.590
4,13:49,2,8,JAX 46,16,22,Trevor Lawrence pass complete short right to Luke Farrell for 5 yards (tackle by Zack Baun),1.590,1.550
4,13:04,3,3,PHI 49,16,22,Trevor Lawrence pass incomplete deep left intended for Parker Washington,1.550,0.000
4,12:57,4,3,PHI 49,16,22,Logan Cooke punts 40 yards fair catch by Cooper DeJean at PHI-9,0.000,0.380
4,12:51,1,10,PHI 9,16,22,Saquon Barkley right tackle for 21 yards (tackle by Andre Cisco),-0.380,0.940
4,12:11,1,10,PHI 30,16,22,Saquon Barkley left guard for 2 yards (tackle by Ventrell Miller and Tyler Lacy),0.940,0.660
4,11:26,2,8,PHI 32,16,22,Kenneth Gainwell left guard for 2 yards (tackle by Josh Hines-Allen and Jeremiah Ledbetter),0.660,0.230
4,10:49,3,6,PHI 34,16,22,Jalen Hurts pass complete short middle to DeVonta Smith for 7 yards (tackle by Tyson Campbell),0.230,1.660
4,10:12,1,10,PHI 41,16,22,Jalen Hurts pass complete deep left to DeVonta Smith for 46 yards (tackle by Ronald Darby),1.660,4.710
4,9:23,1,10,JAX 13,16,22,Jalen Hurts right end for -2 yards (tackle by Travon Walker),4.710,3.760
4,8:40,2,12,JAX 15,16,22,Jalen Hurts pass incomplete short right. Penalty on Fred Johnson: Offensive Holding 10 yards (accepted) (no play),3.760,2.540
4,8:31,2,22,JAX 25,16,22,Jalen Hurts pass complete short right to Ainias Smith for no gain (tackle by Travon Walker),2.540,1.880
4,7:49,3,22,JAX 25,16,28,Jalen Hurts pass complete deep right to DeVonta Smith for 25 yards touchdown,1.880,7.000
4,7:43,,,JAX 2,16,28,Two Point Attempt: Jalen Hurts pass incomplete intended for intended for DeVonta Smith. Penalty on Cam Jurgens: Ineligible Downfield Pass 5 yards (declined),1.000,-1.000
4,7:43,,,PHI 35,16,28,Braden Mann kicks off 65 yards touchback.,0.000,0.940
4,7:43,1,10,JAX 30,16,28,Trevor Lawrence pass complete deep middle to Parker Washington for 18 yards (tackle by Isaiah Rodgers and Reed Blankenship),0.940,2.130
4,7:22,1,10,JAX 48,16,28,Tank Bigsby right tackle for 10 yards (tackle by Nakobe Dean and Reed Blankenship),2.130,2.790
4,7:00,1,10,PHI 42,16,28,Trevor Lawrence pass complete short left to Evan Engram for 4 yards (tackle by Zack Baun),2.790,2.710
4,6:37,2,7,PHI 38,16,28,Trevor Lawrence pass complete short left to Evan Engram for 1 yard (tackle by Reed Blankenship and Josh Sweat),2.710,2.150
4,6:03,3,6,PHI 37,16,28,Trevor Lawrence sacked by Josh Sweat for -7 yards,2.150,0.330
4,5:18,4,13,PHI 44,16,28,Trevor Lawrence pass complete deep right to Brian Thomas for 16 yards (tackle by Isaiah Rodgers),0.330,3.710
4,4:48,1,10,PHI 28,16,28,Trevor Lawrence pass complete short middle to Evan Engram for 24 yards (tackle by C.J. Gardner-Johnson),3.710,6.280
4,4:14,1,4,PHI 4,16,28,Trevor Lawrence pass incomplete short right intended for Brian Thomas,6.280,5.340
4,4:09,2,4,PHI 4,22,28,Trevor Lawrence scrambles left guard for 4 yards touchdown,5.340,7.000
4,4:04,,,PHI 15,23,28,Cam Little kicks extra point good,0.000,0.000
4,4:04,,,JAX 35,23,28,Cam Little kicks off 67 yards returned by Kenneth Gainwell for 34 yards (tackle by Caleb Johnson),0.000,1.070
4,3:57,1,10,PHI 32,23,28,Saquon Barkley left guard for 8 yards (tackle by Darnell Savage),1.070,1.610
4,3:15,2,2,PHI 40,23,28,Saquon Barkley right guard for 15 yards (tackle by Foyesade Oluokun and Darnell Savage),1.610,2.590
4,2:31,1,10,JAX 45,23,28,Saquon Barkley up the middle for 2 yards (tackle by DaVon Hamilton and Ventrell Miller),2.590,2.310
4,2:25,,,,,,Timeout #1 by Jacksonville Jaguars,,
4,2:25,2,8,JAX 43,23,28,Penalty on Lane Johnson: False Start 5 yards (accepted) (no play),2.310,1.640
4,2:25,2,13,JAX 48,23,28,Saquon Barkley right end for 9 yards (tackle by Darnell Savage),1.640,2.150
4,2:19,,,,,,Timeout #2 by Jacksonville Jaguars,,
4,2:19,3,4,JAX 39,23,28,Saquon Barkley up the middle for no gain (tackle by DaVon Hamilton),2.150,0.660
4,2:16,,,,,,Timeout #3 by Jacksonville Jaguars,,
4,2:16,4,4,JAX 39,23,28,Jake Elliott 57 yard field goal no good,0.660,-2.060
4,2:11,1,10,JAX 47,23,28,Trevor Lawrence pass incomplete deep right intended for Parker Washington (defended by Isaiah Rodgers),2.060,1.520
4,2:05,2,10,JAX 47,23,28,Trevor Lawrence pass incomplete short middle intended for Evan Engram,1.520,0.830
4,2:00,3,10,JAX 47,23,28,Trevor Lawrence pass incomplete deep right intended for Evan Engram. Penalty on Avonte Maddox: Defensive Pass Interference 18 yards (accepted) (no play),0.830,3.250
4,1:54,1,10,PHI 35,23,28,Trevor Lawrence pass incomplete deep right intended for Parker Washington,3.250,2.700
4,1:49,2,10,PHI 35,23,28,Trevor Lawrence pass complete short left to Austin Trammell for 22 yards (tackle by C.J. Gardner-Johnson),2.700,4.710
4,1:42,1,10,PHI 13,23,28,Trevor Lawrence pass short left intended for D'Ernest Johnson is intercepted by Nakobe Dean in end zone and returned for no gain,4.710,-0.280
4,1:38,1,10,PHI 20,23,28,Jalen Hurts kneels for -1 yards,0.280,-0.460
4,0:57,2,11,PHI 19,23,28,Jalen Hurts kneels for no gain,-0.460,-1.140
4,0:31,3,11,PHI 19,23,28,Jalen Hurts kneels for -1 yards,-1.140,-2.240
