Quarter,Time,Down,ToGo,Location,MIN,GNB,Detail,EPB,EPA
4,6:20,1,10,MIN 34,31,22,Jordan Love pass deep right intended for Dontayvion Wicks is intercepted by Byron Murphy in end zone and returned for no gain,3.310,-0.280
4,6:13,1,10,MIN 20,31,22,Aaron Jones up the middle for 4 yards (tackle by Lukas Van Ness),0.280,0.270
4,5:31,2,6,MIN 24,31,22,Aaron Jones right guard for no gain (tackle by Kenny Clark and Preston Smith),0.270,-0.430
4,4:48,3,6,MIN 24,31,22,Sam Darnold pass incomplete short left intended for Jalen Nailor,-0.430,-1.770
4,4:40,4,6,MIN 24,31,22,Ryan Wright punts 40 yards returned by Keisean Nixon for 1 yard (tackle by Akayleb Evans),-1.770,-1.400
4,4:31,1,10,GNB 37,31,22,Jordan Love pass incomplete short left intended for Dontayvion Wicks (defended by Stephon Gilmore),1.400,0.860
4,4:27,2,10,GNB 37,31,22,Jordan Love pass complete short right to Tucker Kraft for 5 yards. Tucker Kraft fumbles (forced by Byron Murphy) recovered by Camryn Bynum at GB-42 (tackle by Byron Murphy),0.860,-2.790
4,4:18,1,10,GNB 42,31,22,Aaron Jones left tackle for 2 yards (tackle by Quay Walker and Tedarrell Slaton),2.790,2.510
4,4:11,,,,,,Timeout #1 by Green Bay Packers,,
4,4:11,2,8,GNB 40,31,22,Penalty on Josh Oliver: False Start 5 yards (accepted) (no play),2.510,1.840
4,4:11,2,13,GNB 45,31,22,Aaron Jones left guard for 1 yard (tackle by Rashan Gary and Javon Bullard),1.840,1.290
4,4:08,,,,,,Timeout #2 by Green Bay Packers,,
4,4:08,3,12,GNB 44,31,22,Sam Darnold pass incomplete short left intended for Justin Jefferson MIN challenged the runner was in bounds ruling and the original play was overturned. Sam Darnold pass complete short left to Justin Jefferson for 13 yards,1.290,3.510
4,4:04,1,10,GNB 31,31,22,Sam Darnold pass complete deep middle to Jordan Addison for 18 yards (tackle by Eric Stokes),3.510,4.710
4,3:19,1,10,GNB 13,31,22,Aaron Jones left end for 5 yards (tackle by Eric Stokes),4.710,4.960
4,3:11,2,5,GNB 8,31,22,Aaron Jones up the middle for 4 yards (tackle by Xavier McKinney and Tedarrell Slaton),4.960,5.010
4,3:07,,,,,,Timeout #3 by Green Bay Packers,,
4,3:07,3,1,GNB 4,31,22,Aaron Jones left end for no gain (tackle by Rashan Gary),5.010,3.040
4,2:21,,,,,,Timeout #1 by Minnesota Vikings,,
4,2:21,4,1,GNB 4,31,22,Jalen Nailor left end for no gain (tackle by Eric Stokes),3.040,0.380
4,2:18,1,10,GNB 4,31,22,Emanuel Wilson up the middle for 6 yards (tackle by Josh Metellus and Jonathan Greenard),-0.380,-0.340
4,2:02,2,4,GNB 10,31,22,Jordan Love pass complete short left to Romeo Doubs for 10 yards,-0.340,0.280
4,1:56,1,10,GNB 20,31,22,Jordan Love pass complete short middle to Jayden Reed for 21 yards (tackle by Camryn Bynum),0.280,1.660
4,1:43,1,10,GNB 41,31,22,Jordan Love pass complete deep right to Jayden Reed for 42 yards (tackle by Harrison Smith),1.660,4.440
4,1:02,1,10,MIN 17,31,28,Jordan Love pass complete deep middle to Dontayvion Wicks for 17 yards touchdown,4.440,7.000
4,0:56,,,MIN 15,31,29,Brayden Narveson kicks extra point good,0.000,0.000
4,0:56,,,,,,Timeout #2 by Minnesota Vikings,,
4,0:56,,,GNB 35,31,29,Daniel Whelan kicks onside 12 yards returned by Josh Oliver for no gain,0.000,2.460
4,0:55,1,10,GNB 47,31,29,Sam Darnold kneels for -1 yards,2.460,1.780
4,0:34,2,11,GNB 48,31,29,Sam Darnold kneels for -1 yards,1.780,0.960
