Quarter,Time,Down,ToGo,Location,NWE,SFO,Detail,EPB,EPA
4,3:27,2,7,SFO 15,13,30,Jacoby Brissett scrambles right tackle for 1 yard (tackle by Nick Bosa and Malik Mustapha),4.250,3.630
4,2:52,3,6,SFO 14,13,30,Jacoby Brissett sacked by Nick Bosa for -2 yards. Jacoby Brissett fumbles (forced by Nick Bosa) recovered by Nick Bosa at SF-15,3.630,0.220
4,2:44,1,10,SFO 15,13,30,Jordan Mason up the middle for 6 yards (tackle by Jaylinn Hawkins and Eric Johnson),-0.220,0.210
4,2:37,,,,,,Timeout #2 by New England Patriots,,
4,2:37,2,4,SFO 21,13,30,Jordan Mason left guard for 2 yards (tackle by Raekwon McMillan and Jabrill Peppers),0.210,-0.390
4,2:35,,,,,,Timeout #3 by New England Patriots,,
4,2:35,3,2,SFO 23,13,30,Brock Purdy pass complete short right to Jauan Jennings for 11 yards (tackle by Jahlani Tavai),-0.390,1.200
4,2:31,1,10,SFO 34,13,30,Jordan Mason right guard for 1 yard (tackle by Jeremiah Pharms and Keion White),1.200,0.790
4,2:00,2,9,SFO 35,13,30,Jordan Mason right guard for 2 yards (tackle by Raekwon McMillan and Keion White),0.790,0.370
4,1:17,3,7,SFO 37,13,30,Jordan Mason left end for 25 yards (tackle by Jabrill Peppers),0.370,3.050
4,0:28,1,10,NWE 38,13,30,Brock Purdy kneels for -1 yards,3.050,2.370
