Quarter,Time,Down,ToGo,Location,NYJ,JAX,Detail,EPB,EPA
4,3:17,1,10,JAX 33,25,22,Mac Jones pass incomplete short right,1.140,0.590
4,3:11,2,10,JAX 33,25,22,Mac Jones pass complete short middle to Brenton Strange for 8 yards (tackle by Isaiah Oliver and Jamien Sherwood),0.590,0.960
4,2:46,3,2,JAX 41,25,22,Mac Jones pass complete short middle to Parker Washington for 29 yards (tackle by Chuck Clark),0.960,3.580
4,2:36,1,10,NYJ 30,25,22,Mac Jones pass incomplete deep right intended for Parker Washington,3.580,3.030
4,2:31,2,10,NYJ 30,25,22,Mac Jones scrambles up the middle for 5 yards (tackle by Sauce Gardner),3.030,3.010
4,2:00,3,5,NYJ 25,25,22,Mac Jones pass incomplete short right intended for Brian Thomas,3.010,1.850
4,1:56,4,5,NYJ 25,25,25,Cam Little 43 yard field goal good,1.850,3.000
4,1:51,,,JAX 35,25,25,Cam Little kicks off 65 yards touchback.,0.000,0.940
4,1:51,1,10,NYJ 30,25,25,Aaron Rodgers pass incomplete short left intended for Jeremy Ruckert (defended by Tyson Campbell),0.940,0.390
4,1:47,2,10,NYJ 30,25,25,Aaron Rodgers pass incomplete deep middle intended for Garrett Wilson,0.390,-0.300
4,1:41,,,,,,Timeout #1 by New York Jets,,
4,1:41,3,10,NYJ 30,25,25,Aaron Rodgers pass complete deep left to Davante Adams for 23 yards,-0.300,2.460
4,1:34,1,10,JAX 47,25,25,Aaron Rodgers pass incomplete short right,2.460,1.910
4,1:30,2,10,JAX 47,25,25,Aaron Rodgers scrambles left end for 5 yards (tackle by DaVon Hamilton),1.910,1.880
4,1:22,,,,,,Timeout #2 by New York Jets,,
4,1:22,3,5,JAX 42,25,25,Aaron Rodgers pass complete short left to Davante Adams for 41 yards (tackle by Darnell Savage),1.880,6.970
4,1:08,,,,,,Timeout #1 by Jacksonville Jaguars,,
4,1:08,1,1,JAX 1,31,25,Breece Hall up the middle for 1 yard touchdown,6.970,7.000
4,1:05,,,JAX 15,32,25,Anders Carlson kicks extra point good,0.000,0.000
4,1:05,,,NYJ 35,32,25,Anders Carlson kicks off 65 yards touchback.,0.000,0.940
4,1:05,1,10,JAX 30,32,25,Mac Jones pass complete short left to Devin Duvernay for 6 yards (tackle by Isaiah Oliver),0.940,1.200
4,1:00,2,4,JAX 36,32,25,Mac Jones pass complete short middle to Brenton Strange for 8 yards (tackle by Jamien Sherwood),1.200,1.860
4,0:52,,,,,,Timeout #2 by Jacksonville Jaguars,,
4,0:52,1,10,JAX 44,32,25,Mac Jones pass incomplete deep right intended for Parker Washington,1.860,1.320
4,0:48,2,10,JAX 44,32,25,Mac Jones pass complete short right to Brenton Strange for 9 yards (tackle by Kendall Sheffield) Replay Assistant challenged the short of the line to gain ruling and the play was upheld.,1.320,1.820
4,0:44,3,1,NYJ 47,32,25,Mac Jones pass short right intended for Parker Washington is intercepted by Sauce Gardner at NYJ-13 and returned for no gain (tackle by Parker Washington),1.820,0.320
4,0:37,1,10,NYJ 13,32,25,Aaron Rodgers kneels for no gain,-0.320,-0.770
