Quarter,Time,Down,ToGo,Location,DAL,CAR,Detail,EPB,EPA
4,9:34,4,14,DAL 25,27,7,Bryce Young pass incomplete deep right intended for Jalen Coker. Penalty on Carl Lawson: Roughing the Passer 15 yards (declined) . Penalty on Andrew Booth: Defensive Pass Interference 20 yards (accepted) (no play),1.800,6.060
4,9:28,1,5,DAL 5,27,7,Bryce Young pass incomplete short middle intended for David Moore. Penalty on DaRon Bland: Defensive Pass Interference 4 yards (accepted) (no play),6.060,6.970
4,9:25,1,1,DAL 1,27,7,Penalty on Robert Hunt: False Start 5 yards (accepted) (no play),6.970,5.830
4,9:25,1,6,DAL 6,27,7,Bryce Young pass incomplete short right intended for David Moore,5.830,4.950
4,9:19,2,6,DAL 6,27,13,Bryce Young scrambles right end for 6 yards touchdown,4.950,7.000
4,9:13,,,DAL 15,27,14,Eddy Piñeiro kicks extra point good,0.000,0.000
4,9:13,,,CAR 35,27,14,Johnny Hekker kicks off 50 yards returned by KaVontae Turpin for 24 yards (tackle by Jacoby Windmon and Caleb Farley). Penalty on Sam Franklin: Unnecessary Roughness / Offense 15 yards (accepted),0.000,2.520
4,9:06,1,10,CAR 46,27,14,Rico Dowdle up the middle for 7 yards (tackle by Josey Jewell),2.520,2.920
4,8:25,2,3,CAR 39,27,14,Rico Dowdle up the middle for 8 yards (tackle by Jordan Fuller),2.920,3.510
4,7:46,1,10,CAR 31,27,14,Rico Dowdle left end for 4 yards (tackle by D.J. Wonnum),3.510,3.510
4,6:59,2,6,CAR 27,27,14,Rico Dowdle up the middle for 4 yards (tackle by Josey Jewell),3.510,3.340
4,6:16,3,2,CAR 23,27,14,Cooper Rush pass incomplete short right intended for CeeDee Lamb,3.340,2.050
4,6:12,4,2,CAR 23,30,14,Brandon Aubrey 41 yard field goal good,2.050,3.000
4,6:09,,,DAL 35,30,14,Brandon Aubrey kicks off 65 yards touchback.,0.000,0.940
4,6:09,1,10,CAR 30,30,14,Bryce Young pass complete short left to David Moore for 16 yards (tackle by Marist Liufau and Eric Kendricks),0.940,1.990
4,5:52,1,10,CAR 46,30,14,Bryce Young pass complete short middle to Tommy Tremble for 8 yards (tackle by Donovan Wilson and Marist Liufau),1.990,2.530
4,5:26,2,2,DAL 46,30,14,Bryce Young sacked by Carl Lawson for -12 yards,2.530,0.230
4,4:56,3,14,CAR 42,30,14,Bryce Young pass incomplete deep right intended for Chuba Hubbard. Penalty on Marist Liufau: Defensive Holding 5 yards (accepted) (no play),0.230,2.060
4,4:43,1,10,CAR 47,30,14,Penalty on Micah Parsons: Neutral Zone Infraction 5 yards (accepted) (no play),2.060,2.790
4,4:43,1,5,DAL 48,30,14,Bryce Young pass incomplete deep middle intended for Jalen Coker. Penalty on Carl Lawson: Defensive Offside 5 yards (accepted) (no play),2.790,2.720
4,4:39,1,10,DAL 43,30,14,Bryce Young pass incomplete short left intended for Ja'Tavion Sanders,2.720,2.180
4,4:34,2,10,DAL 43,30,14,Bryce Young pass incomplete short right intended for David Moore,2.180,1.490
4,4:30,3,10,DAL 43,30,14,Bryce Young pass deep middle intended for Adam Thielen is intercepted by Israel Mukuamu at DAL-10 and returned for 15 yards (tackle by David Moore),1.490,-0.610
4,4:21,1,10,DAL 25,30,14,Ezekiel Elliott right end for 3 yards (tackle by DJ Johnson),0.610,0.470
4,4:14,,,,,,Timeout #1 by Carolina Panthers,,
4,4:14,2,7,DAL 28,30,14,Ezekiel Elliott left guard for 2 yards (tackle by Jonathan Harris),0.470,0.040
4,4:08,,,,,,Timeout #2 by Carolina Panthers,,
4,4:08,3,5,DAL 30,30,14,Ezekiel Elliott right guard for 5 yards (tackle by DJ Johnson and Cam Gill),0.040,1.270
4,3:24,1,10,DAL 35,30,14,Ezekiel Elliott left guard for 3 yards (tackle by Jaden Crumedy and Jordan Fuller),1.270,1.130
4,3:19,,,,,,Timeout #3 by Carolina Panthers,,
4,3:19,2,7,DAL 38,30,14,Rico Dowdle right tackle for 11 yards (tackle by D.J. Wonnum and Xavier Woods),1.130,2.190
4,2:37,1,10,DAL 49,30,14,Rico Dowdle up the middle for 8 yards (tackle by Jonathan Harris),2.190,2.730
4,2:00,2,2,CAR 43,30,14,Cooper Rush aborted snap recovered by Cooper Rush at CAR-44 and returned for -1 yards,2.730,1.880
4,1:16,3,3,CAR 44,30,14,Ezekiel Elliott left tackle for 4 yards (tackle by Shy Tuttle),1.880,2.920
4,0:38,1,10,CAR 40,30,14,Cooper Rush kneels for -1 yards,2.920,2.240
