Quarter,Time,Down,ToGo,Location,ATL,LVR,Detail,EPB,EPA
4,12:32,4,10,LVR 41,15,3,AJ Cole punts 45 yards returned by Avery Williams for 12 yards (tackle by Christopher Smith and Tommy Eichenberg),-0.650,-0.670
4,12:21,1,10,ATL 26,15,3,Bijan Robinson up the middle for 29 yards (tackle by Isaiah Pola-Mao),0.670,2.590
4,11:43,1,10,LVR 45,15,3,Kirk Cousins aborted snap recovered by Kirk Cousins at ATL-49 and returned for -6 yards Kirk Cousins up the middle for no gain (tackle by Divine Deablo),2.590,1.230
4,11:01,2,16,ATL 49,15,3,Bijan Robinson right guard for 4 yards (tackle by K'Lavon Chaisson and Janarius Robinson),1.230,1.090
4,10:38,3,12,LVR 47,15,3,Kirk Cousins pass complete short left to Kyle Pitts for 6 yards (tackle by Nate Hobbs),1.090,0.530
4,9:48,4,6,LVR 41,15,3,Penalty on ATL: Delay of Game 5 yards (accepted) (no play),0.530,0.200
4,9:48,4,11,LVR 46,15,3,Bradley Pinion punts 37 yards fair catch by Ameer Abdullah at LV-9,0.200,0.380
4,9:40,1,10,LVR 9,15,3,Desmond Ridder pass complete short right to Alexander Mattison for -1 yards (tackle by Kentavius Street),-0.380,-0.850
4,9:02,2,11,LVR 8,15,3,Desmond Ridder pass deep middle intended for Jakobi Meyers is intercepted by Justin Simmons at LV-39 and returned for no gain (tackle by Jakobi Meyers),-0.850,-2.980
4,8:55,1,10,LVR 39,15,3,Tyler Allgeier right tackle for 5 yards (tackle by Zachary Carter),2.980,3.120
4,8:15,2,5,LVR 34,15,3,Tyler Allgeier left tackle for 5 yards (tackle by John Jenkins),3.120,3.640
4,7:37,1,10,LVR 29,15,3,Tyler Allgeier left end for 2 yards (tackle by Decamerion Richardson and Robert Spillane),3.640,3.370
4,6:53,2,8,LVR 27,15,3,Kirk Cousins up the middle for -2 yards (tackle by Tyree Wilson),3.370,2.410
4,6:12,3,10,LVR 29,15,3,Bijan Robinson right guard for 5 yards (tackle by Thomas Harper),2.410,1.920
4,5:31,4,5,LVR 24,15,3,Younghoe Koo 42 yard field goal no good,1.920,-1.070
4,5:27,1,10,LVR 32,15,3,Desmond Ridder pass complete short right to Tre Tucker for 8 yards (tackle by DeAundre Alford and Arnold Ebiketie),1.070,1.610
4,5:06,2,2,LVR 40,15,3,Desmond Ridder pass complete short left to Jakobi Meyers for 11 yards (tackle by Mike Hughes),1.610,2.320
4,4:47,1,10,ATL 49,15,3,Desmond Ridder pass complete short left to Jakobi Meyers for 8 yards (tackle by Mike Hughes),2.320,2.860
4,4:28,2,2,ATL 41,15,3,Desmond Ridder sacked by Zach Harrison for -2 yards,2.860,1.880
4,3:53,3,4,ATL 43,15,3,Desmond Ridder pass complete short right to Jakobi Meyers for 7 yards (tackle by JD Bertrand),1.880,3.180
4,3:33,1,10,ATL 36,15,3,Desmond Ridder pass complete short right to Terrace Marshall for 7 yards (tackle by Mike Hughes),3.180,3.580
4,3:09,2,3,ATL 29,15,3,Desmond Ridder pass incomplete short left,3.580,2.870
4,3:05,3,3,ATL 29,15,3,Desmond Ridder pass complete short right to Ameer Abdullah for 24 yards (tackle by Jessie Bates),2.870,6.060
4,2:59,1,5,ATL 5,15,9,Desmond Ridder pass complete short right to Ameer Abdullah for 5 yards touchdown,6.060,7.000
4,2:54,,,ATL 15,15,9,Daniel Carlson kicks extra point blocked blocked by Kevin King,0.000,-1.000
4,2:54,,,LVR 35,15,9,Daniel Carlson kicks off 65 yards touchback.,0.000,0.940
4,2:54,1,10,ATL 30,15,9,Tyler Allgeier up the middle for 3 yards (tackle by Divine Deablo),0.940,0.800
4,2:50,,,,,,Timeout #1 by Las Vegas Raiders,,
4,2:50,2,7,ATL 33,15,9,Tyler Allgeier up the middle for 3 yards (tackle by John Jenkins and Robert Spillane),0.800,0.500
4,2:44,,,,,,Timeout #2 by Las Vegas Raiders,,
4,2:44,3,4,ATL 36,15,9,Kirk Cousins pass incomplete short middle intended for Kyle Pitts. Penalty on Robert Spillane: Roughing the Passer 15 yards (accepted) (no play),0.500,2.320
4,2:40,1,10,LVR 49,15,9,Bijan Robinson left tackle for 1 yard (tackle by John Jenkins and K'Lavon Chaisson),2.320,1.920
4,2:33,,,,,,Timeout #3 by Las Vegas Raiders,,
4,2:33,2,9,LVR 48,15,9,Bijan Robinson right end for 3 yards (tackle by Decamerion Richardson and John Jenkins),1.920,1.620
4,2:00,3,6,LVR 45,15,9,Kirk Cousins pass incomplete short middle intended for Ray-Ray McCloud (defended by Jonah Laulu),1.620,0.270
4,1:56,4,6,LVR 45,15,9,Bradley Pinion punts 45 yards touchback.,0.270,-0.280
4,1:50,1,10,LVR 20,15,9,Desmond Ridder pass complete short middle to Ameer Abdullah for 7 yards (tackle by JD Bertrand),0.280,0.680
4,1:33,2,3,LVR 27,15,9,Penalty on Jordan Meredith: False Start 5 yards (accepted) (no play),0.680,0.000
4,1:21,2,8,LVR 22,15,9,Desmond Ridder pass complete short left to Tre Tucker for 10 yards (tackle by Mike Hughes),0.000,1.070
4,1:16,1,10,LVR 32,15,9,Desmond Ridder pass incomplete short right. Penalty on Delmar Glaze: Offensive Holding 10 yards (accepted) (no play),1.070,0.410
4,1:10,1,20,LVR 22,15,9,Desmond Ridder pass complete short left to Jakobi Meyers for 11 yards (tackle by Kaden Elliss),0.410,0.660
4,0:56,2,9,LVR 33,15,9,Desmond Ridder pass complete short middle to Ameer Abdullah for 6 yards (tackle by JD Bertrand),0.660,0.760
4,0:40,3,3,LVR 39,15,9,Desmond Ridder pass incomplete short left intended for Jakobi Meyers (defended by Mike Hughes),0.760,-0.780
4,0:35,4,3,LVR 39,15,9,Penalty on Desmond Ridder: Delay of Game 5 yards (accepted) (no play),-0.780,-1.110
4,0:35,4,8,LVR 34,15,9,Desmond Ridder pass complete short right to Ameer Abdullah for 9 yards (tackle by Mike Hughes),-1.110,1.800
4,0:26,1,10,LVR 43,15,9,Desmond Ridder pass complete deep left to Jakobi Meyers for 22 yards (tackle by DeAundre Alford and AJ Terrell),1.800,3.250
4,0:10,1,10,ATL 35,15,9,Desmond Ridder spiked the ball,3.250,2.700
4,0:10,,,,,,Timeout #1 by Atlanta Falcons,,
4,0:10,2,10,ATL 35,15,9,Desmond Ridder pass incomplete deep left (defended by Kevin King),2.700,2.010
4,0:02,3,10,ATL 35,15,9,Desmond Ridder pass deep right is intercepted by Jessie Bates in end zone and returned for no gain,2.010,0.000
