Quarter,Time,Down,ToGo,Location,BUF,DET,Detail,EPB,EPA
4,9:28,1,10,BUF 16,45,28,Jared Goff pass incomplete short right intended for Jahmyr Gibbs. Penalty on Frank Ragnow: Offensive Holding 10 yards (accepted) (no play),4.510,3.840
4,9:23,1,20,BUF 26,45,28,Jared Goff pass complete short middle to Jahmyr Gibbs for 11 yards (tackle by Baylon Spector and Terrel Bernard),3.840,4.050
4,9:03,2,9,BUF 15,45,28,Jared Goff pass incomplete short middle intended for Amon-Ra St. Brown (defended by Dawuane Smoot),4.050,3.220
4,8:57,3,9,BUF 15,45,28,Jared Goff pass complete short left to Amon-Ra St. Brown for 10 yards (tackle by Kareem Jackson and Baylon Spector),3.220,6.060
4,8:26,1,5,BUF 5,45,28,Jared Goff pass complete short left to Amon-Ra St. Brown for 4 yards (tackle by Kareem Jackson),6.060,5.910
4,8:07,2,1,BUF 1,45,34,Jahmyr Gibbs up the middle for 1 yard touchdown,5.910,7.000
4,8:02,,,BUF 15,45,35,Jake Bates kicks extra point good,0.000,0.000
4,8:02,,,DET 35,45,35,Jake Bates kicks off 65 yards touchback.,0.000,0.940
4,8:02,1,10,BUF 30,45,35,James Cook up the middle for 3 yards (tackle by Ben Niemann),0.940,0.800
4,7:22,2,7,BUF 33,45,35,Josh Allen pass complete deep right to Dawson Knox for 23 yards (tackle by Brian Branch),0.800,2.650
4,6:37,1,10,DET 44,45,35,Josh Allen left end for 21 yards (tackle by Jamal Adams and Kerby Joseph),2.650,4.040
4,5:55,1,10,DET 23,45,35,Josh Allen pass complete short right to Khalil Shakir for 6 yards (tackle by Kerby Joseph and Brian Branch),4.040,4.380
4,5:11,2,4,DET 17,45,35,James Cook right tackle for -1 yards (tackle by David Long and Pat O'Connor),4.380,3.490
4,4:30,3,5,DET 18,45,35,Josh Allen right end for 8 yards (tackle by Brian Branch and Kindle Vildor),3.490,4.910
4,3:46,1,10,DET 10,45,35,Josh Allen right end for no gain (tackle by Jack Campbell and Ben Niemann),4.910,4.190
4,3:03,2,10,DET 10,45,35,Josh Allen pass incomplete short middle intended for Dawson Knox (defended by Ben Niemann),4.190,3.130
