Quarter,Time,Down,ToGo,Location,GNB,SEA,Detail,EPB,EPA
4,12:17,2,5,GNB 40,23,6,Sam Howell pass incomplete deep right intended for AJ Barner,2.720,2.010
4,12:11,3,5,GNB 40,23,6,Sam Howell pass complete short middle to Jaxon Smith-Njigba for 12 yards (tackle by Xavier McKinney),2.010,3.710
4,11:47,1,10,GNB 28,23,6,Sam Howell pass complete short right to Jaxon Smith-Njigba for 4 yards (tackle by Keisean Nixon),3.710,3.710
4,11:24,2,6,GNB 24,23,12,Zach Charbonnet right end for 24 yards touchdown,3.710,7.000
4,11:16,,,GNB 15,23,13,Jason Myers kicks extra point good,0.000,0.000
4,11:16,,,SEA 35,23,13,Jason Myers kicks off 60 yards returned by Keisean Nixon for 29 yards (tackle by Josh Ross),0.000,1.200
4,11:11,1,10,GNB 34,23,13,Josh Jacobs left end for 4 yards (tackle by Ernest Jones and Julian Love),1.200,1.200
4,10:32,2,6,GNB 38,23,13,Jordan Love pass incomplete short left,1.200,0.500
4,10:24,3,6,GNB 38,23,13,Jordan Love pass incomplete short middle intended for Christian Watson,0.500,-0.850
4,10:16,4,6,GNB 38,23,13,Daniel Whelan punts 42 yards returned by Jaelon Darden for 12 yards (tackle by Isaiah McDuffie),-0.850,-1.070
4,10:04,1,10,SEA 32,23,13,Sam Howell pass incomplete short right intended for Zach Charbonnet (defended by Kenny Clark) GNB challenged the fumble ruling and the play was upheld.,1.070,0.530
4,9:57,2,10,SEA 32,23,13,Sam Howell pass incomplete short middle intended for Noah Fant (defended by Arron Mosby),0.530,-0.160
4,9:45,3,10,SEA 32,23,13,Sam Howell pass complete short right to Noah Fant for 5 yards (tackle by Keisean Nixon and Evan Williams). Penalty on Tyler Lockett: Offensive Offside 5 yards (declined),-0.160,-0.910
4,9:42,4,5,SEA 37,23,13,Michael Dickson punts 47 yards recovered by Jayden Reed at GB-16,-0.910,0.140
4,9:32,1,10,GNB 16,23,13,Jordan Love pass complete short left to Dontayvion Wicks for 12 yards (tackle by Julian Love),-0.140,0.810
4,8:49,1,10,GNB 28,23,13,Jayden Reed right end for 13 yards (tackle by Coby Bryant and Tyrice Knight),0.810,1.660
4,8:05,1,10,GNB 41,23,13,Jordan Love pass complete short middle to Jayden Reed for 12 yards (tackle by Coby Bryant),1.660,2.460
4,7:27,1,10,SEA 47,23,13,Josh Jacobs up the middle for 4 yards (tackle by Ernest Jones),2.460,2.450
4,6:46,2,6,SEA 43,23,13,Josh Jacobs up the middle for 4 yards (tackle by Boye Mafe),2.450,2.280
4,5:59,,,,,,Timeout #2 by Green Bay Packers,,
4,5:59,3,2,SEA 39,23,13,Jordan Love pass incomplete short right intended for Jayden Reed,2.280,0.660
4,5:55,4,2,SEA 39,23,13,Josh Jacobs left guard for no gain (tackle by Dre'Mont Jones and Leonard Williams),0.660,-1.530
4,5:50,1,10,SEA 39,23,13,Sam Howell sacked by Karl Brooks for -6 yards,1.530,0.180
4,5:27,2,16,SEA 33,23,13,Sam Howell pass deep right intended for Noah Fant is intercepted by Edgerrin Cooper at SEA-49 and returned for 22 yards (tackle by Sam Howell),0.180,-3.780
4,5:17,1,10,SEA 27,23,13,Josh Jacobs up the middle for 4 yards (tackle by Ernest Jones),3.780,3.770
4,5:09,,,,,,Timeout #1 by Seattle Seahawks,,
4,5:09,2,6,SEA 23,23,13,Josh Jacobs up the middle for 1 yard (tackle by Byron Murphy and Leonard Williams),3.770,3.200
4,5:05,,,,,,Timeout #2 by Seattle Seahawks,,
4,5:05,,,,,,Timeout #3 by Green Bay Packers,,
4,5:05,3,5,SEA 22,29,13,Jordan Love pass complete deep middle to Romeo Doubs for 22 yards touchdown,3.200,7.000
4,4:59,,,SEA 15,30,13,Brandon McManus kicks extra point good,0.000,0.000
4,4:59,,,GNB 35,30,13,Brandon McManus kicks off 64 yards returned by Jaelon Darden for 34 yards (tackle by Brandon McManus),0.000,1.270
4,4:51,1,10,SEA 35,30,13,Kenny McIntosh up the middle for 3 yards (tackle by Kenny Clark),1.270,1.130
4,4:28,2,7,SEA 38,30,13,Sam Howell pass incomplete short right intended for AJ Barner. Penalty on Tyler Lockett: Offensive Offside 5 yards (declined),1.130,0.430
4,4:26,3,7,SEA 38,30,13,Sam Howell sacked by Brenton Cox for -7 yards,0.430,-1.310
4,3:27,4,14,SEA 31,30,13,Michael Dickson punts 53 yards out of bounds,-1.310,0.140
4,3:18,1,10,GNB 16,30,13,Emanuel Wilson right tackle for 4 yards (tackle by Dre'Mont Jones and Drake Thomas),-0.140,0.010
4,2:35,2,6,GNB 20,30,13,Emanuel Wilson left tackle for 4 yards (tackle by Devon Witherspoon),0.010,-0.320
4,2:00,3,2,GNB 24,30,13,Jordan Love pass incomplete deep left intended for Christian Watson (defended by Riq Woolen),-0.320,-1.770
4,1:54,4,2,GNB 24,30,13,Daniel Whelan punts 44 yards returned by Jaelon Darden for no gain (tackle by Robert Rochell),-1.770,-1.070
4,1:46,1,10,SEA 32,30,13,George Holani left end for 8 yards (tackle by Ty'Ron Hopper),1.070,1.610
4,1:07,2,2,SEA 40,30,13,George Holani left guard for 3 yards (tackle by Lukas Van Ness and Edgerrin Cooper),1.610,1.800
4,0:35,1,10,SEA 43,30,13,George Holani right guard for -1 yards (tackle by Edgerrin Cooper),1.800,1.120
