Quarter,Time,Down,ToGo,Location,PIT,PHI,Detail,EPB,EPA
4,7:39,3,2,PHI 36,13,27,Saquon Barkley left tackle for 7 yards (tackle by Damontae Kazee),0.630,1.800
4,7:04,1,10,PHI 43,13,27,Saquon Barkley right end for -4 yards (tackle by Montravius Adams),1.800,0.710
4,6:22,2,14,PHI 39,13,27,Jalen Hurts pass complete deep middle to DeVonta Smith for 22 yards (tackle by Cameron Sutton and Nick Herbig),0.710,2.980
4,5:35,1,10,PIT 39,13,27,Saquon Barkley left guard for -3 yards (tackle by Minkah Fitzpatrick),2.980,2.040
4,4:50,2,13,PIT 42,13,27,Jalen Hurts pass incomplete short left intended for A.J. Brown (defended by Payton Wilson),2.040,1.360
4,4:46,3,13,PIT 42,13,27,Jalen Hurts pass complete short left to DeVonta Smith for 12 yards (tackle by Payton Wilson and Damontae Kazee),1.360,1.520
4,4:04,,,,,,Timeout #1 by Philadelphia Eagles,,
4,4:04,4,1,PIT 30,13,27,Jalen Hurts up the middle for 2 yards (tackle by Cameron Heyward and Minkah Fitzpatrick),1.520,3.710
4,3:15,1,10,PIT 28,13,27,Saquon Barkley right tackle for 2 yards (tackle by Montravius Adams). Penalty on Jordan Mailata: Offensive Holding 10 yards (accepted) (no play),3.710,3.050
4,3:15,1,20,PIT 38,13,27,Saquon Barkley right guard for no gain (tackle by Alex Highsmith),3.050,1.820
4,3:11,,,,,,Timeout #1 by Pittsburgh Steelers,,
4,3:11,2,20,PIT 38,13,27,Jalen Hurts pass complete short left to A.J. Brown for 19 yards (tackle by James Pierre),1.820,3.720
4,3:04,3,1,PIT 19,13,27,Jalen Hurts up the middle for 1 yard (tackle by Patrick Queen and Isaiahh Loudermilk),3.720,4.370
4,3:00,,,,,,Timeout #2 by Pittsburgh Steelers,,
4,3:00,1,10,PIT 18,13,27,Kenneth Gainwell right guard for 1 yard (tackle by Patrick Queen),4.370,3.940
4,2:56,,,,,,Timeout #3 by Pittsburgh Steelers,,
4,2:56,2,9,PIT 17,13,27,Kenneth Gainwell right guard for 7 yards (tackle by Damontae Kazee),3.940,4.510
4,2:14,3,2,PIT 10,13,27,Kenneth Gainwell left tackle for 2 yards (tackle by Elandon Roberts and Keeanu Benton),4.510,5.370
4,2:00,1,8,PIT 8,13,27,Jalen Hurts kneels for no gain,5.370,4.570
4,1:20,2,8,PIT 8,13,27,Jalen Hurts kneels for -1 yards,4.570,3.360
4,0:40,3,9,PIT 9,13,27,Jalen Hurts kneels for no gain,3.360,2.830
