Quarter,Time,Down,ToGo,Location,CIN,TEN,Detail,EPB,EPA
4,10:36,4,5,TEN 44,31,14,Penalty on CIN: Delay of Game 5 yards (accepted) (no play),0.330,0.000
4,10:36,4,10,TEN 49,31,14,Ryan Rehkow punts 36 yards fair catch by Mason Kinsey at TEN-13,0.000,0.320
4,10:29,1,10,TEN 13,31,14,Mason Rudolph pass complete short left to Chigoziem Okonkwo for 7 yards (tackle by Cam Taylor-Britt),-0.320,0.220
4,10:00,2,3,TEN 20,31,14,Mason Rudolph pass complete short right to Calvin Ridley for 21 yards (tackle by Cedric Johnson and Geno Stone),0.220,1.660
4,9:30,1,10,TEN 41,31,14,Mason Rudolph pass complete short left to Bryce Oliver for 8 yards (tackle by Akeem Davis-Gaither and Geno Stone),1.660,2.200
4,9:06,2,2,TEN 49,31,14,Mason Rudolph scrambles up the middle for 12 yards (tackle by Cam Taylor-Britt),2.200,2.980
4,8:33,1,10,CIN 39,31,14,Mason Rudolph pass complete short middle to Mason Kinsey for 11 yards (tackle by Jordan Battle),2.980,3.710
4,8:03,1,10,CIN 28,31,14,Mason Rudolph pass complete short middle to Josh Whyle for 7 yards (tackle by Akeem Davis-Gaither and Jordan Battle),3.710,4.110
4,7:33,2,3,CIN 21,31,14,Mason Rudolph pass complete short middle to Tyjae Spears for 4 yards (tackle by Akeem Davis-Gaither and Geno Stone),4.110,4.440
4,7:00,1,10,CIN 17,31,14,Mason Rudolph pass incomplete short left intended for Bryce Oliver,4.440,3.850
4,6:56,2,10,CIN 17,31,20,Mason Rudolph pass complete short middle to Tyjae Spears for 17 yards touchdown,3.850,7.000
4,6:50,,,CIN 15,31,21,Nick Folk kicks extra point good,0.000,0.000
4,6:50,,,TEN 35,31,21,Nick Folk kicks off 64 yards returned by Jermaine Burton for 32 yards (tackle by Kendell Brooks and James Williams),0.000,1.140
4,6:44,1,10,CIN 33,31,21,Joe Burrow pass incomplete short right intended for Andrei Iosivas (defended by Chidobe Awuzie),1.140,0.590
4,6:39,2,10,CIN 33,31,21,Joe Burrow pass incomplete short left intended for Tee Higgins,0.590,-0.100
4,6:36,3,10,CIN 33,31,21,Joe Burrow pass complete short right to Tee Higgins for 23 yards (tackle by Kenneth Murray),-0.100,2.650
4,5:50,1,10,TEN 44,31,21,Chase Brown up the middle for 4 yards (tackle by Sebastian Joseph-Day),2.650,2.650
4,5:14,2,6,TEN 40,31,21,Chase Brown up the middle for 8 yards (tackle by Kenneth Murray),2.650,3.450
4,5:07,,,,,,Timeout #1 by Tennessee Titans,,
4,5:07,1,10,TEN 32,31,21,Chase Brown left guard for 11 yards (tackle by James Williams),3.450,4.170
4,4:56,,,,,,Timeout #2 by Tennessee Titans,,
4,4:56,1,10,TEN 21,31,21,Chase Brown up the middle for 1 yard (tackle by Jeffery Simmons and Kenneth Murray),4.170,3.760
4,4:50,,,,,,Timeout #3 by Tennessee Titans,,
4,4:50,2,9,TEN 20,31,21,Joe Burrow pass incomplete deep right intended for Ja'Marr Chase. Penalty on Arden Key: Defensive Offside 5 yards (accepted) (no play),3.760,4.550
4,4:46,2,4,TEN 15,31,21,Chase Brown up the middle for -4 yards (tackle by Jeffery Simmons),4.550,3.180
4,4:03,3,8,TEN 19,31,21,Chase Brown up the middle for 8 yards (tackle by James Lynch),3.180,4.840
4,3:22,1,10,TEN 11,31,21,Chase Brown up the middle for 1 yard (tackle by James Lynch and Sebastian Joseph-Day),4.840,4.320
4,2:35,,,,,,Timeout #2 by Cincinnati Bengals,,
4,2:35,2,9,TEN 10,31,21,Joe Burrow pass complete short right to Cam Grandy for 9 yards (tackle by Chidobe Awuzie),4.320,6.970
4,2:25,1,1,TEN 1,31,21,Penalty on Joe Burrow: Delay of Game 4 yards (accepted) (no play),6.970,6.060
4,2:25,1,5,TEN 5,31,21,Penalty on Matt Lee: False Start 5 yards (accepted) (no play),6.060,4.910
