Quarter,Time,Down,ToGo,Location,IND,DEN,Detail,EPB,EPA
3,3:47,1,15,DEN 43,13,10,Audric Estime up the middle for 6 yards (tackle by Raekwon Davis and Zaire Franklin),1.800,1.720
3,3:11,2,9,DEN 49,13,10,Bo Nix pass complete short middle to Lucas Krull for 8 yards (tackle by E.J. Speed and Julian Blackmon),1.720,2.080
3,2:43,3,1,IND 43,13,10,Bo Nix right guard for 2 yards (tackle by E.J. Speed),2.080,2.850
3,2:05,1,10,IND 41,13,10,Bo Nix pass complete short left to Javonte Williams for -1 yards (tackle by Zaire Franklin),2.850,2.170
3,1:25,2,11,IND 42,13,10,Bo Nix pass incomplete deep right intended for Courtland Sutton,2.170,1.490
3,1:16,3,11,IND 42,13,10,Bo Nix pass incomplete short left intended for Courtland Sutton,1.490,0.460
3,1:13,4,11,IND 42,13,10,Riley Dixon punts 42 yards touchback.,0.460,-0.280
3,1:04,1,10,IND 20,13,10,Jonathan Taylor right guard for 5 yards (tackle by Brandon Jones and Justin Strnad),0.280,0.410
3,0:28,2,5,IND 25,13,10,Jonathan Taylor left guard for 2 yards (tackle by Jordan Jackson and D.J. Jones),0.410,-0.030
4,15:00,3,3,IND 27,13,10,Anthony Richardson up the middle for -5 yards (tackle by Jonathon Cooper),-0.030,-1.900
4,14:20,4,8,IND 22,13,10,Rigoberto Sanchez punts 54 yards returned by Marvin Mims for 61 yards (tackle by Cameron McGrone),-1.900,-4.580
4,14:01,1,10,IND 15,13,10,Bo Nix pass incomplete short right intended for Troy Franklin,4.580,3.950
4,13:58,2,10,IND 15,13,16,Bo Nix pass complete short left to Nate Adkins for 15 yards touchdown,3.950,7.000
4,13:51,,,IND 15,13,17,Wil Lutz kicks extra point good,0.000,0.000
4,13:51,,,DEN 35,13,17,Wil Lutz kicks off 65 yards touchback.,0.000,0.940
4,13:51,1,10,IND 30,13,17,Anthony Richardson pass complete short right to Kylen Granson for 14 yards (tackle by Cody Barton),0.940,1.860
4,13:16,1,10,IND 44,13,17,Anthony Richardson pass incomplete short middle intended for Andrew Ogletree. Penalty on Cody Barton: Defensive Pass Interference 13 yards (accepted) (no play),1.860,2.720
4,13:12,1,10,DEN 43,13,17,Jonathan Taylor up the middle for 3 yards (tackle by Cody Barton and D.J. Jones),2.720,2.580
4,12:39,2,7,DEN 40,13,23,Adonai Mitchell for -10 yards. Adonai Mitchell fumbles (forced by Nik Bonitto) recovered by Nik Bonitto at 50 and returned for 50 yards touchdown. Penalty on Nik Bonitto: Unsportsmanlike Conduct / Defense 15 yards (accepted),2.580,-7.000
4,12:29,2,18,IND 18,13,24,Wil Lutz kicks extra point good,0.000,0.000
4,12:29,,,DEN 35,13,24,Wil Lutz kicks off 65 yards touchback.,0.000,0.940
4,12:29,1,10,IND 30,13,24,Anthony Richardson pass complete short middle to Michael Pittman for 16 yards (tackle by Cody Barton),0.940,1.990
4,11:48,1,10,IND 46,13,24,Anthony Richardson pass incomplete deep right intended for Adonai Mitchell. Penalty on Patrick Surtain: Illegal Use of Hands / Defense 5 yards (accepted) (no play),1.990,2.320
4,11:41,1,10,DEN 49,13,24,Jonathan Taylor right tackle for no gain (tackle by Justin Strnad and Malcolm Roach),2.320,1.780
4,11:03,2,10,DEN 49,13,24,Anthony Richardson pass incomplete short left intended for Adonai Mitchell (defended by Ja'Quan McMillian),1.780,1.090
4,10:58,3,10,DEN 49,13,24,Anthony Richardson pass complete short left to Josh Downs for 4 yards (tackle by Brandon Jones),1.090,0.270
4,10:14,4,6,DEN 45,13,24,Anthony Richardson pass incomplete short right intended for Josh Downs,0.270,-1.930
4,10:10,1,10,DEN 45,13,24,Audric Estime up the middle for 1 yard (tackle by E.J. Speed and Grover Stewart),1.930,1.520
4,9:34,2,9,DEN 46,13,24,Bo Nix pass complete short left to Audric Estime for 5 yards (tackle by E.J. Speed and Nick Cross),1.520,1.490
4,8:51,3,4,IND 49,13,24,Bo Nix pass incomplete short middle intended for Troy Franklin (defended by Grover Stewart),1.490,0.000
4,8:47,4,4,IND 49,13,24,Riley Dixon punts 49 yards touchback.,0.000,-0.280
4,8:39,1,10,IND 20,13,24,Anthony Richardson pass complete short left to Kylen Granson for 15 yards (tackle by P.J. Locke),0.280,1.270
4,8:11,1,10,IND 35,13,24,Anthony Richardson scrambles up the middle for no gain (tackle by Cody Barton). Penalty on Bernhard Raimann: Offensive Holding 10 yards (accepted) (no play),1.270,0.610
4,7:46,1,20,IND 25,13,24,Anthony Richardson pass short left intended for Will Mallory is intercepted by Patrick Surtain at IND-39 and returned for 4 yards (tackle by Josh Downs). Penalty on Bernhard Raimann: Offensive Holding 10 yards (declined),0.610,-3.250
4,7:39,1,10,IND 35,13,24,Audric Estime up the middle for no gain (tackle by Grover Stewart),3.250,2.700
4,7:02,2,10,IND 35,13,24,Bo Nix pass complete short left to Marvin Mims for 6 yards (tackle by Jaylon Jones and Laiatu Latu),2.700,2.810
4,6:17,3,4,IND 29,13,24,Bo Nix pass incomplete deep right intended for Troy Franklin (defended by Samuel Womack),2.810,1.560
4,6:11,4,4,IND 29,13,24,Penalty on Chris Lammons: Defensive Offside 5 yards (accepted) (no play),1.560,3.970
4,6:07,1,10,IND 24,13,24,Audric Estime up the middle for 2 yards (tackle by Grant Stuard),3.970,3.700
4,6:00,,,,,,Timeout #1 by Indianapolis Colts,,
4,6:00,2,8,IND 22,13,24,Javonte Williams left guard for 2 yards (tackle by Dayo Odeyingbo),3.700,3.270
4,5:54,,,,,,Timeout #2 by Indianapolis Colts,,
4,5:54,3,6,IND 20,13,30,Bo Nix pass complete deep right to Courtland Sutton for 20 yards touchdown,3.270,7.000
4,5:48,,,IND 15,13,31,Wil Lutz kicks extra point good,0.000,0.000
4,5:48,,,DEN 35,13,31,Wil Lutz kicks off 65 yards touchback.,0.000,0.940
4,5:48,1,10,IND 30,13,31,Anthony Richardson pass complete short middle to Michael Pittman for 11 yards (tackle by Kris Abrams-Draine),0.940,1.660
4,5:13,1,10,IND 41,13,31,Anthony Richardson pass incomplete short left intended for Josh Downs,1.660,1.120
4,5:09,2,10,IND 41,13,31,Anthony Richardson pass complete deep middle to Anthony Gould for 23 yards (tackle by Brandon Jones),1.120,3.180
4,4:41,1,10,DEN 36,13,31,Anthony Richardson pass complete short middle to Trey Sermon for 5 yards (tackle by Ja'Quan McMillian and Justin Strnad),3.180,3.310
4,4:15,2,5,DEN 31,13,31,Anthony Richardson sacked by Dondrea Tillman for -6 yards,3.310,1.820
4,3:31,3,11,DEN 37,13,31,Anthony Richardson pass complete short middle to Michael Pittman for 10 yards (tackle by Ja'Quan McMillian and Justin Strnad),1.820,1.820
4,2:51,4,1,DEN 27,13,31,Tyler Goodson up the middle for 3 yards (tackle by Jonah Elliss),1.820,3.970
4,2:20,1,10,DEN 24,13,31,Anthony Richardson pass incomplete deep right intended for Adonai Mitchell,3.970,3.430
4,2:12,2,10,DEN 24,13,31,Anthony Richardson pass complete short left to Trey Sermon for 4 yards (tackle by Patrick Surtain),3.430,3.270
4,2:06,3,6,DEN 20,13,31,Anthony Richardson pass incomplete deep right intended for Adonai Mitchell,3.270,2.150
4,2:00,,,,,,Timeout #1 by Denver Broncos,,
4,2:00,4,6,DEN 20,13,31,Anthony Richardson pass incomplete short right intended for Michael Pittman,2.150,-0.280
4,1:57,1,10,DEN 20,13,31,Audric Estime up the middle for 4 yards (tackle by Grover Stewart),0.280,0.270
4,1:14,2,6,DEN 24,13,31,Bo Nix kneels for -1 yards,0.270,-0.560
4,0:38,3,7,DEN 23,13,31,Bo Nix kneels for -1 yards,-0.560,-1.900
