Quarter,Time,Down,ToGo,Location,BAL,NYG,Detail,EPB,EPA
4,6:36,,,NYG 35,35,14,Graham Gano kicks off 62 yards returned by Rasheen Ali for 22 yards (tackle by Anthony Johnson). Penalty on Kristian Welch: Offensive Holding 10 yards (accepted),0.000,-0.220
4,6:29,1,10,BAL 15,35,14,Rasheen Ali right end for 7 yards (tackle by Cory Durden),-0.220,0.350
4,5:47,2,3,BAL 22,35,14,Rasheen Ali left end for 1 yard (tackle by Micah McFadden),0.350,-0.390
4,5:39,,,,,,Timeout #1 by New York Giants,,
4,5:39,3,2,BAL 23,35,14,Rasheen Ali right guard for 5 yards (tackle by Adoree' Jackson),-0.390,0.810
4,4:55,1,10,BAL 28,35,14,Rasheen Ali right tackle for no gain (tackle by Micah McFadden and Darius Muasau),0.810,0.260
4,4:50,,,,,,Timeout #2 by New York Giants,,
4,4:50,2,10,BAL 28,35,14,Josh Johnson sacked by Dane Belton for -5 yards,0.260,-1.090
4,4:46,,,,,,Timeout #3 by New York Giants,,
4,4:46,3,15,BAL 23,35,14,Rasheen Ali up the middle for 9 yards (tackle by Dane Belton and Darius Muasau),-1.090,-1.240
4,4:01,,,,,,Timeout #1 by Baltimore Ravens,,
4,4:01,4,6,BAL 32,35,14,Jordan Stout punts 50 yards fair catch by Ihmir Smith-Marsette at NYG-18. Penalty on Raheem Layne: Offensive Holding 9 yards (accepted),-1.240,0.380
4,3:54,1,10,NYG 9,35,14,Tim Boyle pass incomplete short middle intended for Wan'Dale Robinson (defended by Brent Urban),-0.380,-0.780
4,3:50,2,10,NYG 9,35,14,Tim Boyle sacked by Malik Harrison for -2 yards,-0.780,-1.650
4,3:18,3,12,NYG 7,35,14,Tim Boyle pass complete short left to Devin Singletary for 8 yards (tackle by Tre'Davious White),-1.650,-2.440
4,2:28,4,4,NYG 15,35,14,Tim Boyle pass incomplete short right intended for Wan'Dale Robinson. Penalty on Desmond King: Defensive Pass Interference 5 yards (accepted) (no play),-2.440,0.280
4,2:23,1,10,NYG 20,35,14,Tim Boyle pass deep left intended for Malik Nabers is intercepted by Ar'Darius Washington at BAL-47 and returned for 32 yards (tackle by Greg Van Roten and Aaron Stinnie),0.280,-4.170
4,2:08,1,10,NYG 21,35,14,Rasheen Ali right guard for 2 yards (tackle by Elijah Garcia),4.170,3.900
4,2:00,2,8,NYG 19,35,14,Rasheen Ali right end for 6 yards (tackle by Elijah Chatman),3.900,4.240
4,1:16,3,2,NYG 13,35,14,Rasheen Ali right guard for 2 yards (tackle by Darius Muasau and Tomon Fox),4.240,4.840
4,0:35,1,10,NYG 11,35,14,Josh Johnson kneels for -1 yards,4.840,3.980
