Quarter,Time,Down,ToGo,Location,TAM,NOR,Detail,EPB,EPA
4,5:12,1,10,NOR 45,44,27,Spencer Rattler pass complete short left to Alvin Kamara for 7 yards (tackle by Lavonte David),1.930,2.330
4,4:47,2,3,TAM 48,44,27,Spencer Rattler pass complete short right to Alvin Kamara for 6 yards (tackle by Chris Braswell and Jordan Whitehead),2.330,2.790
4,4:29,1,10,TAM 42,44,27,Spencer Rattler pass incomplete deep right intended for Rashid Shaheed,2.790,2.240
4,4:25,2,10,TAM 42,44,27,Spencer Rattler pass short left intended for Rashid Shaheed is intercepted by Tykee Smith at TB-36 and returned for no gain (tackle by Rashid Shaheed),2.240,-1.330
4,4:19,1,10,TAM 36,44,27,Sean Tucker right guard for 36 yards (tackle by J.T. Gray),1.330,3.710
4,3:29,1,10,NOR 28,44,27,Sean Tucker right guard for 3 yards (tackle by Jordan Howden and Demario Davis),3.710,3.570
4,2:52,2,7,NOR 25,44,27,Sean Tucker left tackle for no gain (tackle by Chase Young and John Ridgeway),3.570,2.810
4,2:41,,,,,,Timeout #2 by New Orleans Saints,,
4,2:41,3,8,NOR 25,44,27,Sean Tucker left tackle for 12 yards (tackle by Marshon Lattimore),2.810,4.710
4,2:22,,,,,,Timeout #3 by New Orleans Saints,,
4,2:22,1,10,NOR 13,44,27,Sean Tucker right guard for 8 yards (tackle by Demario Davis and Jordan Howden),4.710,5.540
4,2:00,2,2,NOR 5,50,27,Sean Tucker left end for 5 yards touchdown,5.540,7.000
4,1:55,,,NOR 15,51,27,Chase McLaughlin kicks extra point good,0.000,0.000
4,1:55,,,TAM 35,51,27,Jake Camarda kicks off 65 yards touchback.,0.000,0.940
4,1:55,1,10,NOR 30,51,27,Spencer Rattler pass incomplete short right intended for Jordan Mims,0.940,0.390
4,1:52,2,10,NOR 30,51,27,Spencer Rattler pass complete short middle to Jordan Mims for 10 yards (tackle by Jordan Whitehead),0.390,1.600
4,1:32,1,10,NOR 40,51,27,Spencer Rattler pass complete short left to Cedrick Wilson for 3 yards (tackle by Tyrek Funderburk),1.600,1.460
4,1:27,2,7,NOR 43,51,27,Spencer Rattler pass incomplete short left intended for Jordan Mims (defended by C.J. Brewer),1.460,0.760
4,1:22,3,7,NOR 43,51,27,Spencer Rattler pass complete short right to Juwan Johnson for 2 yards (tackle by J.J. Russell),0.760,-0.390
4,0:56,4,5,NOR 45,51,27,Spencer Rattler pass complete short middle to Cedrick Wilson for 25 yards (tackle by Kaevon Merriweather),-0.390,3.580
4,0:33,1,10,TAM 30,51,27,Spencer Rattler pass incomplete deep middle intended for Juwan Johnson. Penalty on Jose Ramirez: Defensive Offside 9 yards (declined) . Penalty on J.J. Russell: Defensive Pass Interference 9 yards (accepted) (no play),3.580,4.170
4,0:28,1,10,TAM 21,51,27,Spencer Rattler pass complete short right to Jordan Mims for 3 yards (tackle by J.J. Russell),4.170,4.040
4,0:09,2,7,TAM 18,51,27,Spencer Rattler sacked by William Gholston for -4 yards,4.040,2.810
