Quarter,Time,Down,ToGo,Location,ARI,GNB,Detail,EPB,EPA
4,9:38,3,4,ARI 22,13,31,Jordan Love pass incomplete short right intended for Tucker Kraft. Penalty on Rasheed Walker: Offensive Holding 10 yards (declined),3.270,2.070
4,9:32,4,4,ARI 22,13,34,Brayden Narveson 41 yard field goal good,2.070,3.000
4,9:28,,,GNB 35,13,34,Brayden Narveson kicks off 63 yards returned by Emari Demercado for 26 yards (tackle by Bo Melton and Ty'Ron Hopper),0.000,0.810
4,9:24,1,10,ARI 28,13,34,Kyler Murray pass complete short right to Greg Dortch for 5 yards (tackle by Javon Bullard),0.810,0.940
4,9:01,2,5,ARI 33,13,34,Kyler Murray scrambles left end for 2 yards (tackle by Javon Bullard),0.940,0.500
4,8:41,3,3,ARI 35,13,34,Emari Demercado right end for 7 yards (tackle by Isaiah McDuffie),0.500,1.730
4,8:22,1,10,ARI 42,13,34,Kyler Murray pass incomplete short right. Penalty on Lukas Van Ness: Defensive Holding 5 yards (accepted) (no play),1.730,2.060
4,8:15,1,10,ARI 47,13,34,Kyler Murray pass incomplete short middle intended for Emari Demercado,2.060,1.520
4,8:11,2,10,ARI 47,13,34,Kyler Murray pass complete short middle to Trey McBride for 9 yards (tackle by Quay Walker),1.520,2.020
4,7:49,3,1,GNB 44,13,34,Emari Demercado right guard for 4 yards (tackle by Kingsley Enagbare),2.020,2.920
4,7:16,1,10,GNB 40,13,34,Emari Demercado up the middle for 8 yards (tackle by Edgerrin Cooper),2.920,3.450
4,6:53,2,2,GNB 32,13,34,Kyler Murray pass complete short right to Greg Dortch for 15 yards (tackle by Quay Walker),3.450,4.440
4,6:30,1,10,GNB 17,13,34,Kyler Murray pass complete short middle to Emari Demercado for 4 yards (tackle by Quay Walker),4.440,4.500
4,6:12,2,6,GNB 13,13,34,Kyler Murray left end for 5 yards (tackle by Evan Williams). Penalty on Zach Pascal: Offensive Holding 10 yards (accepted),4.500,3.720
4,5:42,2,11,GNB 18,13,34,Kyler Murray aborted snap recovered by Kenny Clark at GB-21,3.720,-0.340
4,5:37,1,10,GNB 21,13,34,Emanuel Wilson left guard for 3 yards (tackle by Roy Lopez and Zaven Collins),0.340,0.210
4,4:49,2,7,GNB 24,13,34,Bo Melton right end for 11 yards (tackle by Jalen Thompson),0.210,1.270
4,4:42,,,,,,Timeout #1 by Arizona Cardinals,,
4,4:42,1,10,GNB 35,13,34,Emanuel Wilson left end for 6 yards (tackle by Dennis Gardeck and Krys Barnes),1.270,1.530
4,4:35,,,,,,Timeout #2 by Arizona Cardinals,,
4,4:35,2,4,GNB 41,13,34,Emanuel Wilson right guard for 13 yards (tackle by Jesse Luketa),1.530,2.520
4,3:50,1,10,ARI 46,13,34,Chris Brooks right end for 3 yards (tackle by Krys Barnes and Khyiris Tonga),2.520,2.380
4,3:05,2,7,ARI 43,13,34,Emanuel Wilson right end for 16 yards (tackle by Jalen Thompson and Garrett Williams),2.380,3.780
4,2:19,1,10,ARI 27,13,34,Chris Brooks right end for no gain (tackle by Khyiris Tonga and Zaven Collins),3.780,3.230
4,2:00,2,10,ARI 27,13,34,Chris Brooks right end for 11 yards (tackle by Budda Baker),3.230,4.510
4,1:13,1,10,ARI 16,13,34,Jordan Love kneels for -1 yards,4.510,3.770
4,0:32,2,11,ARI 17,13,34,Jordan Love kneels for -1 yards,3.770,2.940
