Quarter,Time,Down,ToGo,Location,LAC,DEN,Detail,EPB,EPA
4,6:45,3,10,LAC 26,23,7,Bo Nix pass complete short right to Javonte Williams for 5 yards (tackle by Daiyan Henley),2.610,2.110
4,6:03,4,5,LAC 21,23,7,Bo Nix scrambles left end for 6 yards (tackle by Junior Colson),2.110,4.580
4,5:27,1,10,LAC 15,23,13,Bo Nix pass complete short right to Courtland Sutton for 15 yards touchdown Replay Assistant challenged the pass completion ruling and the play was upheld.,4.580,7.000
4,5:22,,,LAC 2,23,13,Two Point Attempt: Bo Nix pass incomplete intended for to Marvin Mims for no gain,1.000,-1.000
4,5:22,,,DEN 35,23,13,Wil Lutz kicks off 65 yards touchback.,0.000,0.940
4,5:22,1,10,LAC 30,23,13,J.K. Dobbins left end for 8 yards (tackle by Cody Barton),0.940,1.470
4,5:15,,,,,,Timeout #1 by Denver Broncos,,
4,5:15,2,2,LAC 38,23,13,J.K. Dobbins left end for 20 yards (tackle by Brandon Jones),1.470,2.790
4,5:03,,,,,,Timeout #2 by Denver Broncos,,
4,5:03,1,10,DEN 42,23,13,J.K. Dobbins left tackle for no gain (tackle by Malcolm Roach and Eyioma Uwazurike),2.790,2.240
4,4:58,,,,,,Timeout #3 by Denver Broncos,,
4,4:58,2,10,DEN 42,23,13,Justin Herbert pass complete short middle to Simi Fehoko for no gain. Simi Fehoko fumbles (forced by Levi Wallace) recovered by Malcolm Roach at DEN-42. Penalty on Ja'Quan McMillian: Defensive Holding 5 yards (accepted) (no play),2.240,3.120
4,4:52,1,10,DEN 37,23,13,J.K. Dobbins left guard for no gain (tackle by Zach Allen),3.120,2.570
4,4:08,2,10,DEN 37,23,13,J.K. Dobbins right tackle for 1 yard (tackle by Zach Allen and Eyioma Uwazurike),2.570,2.010
4,3:24,3,9,DEN 36,23,13,J.K. Dobbins left end for -2 yards (tackle by Zach Allen),2.010,0.720
4,2:36,4,11,DEN 38,23,13,Penalty on JK Scott: Delay of Game 5 yards (accepted) (no play),0.720,0.400
4,2:36,4,16,DEN 43,23,13,JK Scott punts 39 yards downed by AJ Finley,0.400,0.380
4,2:26,1,10,DEN 4,23,13,Bo Nix pass complete short middle to Jaleel McLaughlin for 11 yards (tackle by Junior Colson),-0.380,-0.220
4,2:08,1,10,DEN 15,23,13,Bo Nix pass complete short right to Devaughn Vele for 4 yards,-0.220,-0.110
4,1:59,2,6,DEN 19,23,13,Bo Nix pass incomplete deep middle intended for Devaughn Vele,-0.110,-0.880
4,1:54,3,6,DEN 19,23,13,Bo Nix pass complete deep left to Devaughn Vele for 20 yards (tackle by Tarheeb Still),-0.880,1.530
4,1:32,1,10,DEN 39,23,13,Bo Nix pass complete short middle to Javonte Williams for 10 yards (tackle by Alohi Gilman and Elijah Molden). Penalty on Alohi Gilman: Defensive Delay of Game 5 yards (accepted),1.530,2.520
4,1:19,1,10,LAC 46,23,13,Bo Nix pass complete short left to Lucas Krull for 3 yards (tackle by AJ Finley),2.520,2.380
4,1:11,2,7,LAC 43,23,13,Bo Nix scrambles left end for 21 yards (tackle by Alohi Gilman),2.380,4.110
4,1:03,1,10,LAC 22,23,16,Wil Lutz 40 yard field goal good,4.110,3.000
4,0:59,,,DEN 35,23,16,Wil Lutz kicks onside no gain out of bounds. Penalty on Wil Lutz: Kickoff Out of Bounds (offset) . Penalty on Derius Davis: Illegal Formation 5 yards (offset) (no play),0.000,0.000
4,0:59,,,DEN 35,23,16,Wil Lutz kicks onside 12 yards. Penalty on Wil Lutz: Kickoff Out of Bounds (accepted),0.000,2.460
4,0:59,1,10,DEN 47,23,16,Justin Herbert kneels for -1 yards,2.460,1.780
4,0:30,2,11,DEN 48,23,16,Justin Herbert kneels for -1 yards,1.780,0.960
