Quarter,Time,Down,ToGo,Location,BAL,TAM,Detail,EPB,EPA
4,6:12,2,5,TAM 35,41,18,Baker Mayfield pass complete deep middle to Cade Otton for 28 yards (tackle by Eddie Jackson),1.070,3.120
4,5:55,1,10,BAL 37,41,18,Baker Mayfield pass complete short right to Cade Otton for 6 yards (tackle by Kyle Hamilton),3.120,3.380
4,5:37,2,4,BAL 31,41,18,Baker Mayfield pass incomplete deep right intended for Jalen McMillan,3.380,2.680
4,5:26,3,4,BAL 31,41,18,Baker Mayfield pass complete short left to Chris Godwin for 4 yards (tackle by Ar'Darius Washington),2.680,3.780
4,4:58,1,10,BAL 27,41,18,Baker Mayfield pass complete deep left to Cade Otton for 23 yards (tackle by Marcus Williams),3.780,6.280
4,4:37,1,4,BAL 4,41,18,Penalty on Graham Barton: False Start 5 yards (accepted) (no play),6.280,5.140
4,4:36,1,9,BAL 9,41,18,Baker Mayfield pass complete short right to Jalen McMillan for 7 yards (tackle by Ar'Darius Washington),5.140,5.720
4,4:19,2,2,BAL 2,41,18,Bucky Irving right guard for 1 yard (tackle by Odafe Oweh and Kyle Hamilton),5.720,5.170
4,3:49,3,1,BAL 1,41,24,Bucky Irving up the middle for 1 yard touchdown,5.170,7.000
4,3:46,,,BAL 2,41,24,Two Point Attempt: Baker Mayfield pass incomplete sacked by Baker Mayfield sacked by Odafe Oweh for no gain,1.000,-1.000
4,3:46,,,TAM 35,41,24,Chase McLaughlin kicks onside 13 yards recovered by Tavierre Thomas,0.000,-2.130
4,3:46,1,10,TAM 48,41,24,Baker Mayfield pass complete short left to Rachaad White for 4 yards (tackle by Roquan Smith),2.130,2.120
4,3:26,2,6,BAL 48,41,24,Baker Mayfield pass complete short left to Chris Godwin for 5 yards (tackle by Ar'Darius Washington and Brandon Stephens),2.120,2.080
4,3:04,3,1,BAL 43,41,24,Rachaad White up the middle for 4 yards (tackle by Roquan Smith and Kyle Hamilton),2.080,2.980
4,2:43,1,10,BAL 39,41,24,Baker Mayfield pass complete short right to Cade Otton for 6 yards (tackle by Ar'Darius Washington),2.980,3.250
4,2:20,2,4,BAL 33,41,24,Baker Mayfield pass complete short right to Sterling Shepard for 15 yards (tackle by Eddie Jackson). Penalty on Nate Wiggins: Illegal Contact 5 yards (declined),3.250,4.370
4,2:12,1,10,BAL 18,41,24,Penalty on Luke Goedeke: False Start 5 yards (accepted) (no play),4.370,4.040
4,2:12,1,15,BAL 23,41,24,Baker Mayfield pass incomplete deep right intended for Jalen McMillan,4.040,3.150
4,2:06,2,15,BAL 23,41,30,Baker Mayfield pass complete short left to Rachaad White for 23 yards touchdown,3.150,7.000
4,1:58,,,BAL 15,41,31,Chase McLaughlin kicks extra point good,0.000,0.000
4,1:58,,,TAM 35,41,31,Chase McLaughlin kicks onside 13 yards returned by Zay Flowers for no gain,0.000,2.390
4,1:57,1,10,TAM 48,41,31,Justice Hill right end for no gain (tackle by Chris Braswell),2.390,1.850
4,1:52,,,,,,Timeout #1 by Tampa Bay Buccaneers,,
4,1:52,2,10,TAM 48,41,31,Justice Hill left tackle for -1 yards (tackle by Greg Gaines and Joe Tryon-Shoyinka),1.850,1.030
4,1:47,,,,,,Timeout #2 by Tampa Bay Buccaneers,,
4,1:47,3,11,TAM 49,41,31,Justice Hill left tackle for 1 yard (tackle by Joe Tryon-Shoyinka),1.030,0.070
4,1:43,,,,,,Timeout #3 by Tampa Bay Buccaneers,,
4,1:43,4,10,TAM 48,41,31,Jordan Stout punts 30 yards returned by Trey Palmer for 7 yards (tackle by Devontez Walker),0.070,-0.610
4,1:34,1,10,TAM 25,41,31,Baker Mayfield pass incomplete short right intended for Cade Otton (defended by Kyle Hamilton),0.610,0.060
4,1:30,2,10,TAM 25,41,31,Baker Mayfield sacked by Ar'Darius Washington for -7 yards,0.060,-1.720
4,1:04,3,17,TAM 18,41,31,Baker Mayfield pass complete short middle to Chris Godwin for 21 yards (tackle by Roquan Smith),-1.720,1.530
4,0:42,1,10,TAM 39,41,31,Baker Mayfield pass incomplete deep right intended for Trey Palmer,1.530,0.990
4,0:36,2,10,TAM 39,41,31,Baker Mayfield pass complete short left to Cade Otton for 9 yards (tackle by Kyle Hamilton),0.990,1.490
4,0:30,3,1,TAM 48,41,31,Baker Mayfield pass complete short right to Sean Tucker for 9 yards (tackle by Roquan Smith),1.490,2.720
4,0:23,,,,,,Timeout #1 by Baltimore Ravens,,
4,0:23,1,10,BAL 43,41,31,Baker Mayfield pass incomplete short right intended for Jalen McMillan (defended by Nate Wiggins),2.720,2.180
4,0:18,2,10,BAL 43,41,31,Baker Mayfield pass incomplete short middle intended for Sean Tucker,2.180,1.490
4,0:13,3,10,BAL 43,41,31,Baker Mayfield scrambles up the middle for 12 yards (tackle by Kyle Hamilton),1.490,1.930
