Quarter,Time,Down,ToGo,Location,DET,MIN,Detail,EPB,EPA
4,6:00,2,10,DET 30,28,29,David Montgomery left tackle for 5 yards. David Montgomery fumbles (tackle by Camryn Bynum recovered by Ivan Pace at DET-36 and returned for 36 yards touchdown. Penalty on Frank Ragnow: Offensive Holding 10 yards (declined),0.390,-7.000
4,5:50,,,DET 2,28,29,Two Point Attempt: Sam Darnold pass incomplete,1.000,-1.000
4,5:50,,,MIN 35,28,29,Will Reichard kicks off 65 yards touchback.,0.000,0.940
4,5:50,1,10,DET 30,28,29,Jahmyr Gibbs left guard for 4 yards (tackle by Ivan Pace and Harrison Phillips),0.940,0.930
4,5:14,2,6,DET 34,28,29,Jared Goff pass incomplete deep left intended for Kalif Raymond,0.930,0.230
4,5:07,3,6,DET 34,28,29,Jared Goff sacked by Andrew Van Ginkel for -14 yards. Jared Goff fumbles (forced by Andrew Van Ginkel) recovered by Frank Ragnow at DET-20 (tackle by Andrew Van Ginkel),0.230,-2.030
4,4:22,4,20,DET 20,28,29,Jack Fox punts 63 yards returned by Brandon Powell for 5 yards (tackle by Khalil Dorsey),-2.030,-0.410
4,4:16,1,10,MIN 22,28,29,Aaron Jones left tackle for 5 yards (tackle by Josh Paschal),0.410,0.540
4,3:33,2,5,MIN 27,28,29,Aaron Jones left end for 1 yard (tackle by Trevor Nowaske and Jack Campbell),0.540,-0.030
4,2:47,3,4,MIN 28,28,29,Sam Darnold pass incomplete deep right intended for Justin Jefferson,-0.030,-1.500
4,2:41,4,4,MIN 28,28,29,Ryan Wright punts 51 yards returned by Kalif Raymond for 9 yards (tackle by Trent Sherfield),-1.500,-0.940
4,2:32,1,10,DET 30,28,29,Jahmyr Gibbs right guard for 4 yards (tackle by Ivan Pace and Josh Metellus),0.940,0.930
4,2:00,2,6,DET 34,28,29,Jahmyr Gibbs right tackle for 14 yards (tackle by Byron Murphy),0.930,2.130
4,1:25,1,10,DET 48,28,29,Jared Goff pass complete short right to Jahmyr Gibbs for 16 yards (tackle by Josh Metellus),2.130,3.180
4,1:18,1,10,MIN 36,28,29,Jared Goff pass complete short right to Amon-Ra St. Brown for 14 yards (tackle by Harrison Smith and Stephon Gilmore),3.180,4.110
4,1:07,,,,,,Timeout #1 by Minnesota Vikings,,
4,1:07,1,10,MIN 22,28,29,Jahmyr Gibbs right end for no gain (tackle by Jonathan Bullard and Jonathan Greenard),4.110,3.560
4,1:02,,,,,,Timeout #2 by Minnesota Vikings,,
4,1:02,2,10,MIN 22,28,29,Jared Goff kneels for -3 yards,3.560,2.480
4,1:01,,,,,,Timeout #3 by Minnesota Vikings,,
4,1:01,3,13,MIN 25,28,29,Jared Goff kneels for -1 yards,2.480,1.740
4,0:19,,,,,,Timeout #2 by Detroit Lions,,
4,0:19,4,14,MIN 26,31,29,Jake Bates 44 yard field goal good,1.740,3.000
4,0:15,,,DET 35,31,29,Jake Bates kicks off 65 yards touchback.,0.000,0.940
4,0:15,1,10,MIN 30,31,29,Sam Darnold pass complete deep right to Jalen Nailor for 20 yards (tackle by Alex Anzalone),0.940,2.260
4,0:02,1,10,MIN 50,31,29,Sam Darnold spiked the ball. Penalty on Christian Darrisaw: Illegal Formation 5 yards (accepted) (no play),2.260,1.930
4,0:01,1,15,MIN 45,31,29,Sam Darnold sacked by Trevor Nowaske for -6 yards,1.930,0.230
