Quarter,Time,Down,ToGo,Location,MIA,SEA,Detail,EPB,EPA
3,1:35,1,10,MIA 39,3,17,Geno Smith pass complete short right to AJ Barner for -1 yards (tackle by Jalen Ramsey and Jordan Poyer),2.980,2.300
3,0:53,2,11,MIA 40,3,17,Geno Smith pass incomplete short middle. Penalty on Geno Smith: Intentional Grounding 11 yards (accepted),2.300,0.170
3,0:46,3,22,SEA 49,3,17,Geno Smith pass short right (defended by Calais Campbell) intended for Tyler Lockett is intercepted by Zach Sieler at MIA-48 and returned for no gain (tackle by Zach Charbonnet and Connor Williams),0.170,-2.130
3,0:37,1,10,MIA 48,3,17,De'Von Achane left guard for 1 yard (tackle by Dre'Mont Jones and Johnathan Hankins),2.130,1.720
3,0:02,2,9,MIA 49,3,17,Tim Boyle pass incomplete short right intended for Alec Ingold. Penalty on Julian Love: Defensive Pass Interference 13 yards (accepted) (no play),1.720,3.050
4,15:00,1,10,SEA 38,3,17,Tim Boyle scrambles right end for 6 yards (tackle by Tyrice Knight),3.050,3.320
4,14:19,2,4,SEA 32,3,17,De'Von Achane right guard for 3 yards (tackle by Dre'Mont Jones and Jarran Reed),3.320,3.010
4,13:36,3,1,SEA 29,3,17,De'Von Achane right tackle for 2 yards (tackle by Tyrel Dodson and Boye Mafe),3.010,3.780
4,13:01,1,10,SEA 27,3,17,Tim Boyle pass complete short right to Jonnu Smith for 13 yards (tackle by K'Von Wallace),3.780,4.650
4,12:23,1,10,SEA 14,3,17,Tim Boyle pass incomplete short left intended for Jaylen Waddle (defended by Drake Thomas),4.650,4.000
4,12:18,2,10,SEA 14,3,17,Tim Boyle pass complete short middle to Julian Hill for 11 yards (tackle by Tyrel Dodson and Drake Thomas),4.000,6.510
4,11:51,1,3,SEA 3,3,17,De'Von Achane up the middle for -1 yards (tackle by Julian Love),6.510,5.340
4,11:11,2,4,SEA 4,3,17,De'Von Achane right guard for 2 yards (tackle by Tyrel Dodson and Jarran Reed),5.340,4.950
4,10:31,3,2,SEA 2,3,17,Tim Boyle pass incomplete short left intended for Durham Smythe,4.950,3.250
4,10:26,4,2,SEA 2,3,17,Tim Boyle pass incomplete short left intended for De'Von Achane,3.250,0.380
4,10:22,1,10,SEA 2,3,17,Zach Charbonnet up the middle for 3 yards (tackle by Jaelan Phillips and Emmanuel Ogbah),-0.380,-0.560
4,9:59,2,7,SEA 5,3,17,Geno Smith pass complete short left to Jaxon Smith-Njigba for 6 yards (tackle by Kader Kohou). Penalty on Kader Kohou: Face Mask (15 Yards) 15 yards (accepted),-0.560,0.670
4,9:37,1,10,SEA 26,3,17,Geno Smith pass complete short left to D.K. Metcalf for 9 yards (tackle by Anthony Walker and Jalen Ramsey),0.670,1.350
4,9:02,2,1,SEA 35,3,17,Penalty on Laken Tomlinson: False Start 4 yards (accepted) (no play),1.350,0.810
4,9:02,2,5,SEA 31,3,17,Geno Smith aborted snap recovered by Geno Smith at SEA-31 Geno Smith pass complete short right to Noah Fant for 4 yards (tackle by Jevon Holland),0.810,0.630
4,8:30,3,1,SEA 35,3,17,Zach Charbonnet left guard for 2 yards (tackle by Da'Shawn Hand and Jordyn Brooks),0.630,1.400
4,7:48,1,10,SEA 37,3,17,Geno Smith pass complete short left to Noah Fant for 8 yards (tackle by Jordan Poyer),1.400,1.940
4,7:09,2,2,SEA 45,3,17,Geno Smith pass complete short left to Jaxon Smith-Njigba for 18 yards (tackle by Jordyn Brooks),1.940,3.120
4,6:31,1,10,MIA 37,3,17,Zach Charbonnet up the middle for 13 yards (tackle by Marcus Maye),3.120,3.970
4,5:46,1,10,MIA 24,3,17,Zach Charbonnet left end for 11 yards (tackle by Marcus Maye),3.970,4.710
4,5:08,1,10,MIA 13,3,17,Zach Charbonnet left guard for 3 yards (tackle by Anthony Walker),4.710,4.580
4,5:02,,,,,,Timeout #2 by Miami Dolphins,,
4,5:02,2,7,MIA 10,3,23,Zach Charbonnet right guard for 10 yards touchdown,4.580,7.000
4,4:55,,,MIA 15,3,24,Jason Myers kicks extra point good,0.000,0.000
4,4:55,,,SEA 35,3,24,Jason Myers kicks off 65 yards touchback.,0.000,0.940
4,4:55,1,10,MIA 30,3,24,Tim Boyle pass complete short middle to Julian Hill for 13 yards (tackle by Rayshawn Jenkins),0.940,1.800
4,4:11,,,,,,Timeout #3 by Miami Dolphins,,
4,4:11,1,10,MIA 43,3,24,Tim Boyle pass complete short right to De'Von Achane for no gain (tackle by Tre Brown). Penalty on Jonnu Smith: Illegal Shift 5 yards (accepted) (no play),1.800,1.470
4,4:04,1,15,MIA 38,3,24,Tim Boyle pass complete short middle to D'Wayne Eskridge for 30 yards (tackle by Rayshawn Jenkins),1.470,3.450
4,3:42,1,10,SEA 32,3,24,Tim Boyle pass complete short right to Durham Smythe for 3 yards (tackle by Rayshawn Jenkins and Drake Thomas),3.450,3.310
4,3:18,2,7,SEA 29,3,24,Tim Boyle sacked by Jarran Reed for -9 yards. Penalty on De'Von Achane: Chop Block 15 yards (declined),3.310,1.420
4,3:14,3,16,SEA 38,3,24,Tim Boyle pass incomplete deep right intended for Erik Ezukanma,1.420,0.720
4,3:09,4,16,SEA 38,3,24,Tim Boyle pass incomplete deep left intended for Erik Ezukanma,0.720,-1.470
4,3:00,1,10,SEA 38,3,24,Kenny McIntosh up the middle for 2 yards (tackle by Jordyn Brooks and Anthony Walker),1.470,1.190
4,2:23,2,8,SEA 40,3,24,Kenny McIntosh right tackle for 6 yards (tackle by Da'Shawn Hand),1.190,1.290
4,2:00,3,2,SEA 46,3,24,Kenny McIntosh right guard for 3 yards (tackle by Jordan Poyer and Da'Shawn Hand),1.290,2.190
4,1:04,1,10,SEA 49,3,24,Geno Smith kneels for -1 yards,2.190,1.510
4,0:36,2,11,SEA 48,3,24,Geno Smith kneels for -1 yards,1.510,0.700
