Quarter,Time,Down,ToGo,Location,PHI,NOR,Detail,EPB,EPA
4,9:49,,,NOR 35,7,6,Blake Grupe kicks off 67 yards returned by Will Shipley for 26 yards (tackle by Rico Payton),0.000,0.540
4,9:44,1,10,PHI 24,7,6,Jalen Hurts pass incomplete short right,0.540,0.000
4,9:40,2,10,PHI 24,7,6,Jalen Hurts scrambles left end for 5 yards (tackle by Demario Davis),0.000,-0.030
4,8:57,3,5,PHI 29,7,6,Jalen Hurts pass complete short right to Dallas Goedert for 30 yards. Dallas Goedert fumbles ball out of bounds at NO-41 (forced by Alontae Taylor) (tackle by Will Harris and Alontae Taylor). Dallas Goedert fumbles out of bounds,-0.030,2.850
4,8:16,1,10,NOR 41,7,6,Saquon Barkley right guard for no gain (tackle by Pete Werner and John Ridgeway),2.850,2.310
4,7:32,2,10,NOR 41,7,6,Jalen Hurts pass complete short right to Dallas Goedert for -1 yards (tackle by Will Harris),2.310,1.490
4,6:55,3,11,NOR 42,7,6,Jalen Hurts pass incomplete deep left intended for Jahan Dotson,1.490,0.460
4,6:47,4,11,NOR 42,7,6,Jake Elliott 60 yard field goal no good,0.460,-2.260
4,6:41,1,10,NOR 50,7,6,Derek Carr scrambles left end for 4 yards (tackle by Quinyon Mitchell and Zack Baun),2.260,2.250
4,6:02,2,6,PHI 46,7,6,Alvin Kamara left guard for 2 yards (tackle by Jalen Carter),2.250,1.820
4,5:24,3,4,PHI 44,7,6,Alvin Kamara right end for 5 yards (tackle by C.J. Gardner-Johnson),1.820,2.980
4,5:19,1,10,PHI 39,7,6,Penalty on Trevor Penning: Unnecessary Roughness / Offense 15 yards (accepted) (no play),2.980,1.990
4,5:00,1,10,NOR 46,7,6,Derek Carr pass incomplete short right intended for Jamaal Williams (defended by Thomas Booker),1.990,1.450
4,4:55,,,,,,Timeout #2 by New Orleans Saints,,
4,4:55,2,10,NOR 46,7,6,Derek Carr pass complete deep middle to Chris Olave for 29 yards (tackle by Kelee Ringo),1.450,3.910
4,4:22,1,10,PHI 25,7,6,Alvin Kamara right guard for 4 yards (tackle by Zack Baun and Josh Sweat),3.910,3.900
4,3:37,2,6,PHI 21,7,6,Alvin Kamara left tackle for 9 yards (tackle by Avonte Maddox),3.900,4.780
4,2:53,1,10,PHI 12,7,6,Jamaal Williams right tackle for -1 yards (tackle by Milton Williams and Zack Baun),4.780,3.940
4,2:10,2,11,PHI 13,7,12,Derek Carr pass complete short left to Chris Olave for 13 yards touchdown,3.940,7.000
4,2:03,,,PHI 2,7,12,Two Point Attempt: Derek Carr pass incomplete intended for to Jamaal Williams for no gain,1.000,-1.000
4,2:03,,,NOR 35,7,12,Blake Grupe kicks off 63 yards returned by Kenneth Gainwell for 29 yards (tackle by Willie Gay and Jordan Mims),0.000,1.000
4,1:58,1,10,PHI 31,7,12,Jalen Hurts pass complete short left to Jahan Dotson for 5 yards (tackle by Tyrann Mathieu),1.000,1.140
4,1:34,2,5,PHI 36,7,12,Jalen Hurts pass complete short right to Parris Campbell for no gain (tackle by Willie Gay). Penalty on Alontae Taylor: Illegal Use of Hands / Defense 5 yards (accepted) (no play),1.140,1.660
4,1:27,1,10,PHI 41,7,12,Jalen Hurts sacked by Bryan Bresee for -6 yards,1.660,0.310
4,1:21,,,,,,Timeout #1 by Philadelphia Eagles,,
4,1:21,2,16,PHI 35,7,12,Jalen Hurts pass incomplete deep left intended for Johnny Wilson (defended by Alontae Taylor),0.310,-0.360
4,1:16,3,16,PHI 35,7,12,Jalen Hurts pass complete short left to Dallas Goedert for 61 yards (tackle by Paulson Adebo),-0.360,6.280
4,1:05,,,,,,Timeout #2 by Philadelphia Eagles,,
4,1:05,1,4,NOR 4,13,12,Saquon Barkley right guard for 4 yards touchdown,6.280,7.000
4,1:01,,,NOR 2,15,12,Two Point Attempt: Saquon Barkley rushes conversion succeeds.,1.000,1.000
4,1:01,,,PHI 35,15,12,Braden Mann kicks off 65 yards touchback.,0.000,0.940
4,1:01,1,10,NOR 30,15,12,Derek Carr pass complete short left to Mason Tipton for 6 yards (tackle by Quinyon Mitchell),0.940,1.200
4,0:55,2,4,NOR 36,15,12,Derek Carr pass deep middle intended for Rashid Shaheed is intercepted by Reed Blankenship at PHI-41 and returned for no gain (tackle by Chris Olave) Replay Assistant challenged the pass interception ruling and the play was upheld.,1.200,-1.660
4,0:48,1,10,PHI 41,15,12,Jalen Hurts kneels for -2 yards,1.660,0.850
4,0:47,,,,,,Timeout #3 by New Orleans Saints,,
4,0:47,2,12,PHI 39,15,12,Jalen Hurts kneels for -1 yards,0.850,0.040
4,0:24,3,13,PHI 38,15,12,Jalen Hurts kneels for -1 yards,0.040,-0.910
