Quarter,Time,Down,ToGo,Location,BAL,DAL,Detail,EPB,EPA
4,2:53,,,DAL 35,28,25,Brandon Aubrey kicks off 65 yards returned by Deonte Harty for 31 yards (tackle by Hunter Luepke and Jalen Brooks). Penalty on Chris Board: Offensive Holding 10 yards (accepted),0.000,0.340
4,2:44,1,10,BAL 21,28,25,Lamar Jackson up the middle for 4 yards (tackle by Mazi Smith),0.340,0.340
4,2:40,,,,,,Timeout #1 by Dallas Cowboys,,
4,2:40,2,6,BAL 25,28,25,Derrick Henry up the middle for no gain (tackle by Micah Parsons),0.340,-0.360
4,2:36,,,,,,Timeout #2 by Dallas Cowboys,,
4,2:36,3,6,BAL 25,28,25,Lamar Jackson pass complete short right to Zay Flowers for 9 yards (tackle by Trevon Diggs),-0.360,1.200
4,2:28,,,,,,Timeout #3 by Dallas Cowboys,,
4,2:28,1,10,BAL 34,28,25,Derrick Henry right tackle for 1 yard (tackle by Caelen Carson),1.200,0.790
4,2:00,2,9,BAL 35,28,25,Lamar Jackson left guard for 10 yards (tackle by DeMarvion Overshown and Eric Kendricks),0.790,1.930
4,1:13,1,10,BAL 45,28,25,Lamar Jackson kneels for -1 yards,1.930,1.250
4,0:33,2,11,BAL 44,28,25,Lamar Jackson kneels for -1 yards,1.250,0.430
