Quarter,Time,Down,ToGo,Location,CAR,LVR,Detail,EPB,EPA
4,1:55,2,10,CAR 36,36,15,Aidan O'Connell pass complete short left to Jakobi Meyers for 13 yards (tackle by Michael Jackson),2.640,4.040
4,1:33,1,10,CAR 23,36,15,Aidan O'Connell pass complete short middle to Jakobi Meyers for 6 yards (tackle by Michael Jackson),4.040,4.380
4,1:13,2,4,CAR 17,36,15,Aidan O'Connell pass complete short left to Jakobi Meyers for 9 yards,4.380,5.370
4,1:08,,,,,,Timeout #1 by Carolina Panthers,,
4,1:08,1,8,CAR 8,36,15,Aidan O'Connell pass incomplete short right intended for Davante Adams (defended by Josey Jewell),5.370,4.570
4,1:03,2,8,CAR 8,36,21,Aidan O'Connell pass complete short right to Tre Tucker for 8 yards touchdown,4.570,7.000
4,0:56,,,CAR 15,36,22,Daniel Carlson kicks extra point good,0.000,0.000
4,0:56,,,,,,Timeout #2 by Carolina Panthers,,
4,0:56,,,LVR 35,36,22,Daniel Carlson kicks onside 12 yards returned by Ja'Tavion Sanders for no gain,0.000,2.460
4,0:55,1,10,LVR 47,36,22,Andy Dalton kneels for -1 yards,2.460,1.780
4,0:12,2,11,LVR 48,36,22,Andy Dalton kneels for -1 yards,1.780,0.960
