Quarter,Time,Down,ToGo,Location,NYG,CLE,Detail,EPB,EPA
3,6:07,4,8,CLE 48,21,7,Corey Bojorquez punts 47 yards downed by Mike Ford,-0.190,0.380
3,5:57,1,10,NYG 5,21,7,Devin Singletary right guard for 10 yards (tackle by Martin Emerson and Grant Delpit),-0.380,-0.220
3,5:18,1,10,NYG 15,21,7,Devin Singletary up the middle for 1 yard (tackle by Devin Bush and Jordan Hicks),-0.220,-0.580
3,4:32,2,9,NYG 16,21,7,Daniel Jones pass complete short left to Wan'Dale Robinson for 10 yards (tackle by Martin Emerson),-0.580,0.670
3,3:58,1,10,NYG 26,21,7,Devin Singletary left guard for 2 yards (tackle by Ogbonnia Okoronkwo and Sam Kamara),0.670,0.400
3,3:18,2,8,NYG 28,21,7,Daniel Jones sacked by Ogbonnia Okoronkwo for -8 yards,0.400,-1.350
3,2:37,3,16,NYG 20,21,7,Tyrone Tracy up the middle for 5 yards (tackle by Alex Wright and Grant Delpit),-1.350,-1.700
3,1:53,4,11,NYG 25,21,7,Jamie Gillan punts 57 yards returned by James Proche for 3 yards (tackle by Bryce Ford-Wheaton),-1.700,-0.340
3,1:42,1,10,CLE 21,21,7,Jerome Ford right guard for 10 yards (tackle by Tyler Nubin and Jason Pinnock),0.340,1.000
3,1:21,1,10,CLE 31,21,7,Deshaun Watson pass complete short left to Jerome Ford for 24 yards (tackle by Cordale Flott),1.000,2.590
3,0:50,1,10,NYG 45,21,7,Deshaun Watson scrambles left end for no gain (tackle by Cordale Flott). Penalty on Joel Bitonio: Offensive Holding 10 yards (accepted) (no play),2.590,1.930
3,0:22,1,20,CLE 45,21,7,Deshaun Watson pass complete short right to Jordan Akins for 5 yards (tackle by Isaiah Simmons),1.930,1.370
4,15:00,2,15,CLE 50,21,7,Deshaun Watson pass incomplete short left intended for Jordan Akins,1.370,0.700
4,14:54,3,15,CLE 50,21,7,Deshaun Watson pass incomplete short left intended for Jordan Akins (defended by Deonte Banks),0.700,-0.060
4,14:50,4,15,CLE 50,21,7,Corey Bojorquez punts 41 yards fair catch by Ihmir Smith-Marsette at NYG-9,-0.060,0.380
4,14:42,1,10,NYG 9,21,7,Devin Singletary right tackle for 1 yard (tackle by Rodney McLeod),-0.380,-0.710
4,14:04,2,9,NYG 10,21,7,Daniel Jones pass incomplete short middle intended for Theo Johnson (defended by Shelby Harris) (defended by Denzel Ward),-0.710,-1.300
4,13:50,3,9,NYG 10,21,7,Daniel Jones pass incomplete short right intended for Darius Slayton,-1.300,-2.490
4,13:50,4,9,NYG 10,21,7,Jamie Gillan punts 43 yards returned by James Proche for 4 yards (tackle by Dane Belton and Art Green),-2.490,-2.320
4,13:40,1,10,NYG 49,21,7,Deshaun Watson pass complete short right to Elijah Moore for 5 yards (tackle by Micah McFadden),2.320,2.460
4,13:05,2,5,NYG 44,21,7,Jerome Ford right tackle for 12 yards (tackle by Tyler Nubin and Bobby Okereke),2.460,3.450
4,12:31,1,10,NYG 32,21,7,Deshaun Watson scrambles left end for 14 yards (tackle by Cordale Flott),3.450,4.370
4,12:00,1,10,NYG 18,21,7,Deshaun Watson pass complete short right to Jerry Jeudy for 12 yards (tackle by Cordale Flott). Penalty on Brian Burns: Defensive Offside 5 yards (declined),4.370,5.830
4,11:36,1,6,NYG 6,21,13,Deshaun Watson pass complete short left to Amari Cooper for 6 yards touchdown,5.830,7.000
4,11:33,,,NYG 2,21,15,Two Point Attempt: Deshaun Watson pass complete to to Jerry Jeudy for no gain,1.000,1.000
4,11:33,,,CLE 35,21,15,Dustin Hopkins kicks off 65 yards touchback.,0.000,0.940
4,11:33,1,10,NYG 30,21,15,Daniel Jones right end for 4 yards (tackle by Ronnie Hickman). Penalty on Daniel Bellinger: Offensive Holding 10 yards (accepted),0.940,0.540
4,11:02,1,16,NYG 24,21,15,Daniel Jones pass incomplete short left intended for Malik Nabers (defended by Denzel Ward),0.540,-0.420
4,10:57,2,16,NYG 24,21,15,Daniel Jones pass complete short left to Wan'Dale Robinson for 4 yards (tackle by Greg Newsome),-0.420,-0.560
4,10:27,3,12,NYG 28,21,15,Daniel Jones scrambles up the middle for 5 yards (tackle by Za'Darius Smith),-0.560,-1.180
4,10:00,4,7,NYG 33,21,15,Jamie Gillan punts 67 yards touchback.,-1.180,-0.280
4,9:53,1,10,CLE 20,21,15,Jerome Ford up the middle for no gain (tackle by Micah McFadden and Bobby Okereke),0.280,-0.270
4,9:21,2,10,CLE 20,21,15,Deshaun Watson pass complete deep left to Amari Cooper for 23 yards (tackle by Deonte Banks),-0.270,1.800
4,8:45,1,10,CLE 43,21,15,Deshaun Watson pass complete short left to Amari Cooper for 7 yards (tackle by Deonte Banks),1.800,2.200
4,8:26,2,3,CLE 50,21,15,Jerome Ford right tackle for 6 yards (tackle by Bobby Okereke),2.200,2.650
4,7:46,1,10,NYG 44,21,15,Deshaun Watson aborted snap recovered by Azeez Ojulari at NYG-46,2.650,-1.990
4,7:40,1,10,NYG 46,21,15,Daniel Jones pass complete short left to Malik Nabers for 8 yards (tackle by Greg Newsome and Jeremiah Owusu-Koramoah),1.990,2.530
4,6:58,2,2,CLE 46,21,15,Devin Singletary right guard for 4 yards (tackle by Grant Delpit and Shelby Harris),2.530,2.790
4,6:14,1,10,CLE 42,21,15,Daniel Jones pass incomplete short middle intended for Malik Nabers,2.790,2.240
4,6:10,2,10,CLE 42,21,15,Daniel Jones pass complete short middle to Wan'Dale Robinson for 2 yards (tackle by Grant Delpit),2.240,1.820
4,5:29,3,8,CLE 40,21,15,Daniel Jones pass incomplete short left intended for Wan'Dale Robinson,1.820,0.590
4,5:27,4,8,CLE 40,21,15,Jamie Gillan punts 40 yards touchback.,0.590,-0.280
4,5:19,1,10,CLE 20,21,15,Jerome Ford up the middle for 2 yards (tackle by Isaiah Simmons and Rakeem Nunez-Roches),0.280,0.000
4,4:48,2,8,CLE 22,21,15,Deshaun Watson pass complete short left to Amari Cooper for 7 yards (tackle by Deonte Banks),0.000,0.230
4,4:41,3,1,CLE 29,21,15,Jameis Winston up the middle for no gain (tackle by Kayvon Thibodeaux and Cordale Flott),0.230,-1.440
4,4:03,,,,,,Timeout #1 by Cleveland Browns,,
4,4:03,4,1,CLE 29,21,15,Deshaun Watson sacked by Dexter Lawrence for no gain,-1.440,-3.640
4,3:56,1,10,CLE 29,21,15,Devin Singletary right guard for no gain (tackle by Shelby Harris),3.640,3.100
4,3:52,,,,,,Timeout #2 by Cleveland Browns,,
4,3:52,2,10,CLE 29,21,15,Devin Singletary left tackle for -4 yards (tackle by Grant Delpit),3.100,1.880
4,3:47,,,,,,Timeout #3 by Cleveland Browns,,
4,3:47,3,14,CLE 33,21,15,Devin Singletary right guard for 3 yards (tackle by Grant Delpit and Jeremiah Owusu-Koramoah),1.880,1.410
4,3:04,4,11,CLE 30,21,15,Greg Joseph 48 yard field goal no good,1.410,-1.470
4,3:00,1,10,CLE 38,21,15,Deshaun Watson pass complete short right to Amari Cooper for 6 yards (tackle by Deonte Banks),1.470,1.730
4,2:39,2,4,CLE 44,21,15,Deshaun Watson pass incomplete short right intended for Amari Cooper,1.730,1.020
4,2:34,3,4,CLE 44,21,15,Deshaun Watson pass incomplete deep left intended for Amari Cooper,1.020,-0.460
4,2:28,4,4,CLE 44,21,15,Deshaun Watson pass incomplete short middle intended for Cedric Tillman,-0.460,-2.650
4,2:23,1,10,CLE 44,21,15,Devin Singletary right end for 43 yards,2.650,6.970
4,2:00,1,1,CLE 1,21,15,Daniel Jones kneels for -1 yards,6.970,5.720
4,1:22,2,2,CLE 2,21,15,Daniel Jones kneels for -2 yards,5.720,0.000
4,0:39,3,4,CLE 3,21,15,Daniel Jones kneels for -1 yards,0.000,0.000
