Quarter,Time,Down,ToGo,Location,SFO,TAM,Detail,EPB,EPA
4,2:30,2,4,TAM 40,20,17,Baker Mayfield aborted snap recovered by Baker Mayfield at TB-36 and returned for -2 yards Baker Mayfield up the middle for -2 yards. Baker Mayfield fumbles recovered by Bucky Irving at TB-37,1.470,0.370
4,2:00,3,7,TAM 37,20,17,Baker Mayfield pass incomplete short left intended for Sterling Shepard,0.370,-0.910
4,1:57,4,7,TAM 37,20,17,Baker Mayfield pass complete short right to Rachaad White for 8 yards (tackle by Fred Warner),-0.910,1.930
4,1:33,1,10,TAM 45,20,17,Baker Mayfield pass incomplete short right intended for Sterling Shepard. Penalty on Rock Ya-Sin: Defensive Holding 5 yards (accepted) (no play),1.930,2.260
4,1:27,1,10,TAM 50,20,17,Baker Mayfield scrambles right end for 3 yards (tackle by Sam Okuayinonu),2.260,2.120
4,1:20,2,7,SFO 47,20,17,Baker Mayfield pass incomplete short right intended for Rachaad White,2.120,1.420
4,1:17,3,7,SFO 47,20,17,Baker Mayfield pass incomplete short left intended for Cade Otton. Penalty on Fred Warner: Face Mask (15 Yards) 15 yards (accepted) (no play),1.420,3.450
4,1:14,1,10,SFO 32,20,17,Baker Mayfield pass complete short right to Rachaad White for 5 yards (tackle by Ji'Ayir Brown). Penalty on Maliek Collins: Roughing the Passer 14 yards (accepted),3.450,4.710
4,1:04,1,10,SFO 13,20,17,Rachaad White left end for no gain (tackle by Nick Bosa). Penalty on Evan Anderson: Illegal Use of Hands / Defense 5 yards (accepted) (no play),4.710,5.370
4,0:59,1,8,SFO 8,20,17,Rachaad White left guard for 3 yards (tackle by Nick Bosa),5.370,5.150
4,0:53,,,,,,Timeout #1 by San Francisco 49ers,,
4,0:53,2,5,SFO 5,20,17,Rachaad White up the middle for -3 yards (tackle by Evan Anderson),5.150,3.580
4,0:48,,,,,,Timeout #2 by San Francisco 49ers,,
4,0:48,3,8,SFO 8,20,17,Baker Mayfield pass incomplete short right intended for Rakim Jarrett (defended by Rock Ya-Sin),3.580,2.950
4,0:44,4,8,SFO 8,20,20,Chase McLaughlin 26 yard field goal good,2.950,3.000
4,0:41,,,TAM 35,20,20,Trenton Gill kicks off 65 yards touchback.. Penalty on Josh Hayes: Illegal Formation 5 yards (accepted),0.000,1.270
4,0:41,1,10,SFO 35,20,20,Brock Purdy pass complete short left to Jauan Jennings for 6 yards,1.270,1.530
4,0:36,2,4,SFO 41,20,20,Brock Purdy pass complete short right to Ricky Pearsall for 6 yards (tackle by Tyrek Funderburk),1.530,2.060
4,0:31,1,10,SFO 47,20,20,Brock Purdy pass complete short left to Ricky Pearsall for 14 yards (tackle by Christian Izien),2.060,2.980
4,0:23,,,,,,Timeout #3 by San Francisco 49ers,,
4,0:23,1,10,TAM 39,20,20,Brock Purdy pass complete short right to Jauan Jennings for 13 yards (tackle by Jordan Whitehead and Tyrek Funderburk),2.980,3.840
4,0:04,1,10,TAM 26,20,20,Brock Purdy spiked the ball,3.840,3.300
4,0:03,2,10,TAM 26,23,20,Jake Moody 44 yard field goal good,3.300,3.000
