Quarter,Time,Down,ToGo,Location,PHI,DAL,Detail,EPB,EPA
3,6:28,1,10,DAL 39,21,6,Saquon Barkley up the middle for 8 yards (tackle by Linval Joseph and Eric Kendricks),2.980,3.520
3,5:45,2,2,DAL 31,21,6,Saquon Barkley left guard for 11 yards (tackle by Malik Hooker and Jourdan Lewis),3.520,4.240
3,5:05,1,10,DAL 20,21,6,Saquon Barkley left tackle for 2 yards (tackle by Marist Liufau),4.240,3.960
3,4:24,2,8,DAL 18,21,6,Saquon Barkley right end for 9 yards (tackle by Donovan Wilson),3.960,5.140
3,3:44,1,9,DAL 9,21,6,Kenneth Gainwell left end for 1 yard (tackle by Chauncey Golston),5.140,4.570
3,3:02,2,8,DAL 8,27,6,Jalen Hurts left guard for 8 yards touchdown,4.570,7.000
3,2:56,,,DAL 15,28,6,Jake Elliott kicks extra point good,0.000,0.000
3,2:56,,,PHI 35,28,6,Braden Mann kicks off 65 yards touchback.,0.000,0.940
3,2:56,1,10,DAL 30,28,6,Trey Lance right guard for 4 yards (tackle by Josh Sweat),0.940,0.930
3,2:22,2,6,DAL 34,28,6,Rico Dowdle up the middle for no gain (tackle by Nakobe Dean). Penalty on Cooper Beebe: Offensive Holding 10 yards (accepted) (no play),0.930,-0.420
3,1:55,2,16,DAL 24,28,6,Cooper Rush pass complete short left to CeeDee Lamb for 2 yards (tackle by Cooper DeJean),-0.420,-0.820
3,1:20,3,14,DAL 26,28,6,Cooper Rush pass incomplete deep left intended for Jalen Brooks. Penalty on Moro Ojomo: Defensive Offside 5 yards (accepted) (no play),-0.820,-0.160
3,1:14,3,9,DAL 31,28,6,Cooper Rush sacked by Bryce Huff for -10 yards. Cooper Rush fumbles (forced by Bryce Huff) recovered by Zack Baun at DAL-21,-0.160,-4.170
3,1:03,1,10,DAL 21,28,6,Jalen Hurts pass complete short middle to Ainias Smith for 1 yard (tackle by Donovan Wilson),4.170,3.760
3,0:26,2,9,DAL 20,28,6,Kenneth Gainwell left tackle for -1 yards (tackle by Mazi Smith),3.760,2.940
4,15:00,3,10,DAL 21,28,6,Jalen Hurts pass incomplete deep right intended for A.J. Brown,2.940,2.060
4,14:54,4,10,DAL 21,31,6,Jake Elliott 39 yard field goal good,2.060,3.000
4,14:50,,,PHI 35,31,6,Braden Mann kicks off 65 yards touchback.,0.000,0.940
4,14:50,1,10,DAL 30,31,6,Trey Lance sacked by and Brandon Graham for -6 yards and Jalen Carter for -6 yards,0.940,-0.420
4,14:21,2,16,DAL 24,31,6,Rico Dowdle up the middle for 2 yards (tackle by Oren Burks),-0.420,-0.820
4,13:47,3,14,DAL 26,31,6,Trey Lance pass complete short right to Jake Ferguson for 10 yards (tackle by Cooper DeJean),-0.820,-0.980
4,13:12,4,4,DAL 36,31,6,Trey Lance pass complete short right to CeeDee Lamb for 6 yards (tackle by Isaiah Rodgers),-0.980,1.730
4,12:51,1,10,DAL 42,31,6,Trey Lance pass complete short right to Jake Ferguson for 1 yard. Jake Ferguson fumbles (forced by Zack Baun) recovered by Reed Blankenship at DAL-45 and returned for 16 yards (tackle by Trey Lance) Replay Assistant challenged the fumble ruling and the play was upheld.,1.730,-3.640
4,12:42,1,10,DAL 29,31,6,Kenneth Gainwell left tackle for 2 yards (tackle by Carlos Watkins and Tyrus Wheat),3.640,3.370
4,12:00,2,8,DAL 27,31,6,Kenny Pickett pass complete short right to Ainias Smith for 5 yards (tackle by Israel Mukuamu),3.370,3.340
4,11:16,3,3,DAL 22,31,6,Kenneth Gainwell right guard for 2 yards (tackle by Tyrus Wheat),3.340,2.270
4,10:36,4,1,DAL 20,34,6,Jake Elliott 38 yard field goal good,2.270,3.000
4,10:32,,,PHI 35,34,6,Braden Mann kicks off 65 yards touchback.,0.000,0.940
4,10:32,1,10,DAL 30,34,6,Trey Lance right end for 11 yards (tackle by Jeremiah Trotter),0.940,1.660
4,10:01,1,10,DAL 41,34,6,Trey Lance pass deep right intended for Jalen Tolbert is intercepted by C.J. Gardner-Johnson at PHI-26 and returned for no gain (tackle by Jalen Tolbert),1.660,-0.670
4,9:53,1,10,PHI 26,34,6,Will Shipley left tackle for 3 yards (tackle by Chauncey Golston),0.670,0.540
4,9:06,,,,,,Timeout #1 by Philadelphia Eagles,,
4,9:06,2,7,PHI 29,34,6,Will Shipley right tackle for 3 yards (tackle by Carlos Watkins),0.540,0.230
4,8:21,3,4,PHI 32,34,6,Kenny Pickett pass incomplete short left intended for Grant Calcaterra,0.230,-1.240
4,8:17,4,4,PHI 32,34,6,Braden Mann punts 47 yards out of bounds,-1.240,-0.340
4,8:07,1,10,DAL 21,34,6,Ezekiel Elliott left tackle for 5 yards (tackle by Jalyx Hunt),0.340,0.480
4,7:36,2,5,DAL 26,34,6,Ezekiel Elliott up the middle for 4 yards (tackle by C.J. Gardner-Johnson and Nolan Smith),0.480,0.300
4,6:59,3,1,DAL 30,34,6,Trey Lance up the middle for 2 yards (tackle by Oren Burks),0.300,1.070
4,6:23,1,10,DAL 32,34,6,Trey Lance pass complete short middle to Jalen Brooks for 4 yards (tackle by Isaiah Rodgers),1.070,1.070
4,5:50,2,6,DAL 36,34,6,Trey Lance pass incomplete short left intended for Luke Schoonmaker,1.070,0.370
4,5:45,3,6,DAL 36,34,6,Trey Lance sacked by Milton Williams for -1 yards,0.370,-1.040
4,5:10,4,7,DAL 35,34,6,Bryan Anger punts 44 yards fair catch by Cooper DeJean at PHI-21,-1.040,-0.340
4,5:03,1,10,PHI 21,34,6,Will Shipley up the middle for 9 yards (tackle by Marist Liufau),0.340,1.020
4,4:18,2,1,PHI 30,34,6,Will Shipley left tackle for 1 yard (tackle by Carlos Watkins),1.020,1.000
4,3:32,1,10,PHI 31,34,6,Will Shipley right guard for 6 yards (tackle by Marist Liufau),1.000,1.270
4,2:50,2,4,PHI 37,34,6,Will Shipley left tackle for 3 yards (tackle by Chauncey Golston and Mazi Smith). Penalty on Marist Liufau: Face Mask (15 Yards) 15 yards (accepted),1.270,2.590
4,2:41,1,10,DAL 45,34,6,Will Shipley up the middle for no gain (tackle by Nick Vigil),2.590,2.040
4,2:00,2,10,DAL 45,34,6,Will Shipley left guard for 7 yards (tackle by Josh Butler and Markquese Bell),2.040,2.280
4,1:18,3,3,DAL 38,34,6,Will Shipley right guard for 2 yards (tackle by Nick Vigil and Linval Joseph),2.280,0.890
4,0:37,4,1,DAL 36,34,6,Kenny Pickett up the middle for 1 yard (tackle by Carlos Watkins),0.890,3.120
