Quarter,Time,Down,ToGo,Location,BAL,CIN,Detail,EPB,EPA
OT,6:39,1,10,CIN 39,38,38,Lamar Jackson aborted snap recovered by Germaine Pratt at BAL-46 and returned for 9 yards (tackle by Roger Rosengarten and Patrick Ricard),2.980,-3.050
OT,6:28,1,10,BAL 38,38,38,Chase Brown left guard for no gain (tackle by Trenton Simpson and Roquan Smith),3.050,2.510
OT,5:42,,,,,,Timeout #1 by Cincinnati Bengals,,
OT,5:42,2,10,BAL 38,38,38,Chase Brown right guard for 3 yards (tackle by Tavius Robinson and Roquan Smith),2.510,2.210
OT,5:00,3,7,BAL 35,38,38,Chase Brown right guard for no gain (tackle by Nnamdi Madubuike),2.210,0.970
OT,4:31,,,,,,Timeout #2 by Cincinnati Bengals,,
OT,4:31,4,7,BAL 35,38,38,Evan McPherson 53 yard field goal no good,0.970,-1.800
OT,4:26,1,10,BAL 43,38,38,Derrick Henry left end for 51 yards (tackle by Geno Stone),1.800,5.830
OT,3:36,,,,,,Timeout #1 by Baltimore Ravens,,
OT,3:36,1,6,CIN 6,41,38,Justin Tucker 24 yard field goal good,5.830,3.000
