Quarter,Time,Down,ToGo,Location,NYJ,MIN,Detail,EPB,EPA
3,7:51,4,7,NYJ 46,7,17,Ryan Wright punts 43 yards returned by Xavier Gipson for no gain (tackle by Jay Ward and Andrew DePaola),0.200,0.380
3,7:41,1,10,NYJ 3,7,17,Aaron Rodgers pass complete short left to Tyler Conklin for 1 yard (tackle by Byron Murphy and Patrick Jones),-0.380,-0.710
3,6:59,2,9,NYJ 4,7,17,Aaron Rodgers pass complete short left to Garrett Wilson for 10 yards (tackle by Stephon Gilmore),-0.710,-0.280
3,6:22,1,10,NYJ 14,7,17,Aaron Rodgers pass incomplete short left intended for Garrett Wilson,-0.280,-0.750
3,6:19,2,10,NYJ 14,7,17,Aaron Rodgers pass incomplete deep right intended for Garrett Wilson (defended by Blake Cashman),-0.750,-1.400
3,6:11,3,10,NYJ 14,7,17,Aaron Rodgers pass incomplete short right intended for Breece Hall,-1.400,-2.470
3,6:07,4,10,NYJ 14,7,17,Thomas Morstead punts returned by Brandon Powell for no gain (tackle by Irvin Charles). Penalty on Ivan Pace: Roughing the Kicker 15 yards (accepted) (no play),-2.470,0.870
3,5:59,1,10,NYJ 29,7,17,Breece Hall right tackle for 10 yards (tackle by Camryn Bynum and Byron Murphy),0.870,1.530
3,5:21,1,10,NYJ 39,7,17,Breece Hall right guard for no gain (tackle by Jonathan Greenard),1.530,0.990
3,4:42,2,10,NYJ 39,7,17,Aaron Rodgers pass complete short middle to Garrett Wilson for 11 yards (tackle by Josh Metellus and Kamu Grugier-Hill),0.990,2.260
3,3:59,1,10,NYJ 50,7,17,Aaron Rodgers pass complete short left to Breece Hall for 3 yards (tackle by Josh Metellus),2.260,2.120
3,3:17,2,7,MIN 47,7,17,Aaron Rodgers pass complete short left to Braelon Allen for 15 yards (tackle by Blake Cashman),2.120,3.450
3,2:39,1,10,MIN 32,7,17,Braelon Allen left tackle for 7 yards (tackle by Blake Cashman and Camryn Bynum),3.450,3.850
3,2:00,2,3,MIN 25,7,17,Aaron Rodgers pass incomplete short middle,3.850,3.140
3,1:57,3,3,MIN 25,7,17,Aaron Rodgers pass complete short middle to Garrett Wilson for 9 yards (tackle by Harrison Smith),3.140,4.510
3,1:36,1,10,MIN 16,7,17,Aaron Rodgers pass complete short right to Tyler Conklin for 2 yards (tackle by Byron Murphy),4.510,4.210
3,1:00,2,8,MIN 14,7,17,Aaron Rodgers pass incomplete short right intended for Garrett Wilson (defended by Stephon Gilmore),4.210,3.370
3,0:56,3,8,MIN 14,7,17,Aaron Rodgers pass incomplete short left intended for Allen Lazard,3.370,2.510
3,0:53,4,8,MIN 14,10,17,Greg Zuerlein 32 yard field goal good,2.510,3.000
3,0:50,,,NYJ 35,10,17,Greg Zuerlein kicks off 65 yards touchback.,0.000,0.940
3,0:50,1,10,MIN 30,10,17,Ty Chandler left end for no gain (tackle by Quincy Williams),0.940,0.390
3,0:08,2,10,MIN 30,10,17,Sam Darnold pass incomplete deep left intended for Justin Jefferson. Penalty on D.J. Reed: Defensive Pass Interference 24 yards (accepted) (no play),0.390,2.520
3,0:02,1,10,NYJ 46,10,17,Sam Darnold pass incomplete deep left intended for Justin Jefferson,2.520,1.980
4,15:00,2,10,NYJ 46,10,17,Sam Darnold pass incomplete short left,1.980,1.290
4,14:57,3,10,NYJ 46,10,17,Sam Darnold pass incomplete short left,1.290,0.200
4,14:50,4,10,NYJ 46,10,17,Ryan Wright punts 39 yards downed by Kamu Grugier-Hill,0.200,0.380
4,14:41,1,10,NYJ 7,10,17,Braelon Allen left guard for 3 yards (tackle by Andrew Van Ginkel and Jerry Tillery),-0.380,-0.560
4,14:01,2,7,NYJ 10,10,17,Aaron Rodgers sacked by Ivan Pace for -6 yards,-0.560,-1.770
4,13:17,3,13,NYJ 4,10,17,Aaron Rodgers pass incomplete deep right,-1.770,-2.490
4,13:11,4,13,NYJ 4,10,17,Thomas Morstead punts 39 yards returned by Brandon Powell for 6 yards (tackle by Ashtyn Davis),-2.490,-3.120
4,13:03,1,10,NYJ 37,10,17,Sam Darnold pass incomplete deep right intended for Justin Jefferson,3.120,2.570
4,12:57,2,10,NYJ 37,10,17,Myles Gaskin left guard for 2 yards (tackle by Eric Watts),2.570,2.150
4,12:18,3,8,NYJ 35,10,17,Sam Darnold pass incomplete short left intended for Jordan Addison,2.150,0.970
4,12:12,4,8,NYJ 35,10,20,Will Reichard 53 yard field goal good,0.970,3.000
4,12:07,,,MIN 35,10,20,Will Reichard kicks off 65 yards touchback.,0.000,0.940
4,12:07,1,10,NYJ 30,10,20,Aaron Rodgers pass complete short right to Tyler Conklin for 7 yards (tackle by Harrison Smith),0.940,1.340
4,11:32,2,3,NYJ 37,10,20,Aaron Rodgers sacked by Harrison Phillips for -12 yards. Aaron Rodgers fumbles (forced by Harrison Phillips) recovered by Aaron Rodgers at NYJ-25 (tackle by Harrison Phillips),1.340,-0.960
4,10:56,3,15,NYJ 25,10,20,Aaron Rodgers pass incomplete deep left intended for Garrett Wilson,-0.960,-1.700
4,10:52,4,15,NYJ 25,10,20,Thomas Morstead punts 48 yards returned by Brandon Powell for no gain (tackle by Qwan'tez Stiggers). Penalty on Dallas Turner: Offensive Holding 10 yards (accepted),-1.700,0.060
4,10:43,1,10,MIN 17,10,20,Ty Chandler left end for no gain (tackle by D.J. Reed and Jamien Sherwood),-0.060,-0.580
4,9:59,2,10,MIN 17,10,20,Sam Darnold pass incomplete deep middle intended for Jordan Addison,-0.580,-1.250
4,9:54,3,10,MIN 17,10,20,Penalty on Christian Darrisaw: False Start 5 yards (accepted) (no play),-1.250,-2.010
4,9:54,3,15,MIN 12,10,20,Sam Darnold pass deep right intended for Jordan Addison is intercepted by Brandin Echols at MIN-42 and returned for no gain (tackle by Jordan Addison),-2.010,-2.790
4,9:47,1,10,MIN 42,10,20,Aaron Rodgers pass complete short right to Allen Lazard for 7 yards (tackle by Josh Metellus),2.790,3.190
4,9:11,2,3,MIN 35,10,20,Aaron Rodgers pass complete short right to Garrett Wilson for 10 yards (tackle by Stephon Gilmore and Harrison Smith),3.190,3.910
4,8:28,1,10,MIN 25,10,20,Aaron Rodgers pass incomplete deep middle intended for Tyler Conklin (defended by Camryn Bynum),3.910,3.360
4,8:20,2,10,MIN 25,10,20,Aaron Rodgers pass incomplete deep right intended for Mike Williams,3.360,2.680
4,8:17,3,10,MIN 25,10,20,Aaron Rodgers pass complete deep middle to Mike Williams for 18 yards (tackle by Harrison Smith),2.680,5.600
4,7:32,1,7,MIN 7,10,20,Penalty on Aaron Rodgers: Delay of Game 5 yards (accepted) (no play),5.600,4.640
4,7:32,1,12,MIN 12,10,20,Aaron Rodgers pass complete short left to Breece Hall for 5 yards (tackle by Stephon Gilmore),4.640,4.760
4,6:55,2,7,MIN 7,10,20,Aaron Rodgers pass complete short right to Garrett Wilson for 5 yards (tackle by Byron Murphy),4.760,4.950
4,6:15,3,2,MIN 2,10,20,Aaron Rodgers pass incomplete short right intended for Garrett Wilson. Penalty on Stephon Gilmore: Defensive Pass Interference 1 yard (accepted) (no play),4.950,6.970
4,6:10,1,1,MIN 1,16,20,Aaron Rodgers pass complete short left to Garrett Wilson for 1 yard touchdown,6.970,7.000
4,6:04,,,MIN 15,17,20,Greg Zuerlein kicks extra point good,0.000,0.000
4,6:04,,,NYJ 35,17,20,Greg Zuerlein kicks off 65 yards touchback.,0.000,0.940
