Quarter,Time,Down,ToGo,Location,NYG,WAS,Detail,EPB,EPA
4,5:24,1,10,NYG 46,18,18,Daniel Jones pass incomplete deep left intended for Malik Nabers (defended by Benjamin St-Juste),1.990,1.450
4,5:18,2,10,NYG 46,18,18,Devin Singletary left tackle for 1 yard (tackle by Dante Fowler),1.450,0.890
4,4:37,3,9,NYG 47,18,18,Daniel Jones pass complete short middle to Malik Nabers for 25 yards (tackle by Quan Martin),0.890,3.710
4,4:30,1,10,WAS 28,18,18,Devin Singletary up the middle for no gain. Penalty on Malik Nabers: Illegal Shift 5 yards (accepted) (no play),3.710,3.380
4,4:24,1,15,WAS 33,18,18,Devin Singletary right tackle for 1 yard (tackle by Frankie Luvu and Dorance Armstrong),3.380,2.630
4,3:37,2,14,WAS 32,18,18,Daniel Jones pass complete short right to Malik Nabers for 4 yards (tackle by Noah Igbinoghene),2.630,2.480
4,2:57,3,10,WAS 28,18,18,Daniel Jones scrambles up the middle for 6 yards (tackle by Frankie Luvu),2.480,2.070
4,2:09,4,4,WAS 22,18,18,Daniel Jones pass incomplete short right intended for Malik Nabers,2.070,-0.480
4,2:04,1,10,WAS 23,18,18,Austin Ekeler right end for no gain (tackle by Azeez Ojulari and Andru Phillips),0.480,-0.070
4,1:59,2,10,WAS 23,18,18,Jayden Daniels pass complete deep middle to Noah Brown for 34 yards (tackle by Cordale Flott),-0.070,2.720
4,1:12,1,10,NYG 43,18,18,Jayden Daniels pass complete short right to Olamide Zaccheaus for 8 yards (tackle by Andru Phillips and Cordale Flott),2.720,3.260
4,1:05,,,,,,Timeout #1 by New York Giants,,
4,1:05,2,2,NYG 35,18,18,Brian Robinson right guard for 11 yards (tackle by Dexter Lawrence and Kayvon Thibodeaux),3.260,3.970
4,0:57,,,,,,Timeout #2 by New York Giants,,
4,0:57,1,10,NYG 24,18,18,Jayden Daniels right end for 14 yards (tackle by Kayvon Thibodeaux),3.970,4.910
4,0:50,,,,,,Timeout #1 by Washington Commanders,,
4,0:50,1,10,NYG 10,18,18,Brian Robinson right guard for -1 yards (tackle by Micah McFadden and Rakeem Nunez-Roches),4.910,4.020
4,0:10,2,11,NYG 11,18,18,Jayden Daniels kneels for -1 yards,4.020,3.100
4,0:04,,,,,,Timeout #2 by Washington Commanders,,
4,0:04,,,,,,Timeout #3 by New York Giants,,
4,0:04,3,12,NYG 12,18,21,Austin Seibert 30 yard field goal good,3.100,3.000
