Quarter,Time,Down,ToGo,Location,JAX,DET,Detail,EPB,EPA
3,2:26,2,1,DET 32,6,42,Mac Jones pass deep right intended for Luke Farrell is intercepted by Kerby Joseph at DET-4 and returned for no gain (tackle by Luke Farrell),3.520,0.380
3,2:18,1,10,DET 4,6,42,Jahmyr Gibbs up the middle for 16 yards (tackle by Montaric Brown and Darnell Savage),-0.380,0.280
3,1:42,1,10,DET 20,6,42,Jared Goff pass incomplete deep left intended for Tim Patrick,0.280,-0.270
3,1:37,2,10,DET 20,6,42,Jahmyr Gibbs left tackle for 7 yards (tackle by Devin Lloyd),-0.270,-0.030
3,0:57,3,3,DET 27,6,42,Jared Goff pass complete short middle to Amon-Ra St. Brown for 23 yards (tackle by Tyson Campbell),-0.030,2.260
3,0:15,1,10,DET 50,6,42,Jameson Williams right end for 2 yards (tackle by Darnell Savage),2.260,1.980
4,15:00,2,8,JAX 48,6,42,Jahmyr Gibbs right tackle for 4 yards (tackle by Jarrian Jones),1.980,1.820
4,14:28,3,4,JAX 44,6,42,Jared Goff pass complete deep right to Amon-Ra St. Brown for 22 yards (tackle by Montaric Brown),1.820,4.110
4,14:10,1,10,JAX 22,6,42,Jared Goff pass complete short middle to Tim Patrick for 13 yards (tackle by Jarrian Jones and Foyesade Oluokun),4.110,5.140
4,13:27,1,9,JAX 9,6,48,Jared Goff pass complete short right to Amon-Ra St. Brown for 9 yards touchdown,5.140,7.000
4,13:23,,,JAX 15,6,49,Jake Bates kicks extra point good,0.000,0.000
4,13:23,,,DET 35,6,49,Jake Bates kicks off 65 yards touchback.,0.000,0.940
4,13:23,1,10,JAX 30,6,49,Travis Etienne up the middle for -1 yards (tackle by Jack Campbell),0.940,0.260
4,12:46,2,11,JAX 29,6,49,Mac Jones pass complete short right to Brian Thomas for 12 yards (tackle by Kindle Vildor),0.260,1.660
4,12:04,1,10,JAX 41,6,49,Travis Etienne left tackle for 2 yards (tackle by Brian Branch),1.660,1.390
4,11:22,2,8,JAX 43,6,49,Mac Jones pass complete short middle to Brian Thomas for 23 yards (tackle by Terrion Arnold and Kerby Joseph),1.390,3.310
4,10:45,1,10,DET 34,6,49,D'Ernest Johnson up the middle for 3 yards (tackle by Jack Campbell and D.J. Reader),3.310,3.180
4,10:07,2,7,DET 31,6,49,Mac Jones pass incomplete deep left intended for Devin Duvernay,3.180,2.480
4,10:02,3,7,DET 31,6,49,Mac Jones pass incomplete deep right intended for Parker Washington,2.480,1.320
4,9:57,4,7,DET 31,6,49,Mac Jones sacked by and Za'Darius Smith for -9 yards and Jack Campbell for -9 yards,1.320,-1.660
4,9:53,1,10,DET 41,6,49,Craig Reynolds left tackle for 19 yards (tackle by Antonio Johnson and Tyson Campbell),1.660,2.920
4,9:14,1,10,JAX 40,6,49,Hendon Hooker scrambles right end for 2 yards (tackle by Arik Armstead),2.920,2.640
4,8:35,2,8,JAX 38,6,49,Craig Reynolds up the middle for 2 yards (tackle by Jeremiah Ledbetter and Myles Cole),2.640,2.210
4,7:57,3,6,JAX 36,6,49,Hendon Hooker pass incomplete short right intended for Allen Robinson,2.210,0.880
4,7:53,4,6,JAX 36,6,52,Jake Bates 54 yard field goal good,0.880,3.000
4,7:49,,,DET 35,6,52,Jake Bates kicks off 65 yards touchback.,0.000,0.940
4,7:49,1,10,JAX 30,6,52,Travis Etienne left tackle for 3 yards (tackle by Jack Campbell),0.940,0.800
4,7:09,2,7,JAX 33,6,52,Mac Jones pass incomplete deep left intended for Evan Engram,0.800,0.100
4,7:03,3,7,JAX 33,6,52,Mac Jones pass complete deep left to Brian Thomas for 33 yards (tackle by Brandon Joseph) DET challenged the pass completion ruling and the original play was overturned. Mac Jones pass incomplete deep left intended for Brian Thomas (defended by Brandon Joseph),0.100,-1.180
4,6:58,4,7,JAX 33,6,52,Penalty on Josiah Deguara: False Start 5 yards (accepted) (no play),-1.180,-1.500
4,6:58,4,12,JAX 28,6,52,Logan Cooke punts 61 yards returned by Kalif Raymond for 15 yards (tackle by Chad Muma),-1.500,-0.670
4,6:45,1,10,DET 26,6,52,Sione Vaki up the middle for 7 yards (tackle by Jordan Jefferson),0.670,1.070
4,6:04,2,3,DET 33,6,52,Sione Vaki left tackle for -1 yards (tackle by Tyler Lacy),1.070,0.230
4,5:24,3,4,DET 32,6,52,Hendon Hooker pass complete short left to Allen Robinson for 7 yards (tackle by Tyson Campbell). Penalty on Ventrell Miller: Unnecessary Roughness / Defense 15 yards (accepted),0.230,2.520
4,4:58,1,10,JAX 46,6,52,Sione Vaki left end for 4 yards (tackle by Arik Armstead and Devin Lloyd),2.520,2.520
4,4:20,2,6,JAX 42,6,52,Sione Vaki left end for no gain (tackle by Montaric Brown). Penalty on Michael Niese: Offensive Holding 10 yards (accepted) (no play),2.520,1.170
4,4:15,2,16,DET 48,6,52,Hendon Hooker pass complete deep middle to Kalif Raymond for 21 yards (tackle by Montaric Brown and Antonio Johnson),1.170,3.510
4,3:34,1,10,JAX 31,6,52,Sione Vaki right end for -2 yards (tackle by Jeremiah Ledbetter and Chad Muma),3.510,2.700
4,2:53,2,12,JAX 33,6,52,Hendon Hooker pass complete short right to Kalif Raymond for 9 yards (tackle by Ventrell Miller and Chad Muma),2.700,3.200
4,2:10,3,3,JAX 24,6,52,Sione Vaki right tackle for 1 yard (tackle by Travon Walker and Jordan Jefferson),3.200,2.050
4,2:00,4,2,JAX 23,6,52,Hendon Hooker up the middle for 3 yards (tackle by Tyler Lacy),2.050,4.240
4,1:17,1,10,JAX 20,6,52,Hendon Hooker kneels for -1 yards,4.240,3.560
4,0:37,2,11,JAX 21,6,52,Hendon Hooker kneels for -1 yards,3.560,2.740
