Quarter,Time,Down,ToGo,Location,MIN,TEN,Detail,EPB,EPA
4,10:38,1,10,TEN 41,23,13,Will Levis pass complete short left to Tony Pollard for 10 yards (tackle by Josh Metellus),1.660,2.320
4,10:04,1,10,MIN 49,23,13,Tony Pollard left end for 4 yards (tackle by Harrison Smith),2.320,2.320
4,9:18,2,6,MIN 45,23,13,Will Levis pass incomplete deep middle intended for Nick Westbrook-Ikhine,2.320,1.620
4,9:14,3,6,MIN 45,23,13,Tony Pollard up the middle for 2 yards (tackle by Jihad Ward and Jonathan Greenard),1.620,0.400
4,8:37,4,4,MIN 43,23,13,Will Levis sacked by Patrick Jones for -6 yards,0.400,-2.190
4,8:32,1,10,MIN 49,23,13,Cam Akers up the middle for 4 yards (tackle by Jeffery Simmons),2.190,2.190
4,7:52,2,6,TEN 47,23,13,Sam Darnold pass complete short left to Johnny Mundt for 13 yards (tackle by Jerome Baker),2.190,3.310
4,7:07,1,10,TEN 34,23,13,Cam Akers up the middle for 4 yards (tackle by Kenneth Murray),3.310,3.310
4,6:23,2,6,TEN 30,23,13,Cam Akers left tackle for -3 yards (tackle by Arden Key),3.310,2.210
4,5:40,3,9,TEN 33,23,13,Sam Darnold sacked by Arden Key for -9 yards,2.210,0.460
4,5:16,4,18,TEN 42,23,13,Ryan Wright punts 29 yards returned by Jha'Quan Jackson for 6 yards (tackle by Bo Richter),0.460,-0.150
4,5:09,1,10,TEN 19,23,13,Will Levis pass incomplete short right,0.150,-0.390
4,5:05,2,10,TEN 19,23,13,Will Levis pass complete short right to Tyler Boyd for 30 yards (tackle by Byron Murphy and Ivan Pace),-0.390,2.190
4,4:14,1,10,TEN 49,23,13,Will Levis pass incomplete short right intended for Tony Pollard,2.190,1.650
4,4:09,2,10,TEN 49,23,13,Will Levis pass complete short right to Nick Westbrook-Ikhine for no gain (tackle by Camryn Bynum). Penalty on Isaiah Prince: Illegal Formation 5 yards (accepted) (no play),1.650,0.970
4,3:59,2,15,TEN 44,23,13,Will Levis pass complete short right to Tony Pollard for 4 yards (tackle by Stephon Gilmore),0.970,0.830
4,3:13,3,11,TEN 48,23,13,Will Levis pass complete short middle to Tyler Boyd for 4 yards (tackle by Blake Cashman),0.830,0.070
4,2:30,4,7,MIN 48,23,13,Will Levis pass incomplete short left intended for Tyler Boyd,0.070,-2.130
4,2:23,1,10,MIN 48,23,13,Cam Akers left tackle for 3 yards (tackle by Jerome Baker and Harold Landry),2.130,1.990
4,2:17,,,,,,Timeout #1 by Tennessee Titans,,
4,2:17,2,7,TEN 49,23,13,Cam Akers left guard for 3 yards (tackle by Arden Key),1.990,1.680
4,2:05,,,,,,Timeout #2 by Tennessee Titans,,
4,2:05,3,4,TEN 46,23,13,Sam Darnold pass incomplete short left. Penalty on Sam Darnold: Intentional Grounding 10 yards (accepted),1.680,-0.460
4,2:05,4,14,MIN 44,23,13,Ryan Wright punts 40 yards out of bounds,-0.460,0.140
4,1:57,1,10,TEN 16,23,13,Will Levis pass deep right intended for Calvin Ridley is intercepted by Harrison Smith at MIN-34 and returned for no gain (tackle by Calvin Ridley),-0.140,-1.200
4,1:50,1,10,MIN 34,23,13,Aaron Jones up the middle for 3 yards (tackle by Amani Hooker),1.200,1.060
4,1:05,2,7,MIN 37,23,13,Aaron Jones up the middle for 4 yards (tackle by Ali Gaye),1.060,0.890
4,0:20,,,,,,Timeout #1 by Minnesota Vikings,,
4,0:20,3,3,MIN 41,23,13,Aaron Jones up the middle for -1 yards (tackle by Ali Gaye),0.890,-0.720
