Quarter,Time,Down,ToGo,Location,IND,NYJ,Detail,EPB,EPA
4,12:56,2,10,IND 30,16,24,Anthony Richardson pass complete short middle to Michael Pittman for 20 yards (tackle by Jalen Mills),0.390,2.260
4,12:35,1,10,IND 50,16,24,Anthony Richardson pass incomplete short middle intended for Mo Alie-Cox,2.260,1.710
4,12:29,2,10,IND 50,16,24,Anthony Richardson pass complete short left to Michael Pittman for 8 yards (tackle by D.J. Reed),1.710,2.080
4,11:56,3,2,NYJ 42,16,24,Anthony Richardson pass complete short right to Mo Alie-Cox for 12 yards (tackle by Chuck Clark),2.080,3.580
4,11:27,1,10,NYJ 30,16,24,Anthony Richardson pass complete deep left to Alec Pierce for 19 yards (tackle by Sauce Gardner),3.580,4.840
4,11:01,1,10,NYJ 11,16,24,Jonathan Taylor up the middle for 1 yard (tackle by Quinnen Williams),4.840,4.320
4,10:16,2,9,NYJ 10,22,24,Anthony Richardson pass complete short middle to Josh Downs for 10 yards touchdown,4.320,7.000
4,10:11,,,NYJ 2,22,24,Two Point Attempt: Anthony Richardson pass incomplete intended for intended for Mo Alie-Cox,1.000,-1.000
4,10:11,,,IND 35,22,24,Matt Gay kicks off 65 yards touchback.,0.000,0.940
4,10:11,1,10,NYJ 30,22,24,Breece Hall right tackle for 1 yard (tackle by Kwity Paye),0.940,0.530
4,9:34,2,9,NYJ 31,22,24,Aaron Rodgers pass complete short left to Breece Hall for -5 yards (tackle by Laiatu Latu),0.530,-0.820
4,8:53,3,14,NYJ 26,22,24,Aaron Rodgers pass complete deep right to Xavier Gipson for 17 yards,-0.820,1.800
4,8:10,1,10,NYJ 43,22,24,Aaron Rodgers pass complete short left to Garrett Wilson for 4 yards (tackle by DeForest Buckner),1.800,1.790
4,7:36,2,6,NYJ 47,22,24,Braelon Allen left end for 2 yards (tackle by Jaylon Jones). Penalty on Olumuyiwa Fashanu: Offensive Holding 10 yards (accepted),1.790,0.710
4,7:07,2,14,NYJ 39,22,24,Aaron Rodgers pass complete short right to Malachi Corley for 10 yards (tackle by Kenny Moore),0.710,1.350
4,6:26,3,4,NYJ 49,22,24,Aaron Rodgers pass complete short middle to Jeremy Ruckert for 6 yards (tackle by Kenny Moore),1.350,2.590
4,5:47,1,10,IND 45,22,24,Breece Hall right guard for 1 yard (tackle by Kenny Moore and Grant Stuard),2.590,2.180
4,4:53,,,,,,Timeout #1 by New York Jets,,
4,4:53,2,9,IND 44,22,24,Aaron Rodgers pass complete short left to Davante Adams for 19 yards (tackle by Julian Blackmon),2.180,3.910
4,4:12,1,10,IND 25,22,24,Breece Hall up the middle for no gain (tackle by Raekwon Davis and Dayo Odeyingbo),3.910,3.360
4,3:34,2,10,IND 25,22,24,Aaron Rodgers pass incomplete short right intended for Davante Adams,3.360,2.680
4,3:30,3,10,IND 25,22,24,Aaron Rodgers pass complete short middle to Breece Hall for 8 yards (tackle by Dayo Odeyingbo and Zaire Franklin),2.680,2.440
4,2:44,,,,,,Timeout #2 by New York Jets,,
4,2:44,4,2,IND 17,22,27,Anders Carlson 35 yard field goal good,2.440,3.000
4,2:41,,,NYJ 35,22,27,Anders Carlson kicks off 65 yards touchback.,0.000,0.940
