Quarter,Time,Down,ToGo,Location,WAS,PHI,Detail,EPB,EPA
4,3:19,2,5,PHI 38,10,26,Jeremy McNichols left guard for 6 yards (tackle by Nakobe Dean),2.850,3.450
4,2:59,1,10,PHI 32,10,26,Jayden Daniels pass complete short right to Zach Ertz for 9 yards (tackle by Darius Slay),3.450,4.120
4,2:53,2,1,PHI 23,10,26,Jeremy McNichols up the middle for -4 yards (tackle by Bryce Huff and Jalen Carter),4.120,2.810
4,2:23,3,6,PHI 27,10,26,Jeremy McNichols left guard for 3 yards (tackle by Zack Baun and Nakobe Dean),2.810,1.970
4,2:00,4,3,PHI 24,10,26,Jayden Daniels pass complete short middle to Zach Ertz for 4 yards (tackle by Reed Blankenship),1.970,4.240
4,1:42,1,10,PHI 20,10,26,Jayden Daniels pass complete short right to Noah Brown for 4 yards (tackle by Cooper DeJean and Zack Baun),4.240,4.280
4,1:19,2,6,PHI 16,10,26,Jayden Daniels pass complete short right to Jeremy McNichols for 1 yard (tackle by Nakobe Dean),4.280,3.700
4,0:58,3,5,PHI 15,10,26,Jayden Daniels pass complete short middle to Olamide Zaccheaus for 10 yards (tackle by Reed Blankenship),3.700,6.060
4,0:36,1,5,PHI 5,10,26,Jayden Daniels pass incomplete short right intended for Zach Ertz (defended by C.J. Gardner-Johnson),6.060,5.150
4,0:31,2,5,PHI 5,16,26,Jayden Daniels pass complete short right to Zach Ertz for 5 yards touchdown,5.150,7.000
4,0:28,,,,,,Timeout #1 by Philadelphia Eagles,,
4,0:28,,,PHI 2,18,26,Two Point Attempt: Jayden Daniels pass incomplete intended for intended for Zach Ertz Replay Assistant challenged the pass completion ruling and the original play was overturned. Two Point Attempt: Jayden Daniels pass complete to to Zach Ertz for no gain,1.000,1.000
4,0:28,,,,,,Timeout #2 by Philadelphia Eagles,,
4,0:28,,,WAS 35,18,26,Zane Gonzalez kicks onside 12 yards returned by Dallas Goedert for no gain,0.000,2.460
4,0:27,1,10,WAS 47,18,26,Jalen Hurts kneels for -1 yards,2.460,1.780
