Quarter,Time,Down,ToGo,Location,HOU,DAL,Detail,EPB,EPA
3,1:31,2,5,HOU 13,20,10,Joe Mixon left guard for no gain (tackle by Eric Kendricks and Mazi Smith),-0.410,-0.840
3,0:49,3,5,HOU 13,20,10,C.J. Stroud pass complete short right to Tank Dell for 12 yards (tackle by Trevon Diggs),-0.840,0.610
3,0:26,1,10,HOU 25,20,10,C.J. Stroud pass complete short right to Dalton Schultz for 7 yards (tackle by Juanyeh Thomas),0.610,1.010
4,15:00,2,3,HOU 32,20,10,Joe Mixon up the middle for 2 yards (tackle by Israel Mukuamu),1.010,0.560
4,14:43,3,1,HOU 34,20,10,C.J. Stroud pass incomplete short right intended for Tank Dell (defended by Josh Butler),0.560,-1.110
4,14:39,4,1,HOU 34,20,10,Tommy Townsend punts 59 yards downed by Henry To'oTo'o,-1.110,0.380
4,14:26,1,10,DAL 7,20,10,Cooper Rush pass complete deep left to CeeDee Lamb for 29 yards (tackle by Ka'dar Hollman),-0.380,1.330
4,13:44,1,10,DAL 36,20,10,Cooper Rush pass complete short left to Princeton Fant for no gain (tackle by Devin White). Penalty on CeeDee Lamb: Illegal Shift 5 yards (accepted) (no play),1.330,1.000
4,13:22,1,15,DAL 31,20,10,Rico Dowdle left tackle for 9 yards (tackle by Devin White and Kurt Hinish),1.000,1.330
4,12:44,2,6,DAL 40,26,10,Cooper Rush sacked by Derek Barnett for -7 yards. Cooper Rush fumbles (forced by Derek Barnett) recovered by Tyler Guyton at DAL-33 and returned for -5 yards. Tyler Guyton fumbles (tackle by Dylan Horton recovered by Derek Barnett at DAL-28 and returned for 28 yards touchdown,1.330,-7.000
4,12:31,,,DAL 15,27,10,Ka'imi Fairbairn kicks extra point good,0.000,0.000
4,12:31,,,HOU 35,27,10,Ka'imi Fairbairn kicks off 65 yards touchback.,0.000,0.940
4,12:31,1,10,DAL 30,27,10,Cooper Rush pass complete short right to Luke Schoonmaker for 4 yards (tackle by Azeez Al-Shaair and Jalen Pitre). Penalty on Jalen Pitre: Unnecessary Roughness / Defense 15 yards (accepted),0.940,2.190
4,12:18,1,10,DAL 49,27,10,Cooper Rush pass incomplete short middle intended for Luke Schoonmaker (defended by Danielle Hunter),2.190,1.650
4,12:05,2,10,DAL 49,27,10,Cooper Rush pass incomplete deep left intended for Luke Schoonmaker (defended by Eric Murray),1.650,0.960
4,12:00,3,10,DAL 49,27,10,Cooper Rush pass incomplete short middle intended for CeeDee Lamb,0.960,-0.130
4,11:56,4,10,DAL 49,27,10,Cooper Rush pass complete deep middle to Ryan Flournoy for no gain (tackle by Jalen Pitre). Penalty on Asim Richards: Offensive Holding 10 yards (accepted) (no play),-0.130,-0.780
4,11:34,4,20,DAL 39,27,10,Bryan Anger punts 42 yards fair catch by Robert Woods at HOU-19,-0.780,-0.150
4,11:26,1,10,HOU 19,27,10,C.J. Stroud scrambles left end for 20 yards (tackle by Malik Hooker),0.150,1.530
4,10:39,1,10,HOU 39,27,10,C.J. Stroud pass complete deep middle to Nico Collins for no gain (tackle by Trevon Diggs) DAL challenged the pass completion ruling and the original play was overturned. C.J. Stroud pass incomplete deep middle intended for Nico Collins,1.530,0.990
4,10:37,2,10,HOU 39,27,10,C.J. Stroud pass complete short left to Dalton Schultz for 4 yards (tackle by DeMarvion Overshown),0.990,0.830
4,9:56,3,6,HOU 43,27,10,C.J. Stroud pass incomplete short middle intended for Dalton Schultz (defended by Juanyeh Thomas),0.830,-0.520
4,9:51,4,6,HOU 43,27,10,Tommy Townsend punts 48 yards fair catch by KaVontae Turpin at DAL-9,-0.520,0.380
4,9:45,1,10,DAL 9,27,10,Cooper Rush pass complete short right to Jalen Tolbert for 6 yards (tackle by Ka'dar Hollman),-0.380,-0.280
