Quarter,Time,Down,ToGo,Location,KAN,CAR,Detail,EPB,EPA
4,10:01,1,10,KAN 50,27,19,Kareem Hunt left tackle for 2 yards (tackle by Josey Jewell),2.260,1.980
4,9:24,2,8,CAR 48,27,19,Patrick Mahomes pass complete short right to Xavier Worthy for 12 yards (tackle by Michael Jackson),1.980,3.180
4,8:51,1,10,CAR 36,27,19,Patrick Mahomes pass incomplete short right intended for Carson Steele,3.180,2.640
4,8:44,2,10,CAR 36,27,19,Patrick Mahomes pass complete short right to Kareem Hunt for no gain (tackle by Trevin Wallace). Penalty on Jawaan Taylor: Offensive Holding 10 yards (accepted) (no play),2.640,1.290
4,8:16,2,20,CAR 46,27,19,Patrick Mahomes pass complete short right to Samaje Perine for -2 yards (tackle by Jadeveon Clowney and DeShawn Williams). Penalty on Jawaan Taylor: Illegal Use of Hands / Offense 5 yards (declined),1.290,0.370
4,7:53,3,22,CAR 48,27,19,Patrick Mahomes sacked by Jaycee Horn for -12 yards,0.370,-0.720
4,7:01,4,34,KAN 40,27,19,Matt Araiza punts 46 yards fair catch by Raheem Blackshear at CAR-14,-0.720,0.280
4,6:54,1,10,CAR 14,27,19,Bryce Young scrambles left guard for 11 yards (tackle by Nazeeh Johnson),-0.280,0.610
4,6:15,1,10,CAR 25,27,19,Jonathon Brooks right tackle for 4 yards (tackle by Nick Bolton and Mike Pennel),0.610,0.600
4,5:32,2,6,CAR 29,27,19,Bryce Young pass complete short left to Deven Thompkins for -1 yards (tackle by Chamarri Conner and Drue Tranquill),0.600,-0.230
4,4:46,3,7,CAR 28,27,19,Bryce Young pass incomplete short right,-0.230,-1.500
4,4:37,4,7,CAR 28,27,19,Penalty on Johnny Hekker: Delay of Game 5 yards (accepted) (no play),-1.500,-1.830
4,4:37,4,12,CAR 23,27,19,Johnny Hekker punts 48 yards returned by Mecole Hardman for -4 yards (tackle by Sam Franklin and Claudin Cherelus),-1.830,-0.610
4,4:26,1,10,KAN 25,27,19,Kareem Hunt right tackle for 4 yards (tackle by A'Shawn Robinson),0.610,0.600
4,3:42,2,6,KAN 29,27,19,Patrick Mahomes sacked by Josey Jewell for -6 yards,0.600,-0.890
4,3:37,,,,,,Timeout #1 by Carolina Panthers,,
4,3:37,3,12,KAN 23,27,19,Patrick Mahomes sacked by and DeShawn Williams for -7 yards and Jadeveon Clowney for -7 yards,-0.890,-2.390
4,3:31,,,,,,Timeout #2 by Carolina Panthers,,
4,3:31,4,19,KAN 16,27,19,Matt Araiza punts 48 yards returned by Raheem Blackshear for 10 yards (tackle by Jaden Hicks). Penalty on Joshua Williams: Player Out of Bounds on a Punt 5 yards (accepted),-2.390,-2.320
4,3:21,1,10,KAN 49,27,19,Chuba Hubbard up the middle for 2 yards (tackle by Tershawn Wharton),2.320,2.050
4,2:53,2,8,KAN 47,27,19,Bryce Young pass incomplete deep left intended for Xavier Legette,2.050,1.360
4,2:46,3,8,KAN 47,27,19,Bryce Young pass complete short right to Xavier Legette for 5 yards (tackle by George Karlaftis and Jaden Hicks),1.360,0.460
4,2:01,4,3,KAN 42,27,19,Bryce Young pass complete short left to Adam Thielen for 13 yards (tackle by Chamarri Conner),0.460,3.640
4,1:55,1,10,KAN 29,27,19,Bryce Young pass incomplete deep right intended for Adam Thielen. Penalty on Chamarri Conner: Defensive Pass Interference 28 yards (accepted) (no play),3.640,6.970
4,1:49,1,1,KAN 1,27,25,Chuba Hubbard right tackle for 1 yard touchdown,6.970,7.000
4,1:46,,,KAN 2,27,25,Two Point Attempt: Bryce Young pass incomplete intended for intended for David Moore. Penalty on Trent McDuffie: Defensive Pass Interference 1 yard (accepted) (no play),1.000,1.000
4,1:46,1,1,KAN 1,27,27,Two Point Attempt: Chuba Hubbard rushes conversion succeeds.,1.000,1.000
4,1:46,,,CAR 35,27,27,Eddy Piñeiro kicks off 65 yards touchback.,0.000,0.940
4,1:46,1,10,KAN 30,27,27,Patrick Mahomes pass complete short middle to Travis Kelce for 8 yards (tackle by Dane Jackson),0.940,1.470
4,1:19,2,2,KAN 38,27,27,Patrick Mahomes pass incomplete deep right intended for Xavier Worthy (defended by Michael Jackson),1.470,0.760
4,1:13,3,2,KAN 38,27,27,Patrick Mahomes pass complete short right to DeAndre Hopkins for 7 yards (tackle by Josey Jewell),0.760,1.930
4,0:48,1,10,KAN 45,27,27,Patrick Mahomes scrambles left end for 33 yards. Patrick Mahomes fumbles ball out of bounds at CAR-22 (forced by Jordan Fuller). Patrick Mahomes fumbles out of bounds,1.930,4.110
4,0:39,1,10,CAR 22,27,27,Kareem Hunt up the middle for -1 yards (tackle by A'Shawn Robinson),4.110,3.430
4,0:29,,,,,,Timeout #1 by Kansas City Chiefs,,
4,0:29,2,11,CAR 23,27,27,Patrick Mahomes pass complete short right to Kareem Hunt for 10 yards (tackle by Xavier Woods),3.430,4.390
4,0:02,,,,,,Timeout #2 by Kansas City Chiefs,,
4,0:02,3,1,CAR 13,30,27,Spencer Shrader 31 yard field goal good,4.390,3.000
