Quarter,Time,Down,ToGo,Location,DEN,LVR,Detail,EPB,EPA
4,15:00,2,7,LVR 31,16,13,Bo Nix pass complete short left to Javonte Williams for 5 yards (tackle by Tre'von Moehrig),3.180,3.140
4,14:11,,,,,,Timeout #1 by Denver Broncos,,
4,14:11,3,2,LVR 26,16,13,Bo Nix pass complete short right to Devaughn Vele for 5 yards,3.140,4.170
4,13:35,1,10,LVR 21,16,13,Javonte Williams left tackle for -2 yards (tackle by Maxx Crosby),4.170,3.360
4,12:59,2,12,LVR 23,16,13,Bo Nix pass complete short right to Marvin Mims for -3 yards (tackle by Maxx Crosby),3.360,2.280
4,12:15,3,15,LVR 26,16,13,Bo Nix pass incomplete short left intended for Jaleel McLaughlin (defended by Tre'von Moehrig),2.280,1.740
4,12:10,4,15,LVR 26,19,13,Wil Lutz 45 yard field goal good,1.740,3.000
4,12:05,,,DEN 35,19,13,Wil Lutz kicks off 65 yards touchback.,0.000,0.940
4,12:05,1,10,LVR 30,19,13,Gardner Minshew pass complete short left to Tre Tucker for 10 yards (tackle by Ja'Quan McMillian),0.940,1.600
4,11:27,1,10,LVR 40,19,13,Ameer Abdullah up the middle for 3 yards (tackle by Cody Barton),1.600,1.460
4,10:47,2,7,LVR 43,19,13,Gardner Minshew pass incomplete short right,1.460,0.760
4,10:41,3,7,LVR 43,19,13,Gardner Minshew pass incomplete deep right intended for Jakobi Meyers. Penalty on Ja'Quan McMillian: Defensive Pass Interference 22 yards (accepted) (no play),0.760,3.250
4,10:34,1,10,DEN 35,19,13,Gardner Minshew sacked by and Eyioma Uwazurike for -3 yards and D.J. Jones for -3 yards,3.250,2.300
4,9:51,2,13,DEN 38,19,13,Gardner Minshew pass incomplete short right intended for Ameer Abdullah. Penalty on Jakobi Meyers: Offensive Pass Interference 10 yards (accepted) (no play),2.300,0.950
4,9:51,2,23,DEN 48,19,13,Gardner Minshew pass incomplete short left intended for Brock Bowers,0.950,0.300
4,9:46,3,23,DEN 48,19,13,Gardner Minshew pass complete short middle to Brock Bowers for 13 yards (tackle by Brandon Jones),0.300,0.970
4,9:04,4,10,DEN 35,19,16,Daniel Carlson 53 yard field goal good,0.970,3.000
4,8:59,,,LVR 35,19,16,Daniel Carlson kicks off 65 yards touchback.,0.000,0.940
4,8:59,1,10,DEN 30,19,16,Jaleel McLaughlin left end for 8 yards (tackle by Decamerion Richardson and Thomas Harper),0.940,1.470
4,8:30,2,2,DEN 38,19,16,Jaleel McLaughlin left guard for 7 yards (tackle by John Jenkins and Robert Spillane),1.470,1.930
4,7:44,,,,,,Timeout #2 by Denver Broncos,,
4,7:44,1,10,DEN 45,19,16,Bo Nix pass complete short right to Devaughn Vele for 11 yards (tackle by Jack Jones),1.930,2.650
4,7:04,1,10,LVR 44,19,16,Bo Nix pass complete short left to Troy Franklin for 5 yards (tackle by Darnay Holmes and Decamerion Richardson),2.650,2.780
4,6:24,2,5,LVR 39,19,16,Bo Nix pass incomplete short left intended for Devaughn Vele,2.780,2.080
4,6:19,3,5,LVR 39,19,16,Bo Nix pass complete short left to Marvin Mims for 37 yards (tackle by Isaiah Pola-Mao),2.080,6.740
4,5:34,,,,,,Timeout #3 by Denver Broncos,,
4,5:34,1,2,LVR 2,25,16,Bo Nix pass complete short middle to Courtland Sutton for 2 yards touchdown,6.740,7.000
4,5:30,,,LVR 15,26,16,Wil Lutz kicks extra point good,0.000,0.000
4,5:30,,,DEN 35,26,16,Wil Lutz kicks off 65 yards touchback.,0.000,0.940
4,5:30,1,10,LVR 30,26,16,Gardner Minshew pass complete short right to Jakobi Meyers for 6 yards (tackle by Ja'Quan McMillian),0.940,1.200
4,5:09,2,4,LVR 36,26,16,Gardner Minshew pass complete short right to Jakobi Meyers for 7 yards (tackle by Patrick Surtain),1.200,1.800
4,4:51,1,10,LVR 43,26,16,Gardner Minshew pass complete short right to Brock Bowers for 9 yards,1.800,2.470
4,4:45,2,1,DEN 48,26,16,Gardner Minshew pass complete short left to DJ Turner for 4 yards (tackle by Patrick Surtain),2.470,2.650
4,4:31,1,10,DEN 44,26,16,Gardner Minshew pass incomplete short left intended for Jakobi Meyers (defended by D.J. Jones),2.650,2.110
4,4:25,2,10,DEN 44,26,16,Gardner Minshew pass complete deep middle to Jakobi Meyers for 25 yards (tackle by Levi Wallace). Penalty on Justin Strnad: Illegal Use of Hands / Defense 5 yards (declined),2.110,4.310
4,4:17,1,10,DEN 19,26,16,Gardner Minshew pass complete short middle to Jakobi Meyers for 15 yards (tackle by Ja'Quan McMillian),4.310,6.280
4,3:54,1,4,DEN 4,26,16,Gardner Minshew pass incomplete short right,6.280,5.340
4,3:48,2,4,DEN 4,26,16,Gardner Minshew pass incomplete short right intended for Brock Bowers (defended by Patrick Surtain),5.340,4.490
4,3:45,3,4,DEN 4,26,16,Gardner Minshew pass incomplete short middle intended for Brock Bowers (defended by Justin Strnad),4.490,3.030
4,3:41,4,4,DEN 4,26,19,Daniel Carlson 22 yard field goal good,3.030,3.000
4,3:38,,,LVR 35,26,19,Daniel Carlson kicks off 65 yards touchback.,0.000,0.940
4,3:38,1,10,DEN 30,26,19,Bo Nix pass incomplete deep left intended for Devaughn Vele (defended by Decamerion Richardson),0.940,0.390
4,3:33,2,10,DEN 30,26,19,Bo Nix pass incomplete short right intended for Courtland Sutton,0.390,-0.300
4,3:28,3,10,DEN 30,26,19,Bo Nix pass incomplete short right intended for Courtland Sutton (defended by Isaiah Pola-Mao),-0.300,-1.370
4,3:23,4,10,DEN 30,26,19,Riley Dixon punts 54 yards returned by DJ Turner for 8 yards (tackle by Tremon Smith and Jonah Elliss),-1.370,-0.540
4,3:12,1,10,LVR 24,26,19,Gardner Minshew sacked by and Cody Barton for -5 yards and Jonathon Cooper for -5 yards,0.540,-0.740
4,2:50,2,15,LVR 19,26,19,Desmond Ridder scrambles left tackle for 3 yards (tackle by Ja'Quan McMillian),-0.740,-0.960
4,2:29,3,12,LVR 22,26,19,Desmond Ridder sacked by Nik Bonitto for -8 yards. Desmond Ridder fumbles (forced by Nik Bonitto) recovered by Malcolm Roach at LV-17,-0.960,-4.440
4,2:21,1,10,LVR 17,26,19,Javonte Williams up the middle for -2 yards (tackle by Adam Butler and Tyree Wilson),4.440,3.600
4,2:16,,,,,,Timeout #1 by Las Vegas Raiders,,
4,2:16,2,12,LVR 19,26,19,Bo Nix pass incomplete short right,3.600,2.910
4,2:10,3,12,LVR 19,26,19,Audric Estime right guard for 4 yards (tackle by Adam Butler),2.910,2.440
4,2:00,4,8,LVR 15,29,19,Wil Lutz 33 yard field goal good,2.440,3.000
4,1:56,,,DEN 35,29,19,Wil Lutz kicks off 65 yards touchback.,0.000,0.940
4,1:56,1,10,LVR 30,29,19,Penalty on Nik Bonitto: Neutral Zone Infraction 5 yards (accepted) (no play),0.940,1.670
4,1:56,1,5,LVR 35,29,19,Desmond Ridder pass incomplete short right intended for Ameer Abdullah,1.670,1.070
4,1:52,2,5,LVR 35,29,19,Desmond Ridder pass incomplete deep left,1.070,0.370
4,1:45,3,5,LVR 35,29,19,Desmond Ridder pass complete short left to Tre Tucker for 11 yards (tackle by Brandon Jones),0.370,1.990
4,1:28,1,10,LVR 46,29,19,Desmond Ridder pass complete short left to Tre Tucker for 6 yards (tackle by Patrick Surtain),1.990,2.260
4,1:10,2,4,DEN 48,29,19,Desmond Ridder pass complete short right to Tre Tucker for 28 yards (tackle by Cody Barton),2.260,4.240
4,1:00,1,10,DEN 20,29,19,Desmond Ridder pass incomplete short middle intended for DJ Turner (defended by Cody Barton),4.240,3.690
4,0:56,2,10,DEN 20,29,19,Desmond Ridder pass incomplete short right intended for Jakobi Meyers,3.690,3.010
4,0:49,3,10,DEN 20,29,19,Desmond Ridder pass complete short right to Jakobi Meyers for 9 yards (tackle by Brandon Jones),3.010,2.850
4,0:28,4,1,DEN 11,29,19,Desmond Ridder pass complete short left to Tre Tucker for 10 yards (tackle by P.J. Locke) Replay Assistant challenged the runner broke the plane ruling and the play was upheld.,2.850,6.970
4,0:20,,,,,,Timeout #2 by Las Vegas Raiders,,
4,0:20,1,1,DEN 1,29,19,Desmond Ridder pass incomplete short right intended for Jakobi Meyers,6.970,5.910
4,0:16,2,1,DEN 1,29,19,Desmond Ridder sacked by Jonah Elliss for -8 yards,5.910,3.360
