Quarter,Time,Down,ToGo,Location,DAL,WAS,Detail,EPB,EPA
4,8:11,,,DAL 35,13,9,Brandon Aubrey kicks off 65 yards touchback.,0.000,0.940
4,8:11,1,10,WAS 30,13,9,Jayden Daniels pass complete short middle to John Bates for 13 yards. John Bates fumbles (forced by Donovan Wilson) recovered by Eric Kendricks at WAS-44 (tackle by Donovan Wilson),0.940,-2.650
4,8:03,1,10,WAS 44,13,9,Rico Dowdle left end for 9 yards (tackle by Noah Igbinoghene and Quan Martin),2.650,3.330
4,7:21,2,1,WAS 35,13,9,Cooper Rush pass complete short right to CeeDee Lamb for 9 yards (tackle by Mike Sainristil and Quan Martin),3.330,3.840
4,6:44,1,10,WAS 26,13,9,Rico Dowdle right tackle for 7 yards (tackle by Noah Igbinoghene),3.840,4.270
4,6:04,2,3,WAS 19,13,9,Penalty on Tyler Guyton: False Start 5 yards (accepted) (no play),4.270,3.570
4,6:04,2,8,WAS 24,13,9,Rico Dowdle left tackle for 2 yards (tackle by Frankie Luvu),3.570,3.140
4,5:21,3,6,WAS 22,19,9,Cooper Rush pass complete deep middle to Luke Schoonmaker for 22 yards touchdown,3.140,7.000
4,5:16,,,WAS 15,20,9,Brandon Aubrey kicks extra point good,0.000,0.000
4,5:16,,,DAL 35,20,9,Brandon Aubrey kicks off 64 yards returned by Austin Ekeler for 30 yards (tackle by Hunter Luepke and Buddy Johnson),0.000,1.000
4,5:08,1,10,WAS 31,20,9,Jayden Daniels pass complete short left to Terry McLaurin for no gain (tackle by DaRon Bland and Eric Kendricks),1.000,0.460
4,4:39,2,10,WAS 31,20,9,Jayden Daniels pass complete short right to Noah Brown for 11 yards,0.460,1.730
4,4:35,1,10,WAS 42,20,9,Jayden Daniels pass complete short middle to Noah Brown for 19 yards (tackle by Josh Butler),1.730,2.980
4,4:14,1,10,DAL 39,20,9,Jayden Daniels sacked by Micah Parsons for -6 yards,2.980,1.630
4,3:45,2,16,DAL 45,20,9,Jayden Daniels pass complete deep middle to Dyami Brown for 20 yards (tackle by DaRon Bland). Penalty on Carl Lawson: Defensive Offside 5 yards (declined),1.630,3.910
4,3:39,1,10,DAL 25,20,9,Jayden Daniels pass complete short right to Luke McCaffrey for 8 yards (tackle by Josh Butler),3.910,4.550
4,3:34,2,2,DAL 17,20,9,Jayden Daniels pass complete short middle to Zach Ertz for 7 yards (tackle by Juanyeh Thomas),4.550,4.910
4,3:14,1,10,DAL 10,20,9,Jeremy McNichols left tackle for 6 yards (tackle by DaRon Bland),4.910,5.340
4,3:06,2,4,DAL 4,20,15,Jayden Daniels pass complete short middle to Zach Ertz for 4 yards touchdown,5.340,7.000
4,3:02,,,,,,Timeout #2 by Dallas Cowboys,,
4,3:02,,,DAL 2,20,17,Two Point Attempt: Jayden Daniels rushes conversion succeeds.,1.000,1.000
4,3:02,,,WAS 35,26,17,Austin Seibert kicks off 64 yards recovered by KaVontae Turpin at DAL-1 touchdown,0.000,7.000
4,2:49,,,WAS 15,27,17,Brandon Aubrey kicks extra point good,0.000,0.000
4,2:49,,,DAL 35,27,17,Brandon Aubrey kicks off 65 yards touchback.,0.000,0.940
4,2:49,1,10,WAS 30,27,17,Jayden Daniels pass complete short left to Austin Ekeler for 2 yards. Austin Ekeler fumbles (tackle by DaRon Bland recovered by Terry McLaurin at WAS-31,0.940,0.530
4,2:22,2,9,WAS 31,27,17,Jayden Daniels scrambles right end for 23 yards (tackle by Josh Butler),0.530,2.520
4,2:11,1,10,DAL 46,27,17,Jayden Daniels pass complete short right to Zach Ertz for 5 yards (tackle by Josh Butler),2.520,2.650
4,2:06,2,5,DAL 41,27,17,Jayden Daniels pass complete short left to Dyami Brown for no gain (tackle by DaRon Bland). Penalty on Brandon Coleman: Illegal Formation 5 yards (accepted) (no play),2.650,1.980
4,1:58,2,10,DAL 46,27,17,Jayden Daniels pass complete short middle to Zach Ertz for 13 yards (tackle by Jourdan Lewis),1.980,3.380
