Quarter,Time,Down,ToGo,Location,BAL,LAC,Detail,EPB,EPA
4,11:06,3,6,LAC 34,23,16,Justin Herbert pass incomplete deep right intended for Josh Palmer. Penalty on Tre'Davious White: Defensive Pass Interference 15 yards (offset) . Penalty on Trey Pipkins: Offensive Holding 10 yards (offset) (no play),0.230,0.230
4,10:56,3,6,LAC 34,23,16,Justin Herbert pass incomplete short right intended for Quentin Johnston,0.230,-1.110
4,10:52,4,6,LAC 34,23,16,JK Scott punts 38 yards out of bounds,-1.110,-0.810
4,10:45,1,10,BAL 28,23,16,Lamar Jackson pass complete short right to Mark Andrews for 9 yards (tackle by Derwin James),0.810,1.480
4,10:05,2,1,BAL 37,23,16,Derrick Henry right tackle for no gain (tackle by Joey Bosa and Poona Ford),1.480,0.760
4,9:26,3,1,BAL 37,23,16,Derrick Henry left end for 5 yards (tackle by Tarheeb Still),0.760,1.730
4,8:51,1,10,BAL 42,23,16,Lamar Jackson left tackle for 2 yards (tackle by Troy Dye and Khalil Mack),1.730,1.460
4,8:13,2,8,BAL 44,23,16,Lamar Jackson pass complete short right to Zay Flowers for 5 yards (tackle by Troy Dye),1.460,1.420
4,7:34,3,3,BAL 49,29,16,Justice Hill left end for 51 yards touchdown,1.420,7.000
4,7:24,,,LAC 15,30,16,Justin Tucker kicks extra point good,0.000,0.000
4,7:24,,,BAL 35,30,16,Justin Tucker kicks off 66 yards returned by Derius Davis for 46 yards (tackle by Justin Tucker),0.000,1.930
4,7:16,1,10,LAC 45,30,16,Justin Herbert pass incomplete short right intended for Ladd McConkey. Penalty on Marlon Humphrey: Defensive Pass Interference 15 yards (accepted) (no play),1.930,2.920
4,7:10,1,10,BAL 40,30,16,Justin Herbert pass incomplete deep right intended for Josh Palmer,2.920,2.370
4,7:05,2,10,BAL 40,30,16,Justin Herbert sacked by Kyle Van Noy for -8 yards. Justin Herbert fumbles (forced by Kyle Van Noy) recovered by Justin Herbert at BAL-48. Penalty on Rashawn Slater: Offensive Holding 10 yards (declined),2.370,0.630
4,6:49,3,18,BAL 48,30,16,Justin Herbert pass incomplete deep left intended for Josh Palmer,0.630,0.070
4,6:39,4,18,BAL 48,30,16,JK Scott punts 39 yards downed by Ja'Sir Taylor,0.070,0.380
4,6:31,1,10,BAL 9,30,16,Derrick Henry left end for 5 yards (tackle by Daiyan Henley and Bud Dupree),-0.380,-0.390
4,5:45,2,5,BAL 14,30,16,Derrick Henry left tackle for 4 yards (tackle by Kristian Fulton and Daiyan Henley),-0.390,-0.370
4,5:00,3,1,BAL 18,30,16,Derrick Henry right guard for 6 yards (tackle by Nick Niemann),-0.370,0.540
4,4:14,1,10,BAL 24,30,16,Derrick Henry right guard for 6 yards (tackle by Scott Matlock and Joey Bosa),0.540,0.810
4,3:30,2,4,BAL 30,30,16,Justice Hill left guard for no gain (tackle by Daiyan Henley). Penalty on Tyler Linderbaum: Offensive Holding 10 yards (accepted) (no play),0.810,-0.540
4,3:23,2,14,BAL 20,30,16,Lamar Jackson up the middle for 1 yard (tackle by Nick Niemann),-0.540,-1.090
4,3:18,,,,,,Timeout #1 by Los Angeles Chargers,,
4,3:18,3,13,BAL 21,30,16,Justice Hill right guard for -2 yards (tackle by Joey Bosa),-1.090,-2.140
4,3:14,,,,,,Timeout #2 by Los Angeles Chargers,,
4,3:14,4,15,BAL 19,30,16,Jordan Stout punts 44 yards fair catch by Derius Davis at LAC-37,-2.140,-1.400
4,3:08,1,10,LAC 37,30,16,Justin Herbert sacked by Odafe Oweh for no gain. Penalty on Odafe Oweh: Defensive Offside 5 yards (accepted) (no play),1.400,2.130
4,3:03,1,5,LAC 42,30,16,Justin Herbert pass incomplete short right intended for Quentin Johnston,2.130,1.530
4,2:58,2,5,LAC 42,30,16,Justin Herbert pass incomplete short left intended for Quentin Johnston (defended by Tre'Davious White),1.530,0.830
4,2:53,3,5,LAC 42,30,16,Justin Herbert sacked by Brandon Stephens for -4 yards,0.830,-0.850
4,2:13,4,9,LAC 38,30,16,Justin Herbert pass complete deep right to Ladd McConkey for 18 yards (tackle by Ar'Darius Washington),-0.850,2.650
4,2:00,1,10,BAL 44,30,16,Justin Herbert pass incomplete deep left intended for Josh Palmer (defended by Marlon Humphrey),2.650,2.110
4,1:55,2,10,BAL 44,30,16,Justin Herbert scrambles left end for no gain (tackle by Marlon Humphrey). Penalty on Joe Alt: Offensive Holding 10 yards (accepted) (no play),2.110,0.760
4,1:44,2,20,LAC 46,30,16,Justin Herbert pass complete short left to Will Dissly for 9 yards (tackle by Tre'Davious White),0.760,1.290
4,1:38,,,,,,Timeout #1 by Baltimore Ravens,,
4,1:38,3,11,BAL 45,30,16,Justin Herbert pass complete short right to Ladd McConkey for 5 yards (tackle by Jalyn Armour-Davis),1.290,0.590
4,1:29,,,,,,Timeout #3 by Los Angeles Chargers,,
4,1:29,4,6,BAL 40,30,16,Justin Herbert pass incomplete short right intended for Josh Palmer. Penalty on Marlon Humphrey: Defensive Pass Interference 12 yards (accepted) (no play),0.590,3.710
4,1:25,1,10,BAL 28,30,16,Justin Herbert scrambles left end for 12 yards (tackle by Tre'Davious White and Chris Board),3.710,4.510
4,1:04,1,10,BAL 16,30,16,Justin Herbert pass incomplete deep right intended for Josh Palmer (defended by Jalyn Armour-Davis),4.510,3.900
4,0:58,2,10,BAL 16,30,16,Justin Herbert pass incomplete short left intended for Quentin Johnston,3.900,3.080
4,0:54,3,10,BAL 16,30,16,Justin Herbert pass incomplete deep right intended for Josh Palmer. Penalty on Jalyn Armour-Davis: Defensive Pass Interference 15 yards (accepted) (no play),3.080,6.970
4,0:50,1,1,BAL 1,30,22,Gus Edwards left guard for 1 yard touchdown,6.970,7.000
4,0:46,,,BAL 15,30,22,Penalty on Cameron Dicker: Delay of Game 5 yards (accepted) (no play),0.000,0.000
4,0:46,,,BAL 20,30,23,Cameron Dicker kicks extra point good,0.000,0.000
4,0:46,,,LAC 35,30,23,Cameron Dicker kicks onside 9 yards returned by Isaiah Likely for no gain,0.000,2.650
4,0:45,1,10,LAC 44,30,23,Lamar Jackson kneels for -1 yards,2.650,1.980
4,0:19,2,11,LAC 45,30,23,Lamar Jackson kneels for -1 yards,1.980,1.160
