Quarter,Time,Down,ToGo,Location,PIT,CIN,Detail,EPB,EPA
3,13:17,1,10,CIN 28,27,21,Najee Harris left end for -3 yards (tackle by Germaine Pratt and Sam Hubbard),3.710,2.760
3,12:52,2,13,CIN 31,27,21,Russell Wilson scrambles right end for 5 yards (tackle by Geno Stone),2.760,2.740
3,12:09,,,,,,Timeout #1 by Pittsburgh Steelers,,
3,12:09,3,8,CIN 26,27,21,Russell Wilson pass complete short left to MyCole Pruitt for 3 yards (tackle by Germaine Pratt and Akeem Davis-Gaither),2.740,1.980
3,11:34,4,5,CIN 23,27,21,Chris Boswell 42 yard field goal no good blocked by Joseph Ossai,1.980,-1.070
3,11:28,1,10,CIN 32,27,21,Chase Brown up the middle for 3 yards (tackle by Patrick Queen and Cameron Heyward),1.070,0.930
3,10:46,2,7,CIN 35,27,21,Joe Burrow scrambles up the middle for 1 yard (tackle by Cameron Heyward),0.930,0.370
3,10:02,3,6,CIN 36,27,21,Joe Burrow pass complete short right to Tanner Hudson for 7 yards (tackle by Keeanu Benton),0.370,1.800
3,9:18,1,10,CIN 43,27,21,Chase Brown left end for 2 yards (tackle by Elandon Roberts and Joey Porter),1.800,1.520
3,8:35,2,8,CIN 45,27,21,Joe Burrow sacked by Cameron Heyward for -8 yards,1.520,-0.230
3,7:51,3,16,CIN 37,27,21,Penalty on Orlando Brown: False Start 5 yards (accepted) (no play),-0.230,-0.890
3,7:39,3,21,CIN 32,27,21,Joe Burrow pass complete deep left to Tee Higgins for 31 yards (tackle by Damontae Kazee),-0.890,3.120
3,7:02,1,10,PIT 37,27,21,Chase Brown right guard for 2 yards (tackle by Larry Ogunjobi),3.120,2.840
3,6:14,2,8,PIT 35,27,21,Joe Burrow pass complete deep middle to Mike Gesicki for 20 yards (tackle by DeShon Elliott),2.840,4.580
3,5:30,1,10,PIT 15,27,21,Joe Burrow pass incomplete short left intended for Tee Higgins,4.580,3.950
3,5:27,2,10,PIT 15,27,21,Joe Burrow pass complete short left to Mike Gesicki for 4 yards (tackle by Patrick Queen and DeShon Elliott),3.950,3.780
3,4:44,3,6,PIT 11,27,21,Joe Burrow sacked by T.J. Watt for -9 yards,3.780,2.120
3,3:58,4,15,PIT 20,27,24,Evan McPherson 38 yard field goal good,2.120,3.000
3,3:53,,,CIN 35,27,24,Evan McPherson kicks off 65 yards touchback.,0.000,0.280
3,3:53,1,10,PIT 20,27,24,Najee Harris left end for 3 yards (tackle by Jordan Battle and Akeem Davis-Gaither),0.280,0.140
3,3:19,2,7,PIT 23,27,24,Penalty on McKinnley Jackson: Defensive Too Many Men on Field 5 yards (accepted) (no play),0.140,0.810
3,3:00,2,2,PIT 28,27,24,Najee Harris left end for 20 yards (tackle by Mike Hilton),0.810,2.130
3,2:19,1,10,PIT 48,27,24,Russell Wilson sacked by Joseph Ossai for -1 yards,2.130,1.450
3,1:40,2,11,PIT 47,27,24,Russell Wilson pass complete short left to Ben Skowronek for 23 yards (tackle by Geno Stone),1.450,3.580
3,1:01,1,10,CIN 30,27,24,Najee Harris left guard for 5 yards (tackle by Myles Murphy and Jordan Battle),3.580,3.710
3,0:28,2,5,CIN 25,33,24,Russell Wilson pass complete deep right to Pat Freiermuth for 25 yards touchdown,3.710,7.000
3,0:22,,,CIN 15,34,24,Chris Boswell kicks extra point good,0.000,0.000
3,0:22,,,PIT 35,34,24,Chris Boswell kicks off 59 yards returned by Jermaine Burton for 27 yards (tackle by Miles Killebrew),0.000,1.140
3,0:16,1,10,CIN 33,34,24,Joe Burrow pass complete short right to Tee Higgins for 16 yards (tackle by Minkah Fitzpatrick),1.140,2.190
4,15:00,1,10,CIN 49,34,24,Joe Burrow pass complete short right to Drew Sample for 6 yards (tackle by DeShon Elliott and Patrick Queen),2.190,2.460
4,14:16,2,4,PIT 45,34,24,Joe Burrow pass complete short middle to Tanner Hudson for 10 yards (tackle by Minkah Fitzpatrick),2.460,3.250
4,13:35,1,10,PIT 35,34,24,Penalty on Cody Ford: False Start 5 yards (accepted) (no play),3.250,2.920
4,13:35,1,15,PIT 40,34,24,Joe Burrow pass short left (defended by Cameron Heyward) intended for Tee Higgins is intercepted by Donte Jackson at PIT-36 and returned for 11 yards (tackle by Tee Higgins),2.920,-2.060
4,13:29,1,10,PIT 47,34,24,Russell Wilson pass incomplete short right. Penalty on Zach Frazier: Ineligible Downfield Pass 5 yards (declined),2.060,1.520
4,13:26,2,10,PIT 47,34,24,Jaylen Warren left guard for 4 yards (tackle by Joseph Ossai),1.520,1.360
4,12:56,3,6,CIN 49,34,24,Russell Wilson pass incomplete deep left intended for George Pickens. Penalty on Isaac Seumalo: Offensive Holding 10 yards (declined),1.360,0.000
4,12:50,4,6,CIN 49,34,24,Corliss Waitman punts 38 yards fair catch by Isaiah Williams at CIN-11,0.000,0.370
4,12:43,1,10,CIN 11,34,24,Joe Burrow pass complete short right to Tanner Hudson for 5 yards (tackle by Minkah Fitzpatrick and Payton Wilson),-0.370,-0.300
4,12:03,2,5,CIN 16,34,24,Joe Burrow pass incomplete short right intended for Tee Higgins. Penalty on Joey Porter: Defensive Pass Interference 11 yards (accepted) (no play),-0.300,0.740
4,12:00,1,10,CIN 27,34,24,Chase Brown left end for 2 yards (tackle by Cameron Sutton and Cameron Heyward),0.740,0.470
4,11:18,2,8,CIN 29,34,24,Joe Burrow pass incomplete short right intended for Andrei Iosivas (defended by Cameron Sutton). Penalty on Amarius Mims: Illegal Formation 5 yards (declined),0.470,-0.230
4,11:14,3,8,CIN 29,40,24,Joe Burrow sacked by Nick Herbig for -8 yards. Joe Burrow fumbles (forced by Nick Herbig) recovered by Payton Wilson at CIN-21 and returned for 21 yards touchdown,-0.230,-7.000
4,11:06,,,CIN 15,41,24,Chris Boswell kicks extra point good,0.000,0.000
4,11:06,,,PIT 35,41,24,Chris Boswell kicks off 65 yards touchback.,0.000,0.940
4,11:06,1,10,CIN 30,41,24,Joe Burrow pass complete short middle to Tee Higgins for 8 yards (tackle by Patrick Queen),0.940,1.470
4,10:28,2,2,CIN 38,41,24,Joe Burrow pass complete short left to Chase Brown for 20 yards (tackle by Damontae Kazee),1.470,2.790
4,9:40,1,10,PIT 42,41,24,Joe Burrow pass complete deep left to Andrei Iosivas for 17 yards,2.790,3.910
4,9:02,1,10,PIT 25,41,24,Joe Burrow pass incomplete short right intended for Tee Higgins,3.910,3.360
4,8:58,2,10,PIT 25,41,24,Joe Burrow pass incomplete deep left intended for Ja'Marr Chase,3.360,2.680
4,8:54,3,10,PIT 25,41,24,Joe Burrow pass incomplete deep right intended for Tee Higgins. Penalty on T.J. Watt: Defensive Offside 5 yards (declined) . Penalty on Joey Porter: Defensive Holding 5 yards (declined) . Penalty on Joey Porter: Defensive Pass Interference 24 yards (accepted) (no play),2.680,6.970
4,8:47,1,1,PIT 1,41,24,Joe Burrow pass incomplete short left intended for Tee Higgins (defended by Cameron Sutton),6.970,5.910
4,8:42,2,1,PIT 1,41,30,Joe Burrow pass complete short left to Tee Higgins for 1 yard touchdown,5.910,7.000
4,8:39,,,PIT 15,41,31,Evan McPherson kicks extra point good,0.000,0.000
4,8:39,,,CIN 35,41,31,Evan McPherson kicks off 64 yards returned by Jaylen Warren for 15 yards (tackle by Maema Njongmeta),0.000,-0.140
4,8:34,1,10,PIT 16,41,31,Najee Harris left end for 7 yards (tackle by Germaine Pratt and Akeem Davis-Gaither),-0.140,0.420
4,7:50,2,3,PIT 23,41,31,Russell Wilson pass complete short right to Najee Harris for 3 yards (tackle by Jay Tufele). Penalty on Akeem Davis-Gaither: Face Mask (15 Yards) 15 yards (accepted),0.420,1.660
4,7:16,1,10,PIT 41,41,31,Russell Wilson pass incomplete short right. Penalty on Zach Frazier: Ineligible Downfield Pass 5 yards (declined),1.660,1.120
4,7:12,2,10,PIT 41,41,31,Najee Harris right guard for 1 yard (tackle by Germaine Pratt and Trey Hendrickson),1.120,0.560
4,6:30,3,9,PIT 42,41,31,Russell Wilson pass complete deep right to Van Jefferson for 43 yards (tackle by Cam Taylor-Britt and Mike Hilton),0.560,4.580
4,5:40,1,10,CIN 15,41,31,Najee Harris left end for 1 yard (tackle by Akeem Davis-Gaither),4.580,4.110
4,5:35,,,,,,Timeout #1 by Cincinnati Bengals,,
4,5:35,2,9,CIN 14,41,31,Russell Wilson pass complete short right to Jaylen Warren for 6 yards (tackle by Joe Bachie),4.110,4.450
4,4:56,3,3,CIN 8,41,31,Russell Wilson pass incomplete short left. Penalty on Cam Taylor-Britt: Defensive Holding 4 yards (accepted) (no play),4.450,6.280
4,4:52,1,4,CIN 4,41,31,Najee Harris left guard for 1 yard (tackle by Joseph Ossai),6.280,5.530
4,4:47,,,,,,Timeout #2 by Cincinnati Bengals,,
4,4:47,2,3,CIN 3,41,31,Jaylen Warren right tackle for -1 yards (tackle by B.J. Hill and Kris Jenkins),5.530,4.490
4,4:43,,,,,,Timeout #3 by Cincinnati Bengals,,
4,4:43,3,4,CIN 4,41,31,Russell Wilson sacked by B.J. Hill for -3 yards,4.490,2.970
4,3:56,4,7,CIN 7,41,31,Penalty on Russell Wilson: Delay of Game 5 yards (accepted) (no play),2.970,2.630
