Quarter,Time,Down,ToGo,Location,LVR,KAN,Detail,EPB,EPA
3,3:15,4,3,LVR 17,3,16,Matthew Wright 35 yard field goal good,2.410,3.000
3,3:11,,,KAN 35,3,16,Matthew Wright kicks off 59 yards returned by Ameer Abdullah for 68 yards (tackle by Chamarri Conner),0.000,3.840
3,3:00,1,10,KAN 26,3,16,Sincere McCormick up the middle for 3 yards (tackle by Michael Danna and Drue Tranquill),3.840,3.700
3,2:16,2,7,KAN 23,3,16,Aidan O'Connell scrambles left end for no gain (tackle by Nick Bolton). Penalty on Kolton Miller: Offensive Holding 10 yards (accepted) (no play),3.700,2.350
3,1:50,2,17,KAN 33,9,16,Aidan O'Connell pass complete deep right to Brock Bowers for 33 yards touchdown,2.350,7.000
3,1:40,,,KAN 15,10,16,Daniel Carlson kicks extra point good,0.000,0.000
3,1:40,,,LVR 35,10,16,Daniel Carlson kicks off 65 yards touchback.,0.000,0.940
3,1:40,1,10,KAN 30,10,16,Kareem Hunt right guard for 4 yards (tackle by Jonah Laulu and Adam Butler),0.940,0.930
3,1:06,2,6,KAN 34,10,16,Patrick Mahomes pass complete short right to Kareem Hunt for -5 yards (tackle by Amari Burney),0.930,-0.430
3,0:25,3,11,KAN 29,10,16,Patrick Mahomes pass incomplete short middle intended for DeAndre Hopkins,-0.430,-1.440
3,0:16,4,11,KAN 29,10,16,Matt Araiza punts 52 yards returned by Ameer Abdullah for 12 yards (tackle by Leo Chenal),-1.440,-1.000
3,0:05,1,10,LVR 31,10,16,Sincere McCormick left end for 11 yards (tackle by Bryan Cook),1.000,1.730
4,15:00,1,10,LVR 42,16,16,Aidan O'Connell pass complete deep left to Tre Tucker for 58 yards touchdown,1.730,7.000
4,14:52,,,KAN 15,17,16,Daniel Carlson kicks extra point good,0.000,0.000
4,14:52,,,LVR 35,17,16,Daniel Carlson kicks off 65 yards touchback.,0.000,0.940
4,14:52,1,10,KAN 30,17,16,Patrick Mahomes scrambles up the middle for 5 yards (tackle by Adam Butler),0.940,1.070
4,14:10,2,5,KAN 35,17,16,Patrick Mahomes pass complete short right to Xavier Worthy for 4 yards (tackle by Divine Deablo),1.070,0.890
4,13:31,3,1,KAN 39,17,16,Patrick Mahomes pass complete short middle to Travis Kelce for 5 yards (tackle by Tre'von Moehrig),0.890,1.860
4,12:53,1,10,KAN 44,17,16,Patrick Mahomes pass incomplete short right intended for DeAndre Hopkins,1.860,1.320
4,12:48,2,10,KAN 44,17,16,Patrick Mahomes pass incomplete deep right intended for DeAndre Hopkins. Penalty on Decamerion Richardson: Defensive Pass Interference 26 yards (accepted) (no play),1.320,3.580
4,12:41,1,10,LVR 30,17,16,Penalty on Wanya Morris: False Start 5 yards (accepted) (no play),3.580,3.250
4,12:41,1,15,LVR 35,17,16,Patrick Mahomes pass incomplete deep right intended for DeAndre Hopkins,3.250,2.360
4,12:30,2,15,LVR 35,17,16,Patrick Mahomes pass incomplete short right. Penalty on Jawaan Taylor: Illegal Formation 5 yards (accepted) (no play),2.360,1.680
4,12:30,2,20,LVR 40,17,16,Patrick Mahomes pass complete short right to DeAndre Hopkins for 15 yards (tackle by Jack Jones),1.680,3.010
4,11:50,3,5,LVR 25,17,16,Patrick Mahomes pass complete short left to Xavier Worthy for 19 yards (tackle by Isaiah Pola-Mao),3.010,5.830
4,11:14,1,6,LVR 6,17,16,Patrick Mahomes pass complete short middle to Noah Gray for 1 yard (tackle by John Jenkins and Jonah Laulu),5.830,5.150
4,10:40,2,5,LVR 5,17,16,Patrick Mahomes pass incomplete short middle intended for DeAndre Hopkins,5.150,4.260
4,10:36,3,5,LVR 5,17,16,Patrick Mahomes sacked by Maxx Crosby for -9 yards,4.260,2.510
4,9:57,4,14,LVR 14,17,19,Matthew Wright 32 yard field goal good,2.510,3.000
4,9:53,,,KAN 35,17,19,Matthew Wright kicks off 64 yards returned by Dylan Laube for 22 yards (tackle by Leo Chenal). Penalty on Justin Shorter: Offensive Illegal Block Above the Waist 10 yards (accepted),0.000,-0.320
4,9:48,1,10,LVR 13,17,19,Sincere McCormick left tackle for 9 yards (tackle by Chris Jones),-0.320,0.490
4,9:09,2,1,LVR 22,17,19,Sincere McCormick left end for 5 yards (tackle by Leo Chenal),0.490,0.740
4,8:27,1,10,LVR 27,17,19,Aidan O'Connell pass complete short left to Sincere McCormick for -2 yards (tackle by Justin Reid and Drue Tranquill),0.740,-0.070
4,7:42,2,12,LVR 25,17,19,Aidan O'Connell pass complete short right to Brock Bowers for 3 yards (tackle by Drue Tranquill),-0.070,-0.360
4,7:00,3,9,LVR 28,17,19,Aidan O'Connell pass incomplete short middle intended for Terrace Marshall,-0.360,-1.500
4,6:58,4,9,LVR 28,17,19,AJ Cole punts 55 yards returned by Mecole Hardman for 8 yards (tackle by Kana'i Mauga),-1.500,-0.610
4,6:46,1,10,KAN 25,17,19,Kareem Hunt right guard for 2 yards (tackle by Divine Deablo and Adam Butler),0.610,0.330
4,6:14,2,8,KAN 27,17,19,Patrick Mahomes pass incomplete short left intended for Travis Kelce,0.330,-0.360
4,6:08,3,8,KAN 27,17,19,Patrick Mahomes pass complete short right to Samaje Perine for 5 yards (tackle by K'Lavon Chaisson and Robert Spillane),-0.360,-1.240
4,5:26,4,3,KAN 32,17,19,Matt Araiza punts 54 yards returned by Ameer Abdullah for 18 yards (tackle by Christian Roland-Wallace),-1.240,-1.070
4,5:15,1,10,LVR 32,17,19,Sincere McCormick up the middle for 8 yards (tackle by Bryan Cook),1.070,1.610
4,4:33,2,2,LVR 40,17,19,Aidan O'Connell pass complete short right to Sincere McCormick for 3 yards (tackle by Trent McDuffie),1.610,1.800
4,3:52,1,10,LVR 43,17,19,Aidan O'Connell pass complete short left to Brock Bowers for 4 yards (tackle by Bryan Cook),1.800,1.790
4,3:13,2,6,LVR 47,17,19,Aidan O'Connell pass complete short left to Brock Bowers for 14 yards (tackle by Nick Bolton),1.790,2.980
4,3:05,1,10,KAN 39,17,19,Sincere McCormick left end for -1 yards (tackle by Nick Bolton and Chris Jones),2.980,2.300
4,2:26,2,11,KAN 40,17,19,Aidan O'Connell pass incomplete short right intended for Brock Bowers (defended by George Karlaftis),2.300,1.620
