Quarter,Time,Down,ToGo,Location,MIA,GNB,Detail,EPB,EPA
4,4:32,2,17,MIA 26,11,30,Tua Tagovailoa pass complete short middle to De'Von Achane for 8 yards (tackle by Kingsley Enagbare and Evan Williams),-0.350,0.040
4,4:06,3,9,MIA 34,11,30,Tua Tagovailoa pass complete short middle to Tyreek Hill for 30 yards (tackle by Xavier McKinney),0.040,3.180
4,3:42,1,10,GNB 36,11,30,Tua Tagovailoa pass incomplete short middle intended for Malik Washington,3.180,2.640
4,3:39,2,10,GNB 36,11,30,Tua Tagovailoa pass complete short middle to Jaylen Waddle for 9 yards (tackle by Keisean Nixon),2.640,3.140
4,3:14,3,1,GNB 27,11,30,Tua Tagovailoa pass complete short right to Jonnu Smith for 15 yards (tackle by Xavier McKinney),3.140,4.780
4,3:08,1,10,GNB 12,17,30,Tua Tagovailoa pass complete short middle to Tyreek Hill for 12 yards touchdown,4.780,7.000
4,3:04,,,GNB 2,17,30,Two Point Attempt: Tua Tagovailoa pass incomplete intended for intended for Raheem Mostert,1.000,-1.000
4,3:04,,,MIA 35,17,30,Jason Sanders kicks onside 14 yards returned by Jayden Reed for no gain,0.000,2.320
4,3:03,1,10,MIA 49,17,30,Josh Jacobs left guard for 2 yards (tackle by Calais Campbell),2.320,2.050
4,2:57,,,,,,Timeout #2 by Miami Dolphins,,
4,2:57,2,8,MIA 47,17,30,Josh Jacobs up the middle for -3 yards (tackle by Zach Sieler),2.050,0.960
4,2:12,,,,,,Timeout #1 by Green Bay Packers,,
4,2:12,3,11,MIA 50,17,30,Jordan Love pass incomplete deep middle intended for Christian Watson (defended by Siran Neal),0.960,-0.060
4,2:05,4,11,MIA 50,17,30,Penalty on GNB: Delay of Game 5 yards (declined) (no play),-0.060,-0.060
4,2:05,4,11,MIA 50,17,30,Daniel Whelan punts 50 yards touchback.,-0.060,-0.280
4,1:56,1,10,MIA 20,17,30,Tua Tagovailoa pass complete short right to De'Von Achane for no gain (tackle by Kenny Clark and Evan Williams). Penalty on Aaron Brewer: Offensive Holding 10 yards (accepted) . Penalty on Jonnu Smith: Offensive Pass Interference 10 yards (declined) (no play),0.280,-0.760
4,1:51,1,20,MIA 10,17,30,Tua Tagovailoa pass complete short middle to Jonnu Smith for 5 yards (tackle by Eric Wilson and Evan Williams),-0.760,-1.070
4,1:26,2,15,MIA 15,17,30,Tua Tagovailoa pass incomplete short middle intended for Tyreek Hill (defended by Karl Brooks),-1.070,-1.860
4,1:23,3,15,MIA 15,17,30,Tua Tagovailoa pass complete short right to Jonnu Smith for 10 yards (tackle by Quay Walker),-1.860,-1.700
4,0:54,4,5,MIA 25,17,30,Tua Tagovailoa pass complete short middle to Jonnu Smith for 11 yards (tackle by Evan Williams and Quay Walker),-1.700,1.330
4,0:35,1,10,MIA 36,17,30,Tua Tagovailoa pass complete short right to Raheem Mostert for 1 yard (tackle by Keisean Nixon),1.330,0.930
4,0:30,,,,,,Timeout #3 by Miami Dolphins,,
4,0:30,2,9,MIA 37,17,30,Tua Tagovailoa sacked by Brenton Cox for -5 yards,0.930,-0.430
4,0:01,3,14,MIA 32,17,30,Tua Tagovailoa pass complete short right to Durham Smythe for 8 yards (tackle by Eric Wilson),-0.430,-0.720
