Quarter,Time,Down,ToGo,Location,ARI,MIN,Detail,EPB,EPA
4,12:39,,,,,,Timeout #1 by Minnesota Vikings,,
4,12:39,2,10,ARI 42,19,13,Sam Darnold scrambles left end for 12 yards (tackle by Victor Dimukeje),2.240,3.580
4,11:58,1,10,ARI 30,19,13,Sam Darnold pass complete deep right to Jordan Addison for 17 yards,3.580,4.710
4,11:24,1,10,ARI 13,19,13,Sam Darnold pass incomplete short right intended for Aaron Jones,4.710,4.050
4,11:20,2,10,ARI 13,19,13,Sam Darnold pass incomplete short middle intended for T.J. Hockenson (defended by Roy Lopez),4.050,3.120
4,11:16,3,10,ARI 13,19,13,Sam Darnold pass incomplete short left intended for Jordan Addison,3.120,2.570
4,11:11,4,10,ARI 13,19,16,John Parker Romo 31 yard field goal good,2.570,3.000
4,11:08,,,MIN 35,19,16,John Parker Romo kicks off 65 yards touchback.,0.000,0.940
4,11:08,1,10,ARI 30,19,16,Kyler Murray pass incomplete short middle intended for Greg Dortch (defended by Harrison Phillips),0.940,0.390
4,11:05,2,10,ARI 30,19,16,James Conner left end for 16 yards (tackle by Harrison Smith and Camryn Bynum),0.390,1.990
4,10:19,1,10,ARI 46,19,16,Kyler Murray pass incomplete short right intended for Michael Wilson (defended by Byron Murphy),1.990,1.450
4,10:13,2,10,ARI 46,19,16,James Conner right tackle for -2 yards (tackle by Jalen Redmond and Andrew Van Ginkel),1.450,0.500
4,9:19,3,12,ARI 44,19,16,Kyler Murray pass complete short left to Trey McBride for 14 yards (tackle by Blake Cashman),0.500,2.790
4,8:40,1,10,MIN 42,19,16,James Conner up the middle for -3 yards (tackle by Jalen Redmond),2.790,1.910
4,7:56,2,12,MIN 45,19,16,Kyler Murray pass complete short right to Marvin Harrison for 6 yards (tackle by Shaquill Griffin),1.910,2.010
4,7:13,3,6,MIN 39,19,16,Emari Demercado up the middle for 8 yards (tackle by Patrick Jones),2.010,3.510
4,6:29,1,10,MIN 31,19,16,Kyler Murray left end for 5 yards (tackle by Shaquill Griffin),3.510,3.640
4,5:47,2,5,MIN 26,19,16,Kyler Murray pass complete short left to Trey McBride for 5 yards (tackle by Camryn Bynum),3.640,4.170
4,5:04,1,10,MIN 21,19,16,James Conner left tackle for 7 yards (tackle by Blake Cashman),4.170,4.740
4,4:18,2,3,MIN 14,19,16,Kyler Murray pass complete short left to Trey McBride for 9 yards (tackle by Camryn Bynum),4.740,6.060
4,4:14,1,5,MIN 5,19,16,Penalty on Tip Reiman: False Start 5 yards (accepted) (no play),6.060,4.910
4,4:14,1,10,MIN 10,19,16,Kyler Murray pass incomplete short right. Penalty on Kyler Murray: Intentional Grounding 15 yards (accepted),4.910,2.330
4,4:09,2,25,MIN 25,19,16,Trey Benson right guard for 9 yards (tackle by Patrick Jones),2.330,2.850
4,3:29,3,16,MIN 16,19,16,Kyler Murray pass complete short left to Trey McBride for 12 yards (tackle by Camryn Bynum and Harrison Smith),2.850,3.030
4,3:23,,,,,,Timeout #2 by Minnesota Vikings,,
4,3:23,4,4,MIN 4,22,16,Chad Ryland 23 yard field goal good,3.030,3.000
4,3:20,,,ARI 35,22,16,Chad Ryland kicks off 65 yards touchback.,0.000,0.940
4,3:20,1,10,MIN 30,22,16,Sam Darnold pass complete short left to Justin Jefferson for 6 yards (tackle by Jalen Thompson),0.940,1.200
4,2:59,2,4,MIN 36,22,16,Sam Darnold pass complete deep middle to Jordan Addison for 26 yards (tackle by Budda Baker),1.200,3.050
4,2:35,1,10,ARI 38,22,16,Cam Akers right guard for 5 yards (tackle by Jesse Luketa and Dante Stills),3.050,3.180
4,2:19,2,5,ARI 33,22,16,Sam Darnold pass incomplete short right,3.180,2.480
4,2:14,3,5,ARI 33,22,16,Sam Darnold pass incomplete short left intended for Justin Jefferson (defended by Mack Wilson),2.480,1.170
4,2:10,4,5,ARI 33,22,16,Sam Darnold pass complete short right to Justin Jefferson for 12 yards (tackle by Baron Browning),1.170,4.170
4,2:00,1,10,ARI 21,22,16,Sam Darnold pass incomplete short middle intended for T.J. Hockenson. Penalty on Jalen Thompson: Defensive Pass Interference 8 yards (accepted) (no play),4.170,4.710
4,1:56,1,10,ARI 13,22,16,Sam Darnold pass complete short left to Jordan Addison for 8 yards (tackle by Garrett Williams),4.710,5.540
4,1:18,2,2,ARI 5,22,22,Sam Darnold pass complete short right to Aaron Jones for 5 yards touchdown,5.540,7.000
4,1:13,,,ARI 15,22,23,John Parker Romo kicks extra point good,0.000,0.000
4,1:13,,,MIN 35,22,23,John Parker Romo kicks off 65 yards touchback.,0.000,0.940
4,1:13,1,10,ARI 30,22,23,Kyler Murray pass complete short middle to Michael Wilson for 5 yards (tackle by Harrison Smith),0.940,1.070
4,0:54,2,5,ARI 35,22,23,Kyler Murray sacked by Jonathan Greenard for -8 yards. Kyler Murray fumbles (forced by Jonathan Greenard) recovered by Kyler Murray at ARI-27,1.070,-0.690
4,0:48,,,,,,Timeout #1 by Arizona Cardinals,,
4,0:48,3,13,ARI 27,22,23,Kyler Murray scrambles right end for 3 yards (tackle by Jonathan Greenard),-0.690,-1.370
4,0:40,,,,,,Timeout #2 by Arizona Cardinals,,
4,0:40,,,,,,Timeout #3 by Minnesota Vikings,,
4,0:40,4,10,ARI 30,22,23,Kyler Murray pass deep right intended for Marvin Harrison is intercepted by Shaquill Griffin at MIN-45 and returned for no gain (tackle by Marvin Harrison),-1.370,-1.930
4,0:33,1,10,MIN 45,22,23,Sam Darnold kneels for -1 yards,1.930,1.250
